,word,counts
0,人工智能,553
1,技术,244
2,人类,243
3,机器人,223
4,聊天,219
5,回答,188
6,科技,174
7,公司,148
8,未来,139
9,发布,135
10,工作,134
11,中国,129
12,微软,128
13,百度,127
14,文章,123
15,取代,122
16,模型,116
17,真的,114
18,智能,112
19,对话,109
20,用户,109
21,论文,107
22,内容,105
23,谷歌,98
24,发展,97
25,推出,97
26,工具,96
27,产品,96
28,数据,95
29,相关,93
30,概念,89
31,感觉,83
32,全球,81
33,投资,81
34,头条,81
35,国内,81
36,市场,79
37,互联网,79
38,行业,78
39,学习,76
40,语言,76
41,生成,74
42,领域,74
43,能力,74
44,失业,73
45,爆火,71
46,代码,71
47,世界,67
48,信息,65
49,美国,65
50,搜索,63
51,火爆,63
52,答案,61
53,服务,60
54,时间,60
55,发现,58
56,一种,58
57,影响,58
58,东西,56
59,带来,54
60,宇宙,53
61,时代,53
62,确实,52
63,训练,51
64,体验,51
65,视频,51
66,两个,51
67,文本,50
68,研究,50
69,企业,50
70,厉害,49
71,功能,47
72,板块,46
73,开发,45
74,创作,45
75,上线,45
76,关注,44
77,知识,43
78,学生,43
79,程序员,43
80,搜索引擎,43
81,软件,42
82,文案,42
83,理解,42
84,有人,42
85,强大,41
86,机器,41
87,提问,41
88,数字,40
89,逻辑,40
90,测试,39
91,类似,39
92,媒体,38
93,提供,38
94,平台,37
95,这是,37
96,概念股,37
97,包括,36
98,话题,36
99,意义,36
