word,counts,情感分值,emotion_type
不错,13047,0.9475,正面
漂亮,1447,0.9658,正面
很大,1336,0.6233,正面
有趣,1105,0.8586,正面
著名,1056,0.7679,正面
繁华,872,0.8836,正面
热闹,784,0.6832,正面
便利,728,0.9086,正面
确实,678,0.5207,中立
很棒,676,0.9928,正面
干净,583,0.8477,正面
独特,560,0.8991,正面
便宜,524,0.7984,正面
美好,503,0.9504,正面
快乐,458,0.9598,正面
正式,445,0.8505,正面
优美,440,0.948,正面
惊喜,440,0.9785,正面
舒服,412,0.957,正面
精致,395,0.9439,正面
充满,356,0.8744,正面
正好,354,0.9198,正面
优秀,345,0.9726,正面
有名,344,0.7429,正面
舒适,329,0.9504,正面
一大,315,0.834,正面
惬意,302,0.9655,正面
浪漫,290,0.9371,正面
完美,290,0.79,正面
遗憾,282,0.3018,负面
优雅,277,0.9644,正面
惊艳,269,0.9753,正面
壮观,268,0.7737,正面
耐心,262,0.8601,正面
欢乐,253,0.9235,正面
优越,251,0.9166,正面
最美,242,0.9822,正面
整洁,227,0.92,正面
详细,212,0.8356,正面
神奇,209,0.8444,正面
配套,207,0.5256,中立
简单,206,0.498,中立
高大,199,0.6929,正面
不愧,191,0.8943,正面
合适,191,0.8739,正面
卫生,184,0.6763,正面
浓郁,184,0.8873,正面
精美,178,0.8908,正面
愉快,170,0.936,正面
漂流,170,0.6922,正面
复兴,166,0.8603,正面
便捷,161,0.9193,正面
乐趣,159,0.6869,正面
迥异,158,0.6359,正面
完整,150,0.8377,正面
完好,149,0.6238,正面
幸好,146,0.2444,负面
幸福,141,0.9721,正面
珍稀,141,0.5214,中立
仔细,140,0.6002,正面
很小,138,0.3974,负面
顺便,130,0.5679,正面
细细,130,0.8333,正面
温暖,129,0.9774,正面
和谐,128,0.8677,正面
健康,127,0.7899,正面
成功,117,0.8915,正面
宽敞,117,0.9588,正面
幽静,117,0.9275,正面
奇妙,116,0.8358,正面
秀丽,113,0.7737,正面
乐高,113,0.8292,正面
挺好玩,111,0.9661,正面
繁荣,111,0.7555,正面
清晰,110,0.9393,正面
悠久,110,0.7425,正面
亲切,109,0.9447,正面
珍贵,104,0.8434,正面
轻松,101,0.9632,正面
友好,100,0.7687,正面
神秘,97,0.8946,正面
幸运,93,0.9689,正面
古朴,93,0.8714,正面
特效,92,0.5969,正面
暖和,91,0.7215,正面
繁多,91,0.7657,正面
无聊,91,0.0255,负面
旺盛,87,0.6054,正面
清新,87,0.9436,正面
自由,86,0.9351,正面
骄傲,85,0.9767,正面
浓厚,83,0.7691,正面
绚丽,83,0.8375,正面
固定,79,0.6793,正面
平常,77,0.5022,中立
年轻,77,0.7794,正面
疯狂,76,0.7843,正面
巧妙,76,0.9468,正面
辉煌,75,0.6037,正面
嘈杂,74,0.1893,负面
绝美,73,0.8377,正面
美妙,73,0.9901,正面
激动,73,0.9878,正面
紧张,73,0.674,正面
鲜艳,73,0.7003,正面
细致,73,0.8616,正面
炫酷,71,0.9092,正面
适促,70,0.6105,正面
平均,67,0.7409,正面
不小,67,0.3759,负面
愉悦,67,0.9614,正面
典雅,67,0.8781,正面
惊魂,67,0.4418,负面
厉害,66,0.4954,中立
热爱,66,0.9359,正面
靓丽,65,0.9473,正面
凉快,65,0.7974,正面
意外,65,0.8453,正面
各异,63,0.6307,正面
宏伟,60,0.7931,正面
有幸,59,0.9041,正面
珍惜,59,0.8815,正面
新颖,59,0.9226,正面
清净,59,0.6546,正面
偏贵,59,0.1971,负面
麻烦,58,0.3276,负面
充足,57,0.9033,正面
较大,57,0.3968,负面
豪华,57,0.8384,正面
清澈,57,0.8956,正面
良心,56,0.7419,正面
不腻,54,0.4868,中立
绮丽,53,0.8325,正面
充实,52,0.6912,正面
好奇,52,0.4702,中立
雅致,52,0.9218,正面
茂盛,52,0.5328,中立
平安,51,0.8203,正面
适宜,51,0.9441,正面
恐怖,50,0.1357,负面
切利,50,0.6105,正面
努力,50,0.7056,正面
极佳,50,0.9877,正面
团建,50,0.6738,正面
景致,50,0.8391,正面
慵懒,49,0.8359,正面
正大,48,0.7051,正面
连续,48,0.6033,正面
亮丽,48,0.9214,正面
惊险,47,0.9003,正面
顺利,47,0.9543,正面
奢华,47,0.9541,正面
昏暗,46,0.1441,负面
忠实,45,0.9768,正面
鲜明,44,0.6329,正面
舒缓,44,0.7129,正面
灿烂,43,0.7172,正面
强大,43,0.9526,正面
先进,42,0.8601,正面
亲密,42,0.5754,正面
深厚,42,0.9164,正面
最长,41,0.7969,正面
火爆,41,0.9182,正面
明媚,41,0.9011,正面
紧凑,40,0.6791,正面
柔和,40,0.9154,正面
烦恼,39,0.9004,正面
有限,39,0.1498,负面
庞大,39,0.7102,正面
壮丽,39,0.6353,正面
常见,38,0.4891,中立
难吃,37,0.0535,负面
清凉,37,0.8569,正面
疲劳,37,0.4244,负面
不耐烦,36,0.095,负面
危险,36,0.0989,负面
庄严,36,0.9279,正面
不好玩,36,0.0888,负面
简洁,35,0.933,正面
充当,35,0.4394,负面
很足,35,0.9497,正面
广富,35,0.5742,正面
恐高,34,0.9599,正面
有功,34,0.3311,负面
丰盛,34,0.9246,正面
雄伟,33,0.6339,正面
独好,33,0.7456,正面
困难,33,0.156,负面
唯美,33,0.9577,正面
辛苦,32,0.9081,正面
厚重,32,0.9076,正面
繁忙,32,0.5413,中立
激烈,32,0.6699,正面
陡峭,32,0.6485,正面
费劲,31,0.2189,负面
重建,31,0.336,负面
狭窄,31,0.124,负面
凉爽,31,0.866,正面
灵感,30,0.7738,正面
精细,30,0.9036,正面
宽阔,30,0.9235,正面
细腻,30,0.9632,正面
硕大,30,0.6754,正面
曲折,30,0.4615,中立
勇敢,29,0.8914,正面
可乐,29,0.4938,中立
艳丽,29,0.8122,正面
忙碌,29,0.9299,正面
高效,29,0.9076,正面
清理,29,0.3016,负面
茂密,29,0.927,正面
热辣,29,0.8333,正面
精巧,28,0.8691,正面
模糊,28,0.0328,负面
绚烂,27,0.9509,正面
尴尬,27,0.1741,负面
奇观,27,0.4637,中立
温柔,27,0.901,正面
落后,26,0.0396,负面
明亮,26,0.7519,正面
耀眼,26,0.707,正面
稀少,26,0.2912,负面
妥妥,26,0.9458,正面
寂寞,26,0.5006,中立
极富,26,0.9088,正面
胆小,25,0.9276,正面
短暂,25,0.5865,正面
华诞,25,0.6311,正面
浩瀚,25,0.6864,正面
流畅,25,0.9679,正面
滑稽,25,0.1274,负面
先烈,25,0.7035,正面
惨烈,25,0.6523,正面
欢快,24,0.9207,正面
平稳,24,0.9742,正面
诚意,24,0.3895,负面
深远,24,0.7289,正面
隐蔽,24,0.8188,正面
肃穆,24,0.8557,正面
软软,24,0.6523,正面
着急,23,0.4123,负面
圆满,23,0.9682,正面
奇秀,23,0.688,正面
灵动,23,0.9221,正面
蛮高,23,0.8289,正面
很爽,23,0.987,正面
紧靠,23,0.6572,正面
幽默,22,0.919,正面
聪明,22,0.944,正面
好好看,22,0.9947,正面
尊重,22,0.6579,正面
很酷,22,0.9885,正面
正确,22,0.9338,正面
清静,22,0.8412,正面
舒心,21,0.9131,正面
最低,21,0.329,负面
热烈,21,0.8146,正面
不菲,21,0.5364,中立
平静,21,0.9231,正面
奇致,21,0.6105,正面
高跷,20,0.4356,负面
萧条,20,0.0978,负面
疲惫,20,0.6561,正面
浓烈,20,0.7911,正面
清淡,20,0.64,正面
恐惧,20,0.6942,正面
连通,20,0.5234,中立
残酷,20,0.6976,正面
快捷,19,0.8118,正面
慎重,19,0.0478,负面
舒畅,19,0.9477,正面
舒坦,19,0.9409,正面
惊人,19,0.5633,正面
炎热,19,0.6848,正面
珍奇,19,0.6368,正面
最旺,19,0.888,正面
成熟,19,0.7877,正面
正艳,19,0.9431,正面
兴趣不大,19,0.2176,负面
充裕,19,0.9059,正面
杰出,19,0.8685,正面
挺好吃,19,0.9672,正面
真切,18,0.2941,负面
不易,18,0.5853,正面
有心,18,0.8727,正面
积分,18,0.8809,正面
犹豫,18,0.8006,正面
宽广,18,0.8549,正面
清洁,18,0.7273,正面
卓然,17,0.6136,正面
幽暗,17,0.4216,负面
正面,17,0.6803,正面
高高,17,0.7786,正面
虔诚,17,0.9172,正面
急促,17,0.567,正面
荒凉,17,0.1601,负面
混乱,17,0.0262,负面
偏僻,16,0.3389,负面
简陋,16,0.0472,负面
齐名,16,0.8337,正面
寂静,16,0.821,正面
怕怕,16,0.0943,负面
繁琐,16,0.0842,负面
稚拙,16,0.5513,正面
晶莹,15,0.874,正面
沉静,15,0.9142,正面
纯洁,15,0.9584,正面
平平,15,0.1262,负面
扎实,15,0.9766,正面
沉重,15,0.515,中立
宏大,15,0.6717,正面
有大,15,0.6708,正面
遥远,15,0.6897,正面
友善,15,0.8276,正面
单薄,15,0.0202,负面
枯燥,15,0.2262,负面
刚健,15,0.4276,负面
悲壮,15,0.8015,正面
固守,15,0.5656,正面
孤独,15,0.9776,正面
秀美,14,0.6162,正面
幼稚,14,0.0347,负面
平凡,14,0.4848,中立
豐富,14,0.8772,正面
活泼,14,0.9699,正面
惊奇,14,0.8038,正面
苦难,14,0.6915,正面
疯玩,14,0.6805,正面
繁茂,14,0.8786,正面
严谨,14,0.8881,正面
模特,14,0.7993,正面
恢弘,14,0.7031,正面
详实,14,0.8386,正面
不朽,14,0.8217,正面
挺贵,13,0.402,负面
善良,13,0.9053,正面
晴朗,13,0.7151,正面
畅快,13,0.9047,正面
明快,13,0.9057,正面
落差,13,0.1382,负面
偏重,13,0.1322,负面
坚定,13,0.6989,正面
柔软,13,0.9399,正面
忧愁,13,0.7628,正面
显赫,13,0.8163,正面
最火,13,0.7081,正面
酸甜,13,0.756,正面
惆怅,13,0.5096,中立
英烈,13,0.7397,正面
要好看,12,0.9253,正面
最全,12,0.795,正面
紧密,12,0.6436,正面
出奇,12,0.2215,负面
富贵,12,0.8584,正面
精妙,12,0.7761,正面
妖娆,12,0.7629,正面
繁盛,12,0.6674,正面
庄重,12,0.8514,正面
隐秘,12,0.7846,正面
漫漫,12,0.6062,正面
著称,12,0.6602,正面
不爽,11,0.0493,负面
清爽,11,0.9206,正面
悠扬,11,0.887,正面
快感,11,0.6457,正面
蛮贵,11,0.4571,中立
爱好,11,0.6538,正面
真好玩,11,0.858,正面
详情,11,0.734,正面
落实,11,0.2633,负面
通畅,11,0.7925,正面
恢宏,11,0.7208,正面
幽雅,11,0.819,正面
鲜美,11,0.9287,正面
精湛,11,0.9472,正面
公开,10,0.5253,中立
朦胧,10,0.7009,正面
害羞,10,0.9694,正面
凌乱,10,0.0817,负面
寻常,10,0.5175,中立
奇异,10,0.6184,正面
平衡,10,0.7834,正面
固执,10,0.3942,负面
凸显,10,0.7406,正面
柔美,10,0.9045,正面
憋屈,10,0.1694,负面
伤害,10,0.0411,负面
广阔,10,0.7255,正面
近似,10,0.4758,中立
落寞,10,0.4006,负面
糟糕,10,0.0145,负面
狰狞,10,0.1897,负面
艰辛,10,0.522,中立
宽大,10,0.9192,正面
妩媚,10,0.8848,正面
富裕,9,0.8929,正面
寒冷,9,0.7831,正面
昂贵,9,0.1322,负面
不适,9,0.4037,负面
优异,9,0.9488,正面
谦和,9,0.8106,正面
最远,9,0.4384,负面
宽裕,9,0.836,正面
玲珑,9,0.6929,正面
丰俭,9,0.8824,正面
渺小,9,0.858,正面
青涩,9,0.7455,正面
很脏,9,0.0332,负面
勇猛,9,0.8282,正面
全开,9,0.635,正面
奇趣,9,0.8313,正面
极盛,9,0.6765,正面
不錯,9,0.8684,正面
均衡,9,0.9215,正面
平淡,9,0.0802,负面
虚实,9,0.6367,正面
平坦,9,0.6489,正面
纯净,9,0.9642,正面
浓重,9,0.3199,负面
猛烈,9,0.3643,负面
最小,9,0.4399,负面
牛杂,9,0.6092,正面
淳朴,9,0.8653,正面
畅通,8,0.7006,正面
发软,8,0.3544,负面
着重,8,0.933,正面
生硬,8,0.0319,负面
顺畅,8,0.9361,正面
吃惊,8,0.6296,正面
贪吃,8,0.9779,正面
简要,8,0.709,正面
冷淡,8,0.114,负面
丰厚,8,0.8117,正面
谨慎,8,0.0538,负面
心疼,8,0.7338,正面
较贵,8,0.2279,负面
辽阔,8,0.9049,正面
抑郁,8,0.2965,负面
积善,8,0.5756,正面
恶劣,8,0.0381,负面
呆久,8,0.5127,中立
闲适,8,0.7198,正面
古旧,8,0.4018,负面
透亮,8,0.8401,正面
恬静,8,0.8596,正面
稀奇,8,0.4765,中立
光效,8,0.7953,正面
獨特,8,0.836,正面
很稳,8,0.9929,正面
邋遢,8,0.1057,负面
胆大,8,0.6029,正面
迷幻,8,0.7879,正面
重重,8,0.5688,正面
洒满,8,0.6254,正面
委婉,8,0.3154,负面
忐忑,8,0.8586,正面
一观,8,0.6653,正面
恬淡,8,0.9141,正面
罕见,8,0.3656,负面
超酷,8,0.9797,正面
灵活,7,0.9305,正面
清单,7,0.4111,负面
怕人,7,0.8111,正面
惊悚,7,0.113,负面
些小,7,0.3463,负面
安好,7,0.906,正面
平缓,7,0.7097,正面
好旺,7,0.9309,正面
浑浊,7,0.0831,负面
清脆,7,0.5806,正面
优静,7,0.709,正面
最合适,7,0.9233,正面
复刻,7,0.8461,正面
致富,7,0.3418,负面
过硬,7,0.7985,正面
粗壮,7,0.6172,正面
充沛,7,0.9695,正面
详见,7,0.8238,正面
乐乐,7,0.8641,正面
旖旎,7,0.9004,正面
很火,7,0.7856,正面
鲜活,7,0.5656,正面
脆弱,7,0.0922,负面
有劲,7,0.9491,正面
郁闷,7,0.146,负面
很凉,6,0.5345,中立
欣喜,6,0.965,正面
不贵,6,0.8613,正面
舒爽,6,0.9306,正面
精良,6,0.9637,正面
闷热,6,0.1728,负面
痛苦,6,0.2175,负面
浑厚,6,0.8808,正面
可静,6,0.9556,正面
风靡,6,0.4707,中立
惭愧,6,0.8038,正面
心静,6,0.7998,正面
近观,6,0.5214,中立
奢侈,6,0.9644,正面
准确,6,0.9349,正面
清冽,6,0.521,中立
简易,6,0.2518,负面
大全,6,0.6714,正面
厚实,6,0.9547,正面
炫丽,6,0.8133,正面
最靠,6,0.2084,负面
最老,6,0.2658,负面
強盛,6,0.7845,正面
完单,6,0.1456,负面
秀蛮,6,0.6105,正面
兴趣爱好,6,0.2972,负面
深浅,6,0.6798,正面
清丽,6,0.704,正面
详尽,6,0.6092,正面
轻易,6,0.4584,中立
高贵,6,0.8426,正面
雄壮,6,0.4912,中立
可观,6,0.4395,负面
炫彩,6,0.6795,正面
灵巧,6,0.9075,正面
热热,6,0.3352,负面
头疼,6,0.0827,负面
清明,6,0.6296,正面
好爽,5,0.9863,正面
太酷,5,0.8754,正面
圣洁,5,0.707,正面
先富,5,0.3512,负面
豪强,5,0.5405,中立
幽深,5,0.5815,正面
连绵,5,0.7684,正面
巨出,5,0.6105,正面
别急,5,0.2924,负面
污浊,5,0.2176,负面
娴静,5,0.8132,正面
宽窄,5,0.5795,正面
小确,5,0.6105,正面
焦虑,5,0.5365,中立
不安,5,0.2291,负面
雅趣,5,0.5986,正面
正名,5,0.7391,正面
持松,5,0.231,负面
宽泛,5,0.7466,正面
很鲜,5,0.9337,正面
灵异,5,0.4348,负面
沉稳,5,0.9483,正面
优久,5,0.6144,正面
真熟,5,0.6575,正面
穷苦,5,0.5616,正面
稀缺,5,0.5751,正面
潦草,5,0.2201,负面
清透,5,0.8937,正面
混沌,5,0.225,负面
凑齐,5,0.5254,中立
良良,5,0.7133,正面
醇厚,5,0.9693,正面
轻便,5,0.9775,正面
不逊,5,0.1512,负面
诙谐,5,0.808,正面
鮮明,5,0.4955,中立
适时,5,0.8105,正面
甜甜,5,0.9056,正面
凉凉,5,0.2649,负面
肥瘦,5,0.5767,正面
酥脆,5,0.932,正面
松脆,5,0.8763,正面
闹猛,5,0.4215,负面
不亮,5,0.056,负面
恍惚,5,0.808,正面
较佳,5,0.8048,正面
绰劣,5,0.6105,正面
凶猛,5,0.8694,正面
疯得,5,0.6802,正面
繁杂,5,0.3038,负面
贪婪,5,0.5043,中立
稳健,5,0.9718,正面
壮大,5,0.5468,中立
严肃,5,0.4221,负面
可耻,5,0.0605,负面
凛冽,5,0.6228,正面
荒芜,5,0.2987,负面
较盛,5,0.4906,中立
超贵,5,0.4548,中立
廣富,5,0.6105,正面
深邃,5,0.864,正面
冷僻,5,0.4224,负面
有康,5,0.615,正面
爽爽,5,0.8889,正面
靓色,5,0.6105,正面
稳定,5,0.9425,正面
單純,5,0.772,正面
昂貴,5,0.3672,负面
恼人,5,0.4138,负面
優雅,5,0.8363,正面
沉靜,5,0.6105,正面
清越,5,0.5581,正面
疏朗,5,0.5864,正面
娴雅,5,0.4998,中立
极易,5,0.5293,中立
枯躁,5,0.5595,正面
干泛,5,0.1275,负面
慷慨,5,0.541,中立
妥帖,5,0.6997,正面
驚喜,5,0.861,正面
幽闲,5,0.2929,负面
不美,5,0.2672,负面
愜意,5,0.8823,正面
刚劲,5,0.611,正面
深感,5,0.3775,负面
纯朴,5,0.8498,正面
温婉,5,0.8735,正面
严实,5,0.5411,中立
极乐,5,0.7514,正面
怕黑,5,0.6061,正面
笨重,5,0.0861,负面
正泛,5,0.7261,正面
暗沉,5,0.0385,负面
孤单,5,0.8105,正面
光同,5,0.6105,正面
有感,5,0.8777,正面
阴缺,5,0.6105,正面
恐慌,5,0.4622,中立
喜悦,5,0.7936,正面
甜美,5,0.8979,正面
完要,5,0.3681,负面
奇慢,5,0.028,负面
强盛,5,0.8009,正面
热敏,5,0.6261,正面
拙见,5,0.5095,中立
肤浅,5,0.1356,负面
知耻,5,0.4765,中立
坚韧,5,0.8914,正面
豪壮,5,0.6737,正面
顽强,5,0.6328,正面
勇守,5,0.6105,正面
壮烈,5,0.8325,正面
扎心,5,0.8195,正面
悦然,5,0.6105,正面
私秘,5,0.938,正面
激活,5,0.3959,负面
素雅,5,0.7893,正面
不俗,5,0.9715,正面
典当,5,0.7636,正面
苦涩,5,0.6902,正面
贴切,5,0.5608,正面
朴实,5,0.9271,正面
