主题数,困惑度,一致性
2,288.2597876083901,0.3502466721704963
3,286.2364977551915,0.3862191784046067
4,290.3552865086347,0.3996908023059534
5,296.49395591487604,0.4162980998704546
6,301.01883152598833,0.4114704600664018
7,306.2683625326666,0.40276447686479966
8,320.48615048159087,0.4256384882993542
9,356.31164777599554,0.42721315985039454
10,448.0554284291042,0.42674589738103236
11,625.8266814453001,0.4191109092282121
12,924.3140698519844,0.4292591293512276
13,1381.5215221335052,0.40706455897163035
14,1911.5208419140627,0.4210711370010568
