主题数,困惑度,一致性
2,-6.7413035980006475,0.41638553480556484
3,-6.8488882051255,0.40351514388494225
4,-6.934977229129248,0.38670979639860503
5,-6.997851724681856,0.40466850784020336
6,-7.0785383963241335,0.37352938981259615
7,-7.109843422602584,0.36466772014831955
8,-7.211789094806601,0.36676361647473854
9,-7.2434639284861,0.3676138301797038
10,-7.295703158001633,0.35383919946000286
11,-7.278131327478676,0.35117193324760493
12,-7.393988008567861,0.3619040973675254
13,-7.449355412986234,0.34586136978271514
14,-7.536406133707184,0.38226472313080156
15,-7.477338127878521,0.3410166561292386
16,-7.520491814525465,0.355044557484237
17,-7.533709238609421,0.3586932433548298
18,-7.640055647960899,0.3487895458676339
19,-7.576902023933347,0.3507902493485037
20,-7.723404635363008,0.3629430399711746
