Unnamed: 0,Unnamed: 1,Unnamed: 2,评论内容,fenci,情感得分,情感类别
于2023年9月入住,独自旅行,5.0,国庆来玩，服务很好，很贴心，也特别干净，而且楼下就是咖啡店，而且附近有很多潮流的店，楼下门口拍照的人特别多，真的很热闹，不过晚上还是很安静的没有感觉很吵，昨天晚上回来这边就人少一些，都在解放西那边玩了,国庆 服务 贴心 特别 干净 楼下 咖啡店 潮流 楼下 门口 拍照 特别 真的 热闹 晚上 安静 感觉 昨天晚上 回来 解放,0.9996142758724007,正面
于2023年9月入住,朋友出游,5.0,名宿太漂亮了吧！！！忍不住感叹！朋友推荐的地方！整体房间的体验感也特别好，服务也很及时，卫生也打扫的很干净，绝对是近期最舒适的一次入住了！,名宿 太漂亮 忍不住 感叹 朋友 推荐 地方 整体 房间 体验 特别 服务 卫生 打扫 干净 近期 舒适 入住,0.9227825602450745,正面
于2023年9月入住,朋友出游,5.0,非常非常非常非常漂亮的民宿！长沙第一一点也不过分 喜欢喜欢喜欢 咖啡小哥贼帅！做的咖啡巨好喝！房间设施齐全干净舒服！下次还来 喜欢喜欢喜欢喜欢,漂亮 民宿 长沙 第一 一点 喜欢 喜欢 喜欢 咖啡 小哥 贼帅 咖啡 好喝 房间 设施 齐全 干净 舒服 下次 喜欢 喜欢 喜欢 喜欢,0.9999784044449125,正面
于2023年9月入住,情侣出游,5.0,环境很好，入住特别特别舒服，下楼就可以喝到一杯冰咖啡，开启美美的一天。,环境 入住 特别 特别 舒服 下楼 一杯 咖啡 开启 美美,0.9559520983024465,正面
于2023年9月入住,朋友出游,5.0,非常满意！,满意,0.4106939704209327,正面
于2023年9月入住,情侣出游,5.0,酒店很干净 氛围也很好 棒,酒店 干净 氛围,0.5552085256723793,正面
于2023年9月入住,情侣出游,5.0,公寓挺舒服，入住时候挺干净的，有大投影，投屏很快，管家很耐心，会提前联系，开门用的密码锁，全程自己搞掂就好了，非常方便，下次来长沙还住这里，五星好评,公寓 挺舒服 入住 干净 有大 投影 投屏 很快 管家 耐心 提前 开门 密码锁 全程 搞掂 下次 长沙 五星 好评,-0.9921620764050931,负面
于2023年9月入住,家庭亲子,5.0,房间干净整洁，有家的感觉.服务非常到位.对于出游路线都提供了具体图片和标志牌.非常的热情,房间 干净 整洁 有家 感觉 服务 到位 出游 路线 提供 图片 标志牌 热情,0.9681036136209802,正面
于2023年9月入住,商务出差,5.0,房间很大，整体的设计非常有年轻人的北欧简约风元素入住很舒服，一进去就有超级惊喜的感觉，非常推荐入住，小姐姐也人很好。时间很晚，还在帮忙回复入住的细节信息。入住很满意，期待下一次来长沙，可以体验他们家其他风格的房间。,房间 很大 整体 设计 年轻人 北欧 简约 元素 入住 舒服 超级 惊喜 感觉 推荐 入住 小姐姐 时间 帮忙 回复 入住 细节 信息 入住 满意 期待 长沙 体验 风格 房间,0.9982123564102516,正面
于2023年9月入住,家庭亲子,5.0,房间很中式，很有特点，住进来很有古风的感觉。屋里很大，楼下就是商场美食街，离马厂地铁也很近，楼下就有停车场可以直通楼上很方便！,房间 中式 古风 感觉 屋里 很大 楼下 商场 美食街 马厂 地铁 楼下 停车场 直通 楼上,0.9936877384203711,正面
于2023年9月入住,其他,5.0,挺好的，房间干净整洁，管家服务热情周到。下次来长沙玩的话，一定还会再来,房间 干净 整洁 管家 服务 热情周到 下次 长沙,0.9778126076764375,正面
于2023年9月入住,家庭亲子,5.0,新的房间，干净整洁，楼下就有盒马，离地铁口也挺近，几分钟就到了,房间 干净 整洁 楼下 地铁口 几分钟,0.832732870473851,正面
于2023年9月入住,家庭亲子,5.0,房间非常好，我很满意 棒,房间 满意,0.18383563594128405,正面
于2023年9月入住,商务出差,5.0,服务好 住得舒服,服务 舒服,0.36340577778229033,正面
于2023年9月入住,朋友出游,5.0,非常满意啦！,满意,0.4106939704209327,正面
于2023年9月入住,家庭亲子,5.0,地点离市中心很近，走路10分钟就到地铁站，交通方便。定的这个户型，房间楼下也有床，方便老人起夜。提前加微信沟通入住时间，发房间密码，自行入住即可。,地点 市中心 走路 分钟 地铁站 交通 户型 房间 楼下 老人 起夜 提前 加微信 沟通 入住 时间 房间 密码 自行 入住 即可,0.31921306330830457,正面
于2023年9月入住,朋友出游,5.0,适合拍照，随便拍都很出片，本来心情很压抑才出来的 打开房门，很温馨，总的来说，还是很不错了，实惠，是一家自助民宿，老板很好，服务很周到，长沙挺好玩的，玩得地方狠多，,适合 拍照 随便 本来 心情 压抑 打开 房门 温馨 不错 实惠 一家 自助 民宿 老板 服务 周到 长沙 挺好玩 地方 狠多,0.9861401194146504,正面
于2023年9月入住,家庭亲子,5.0,房间很好，干净整齐，还有雨伞洗衣机冰箱，房价也不高很值得，离各个景点都很近，客服耐心温柔，值得推荐,房间 干净 整齐 雨伞 洗衣机 冰箱 房价 值得 景点 客服 耐心 温柔 值得 推荐,0.7584040301668296,正面
于2023年9月入住,朋友出游,5.0,非常方便，自助服务，干净整洁，下次还来，客服回复及时，好评,自助 服务 干净 整洁 下次 客服 回复 好评,-0.5639314262064894,负面
于2023年9月入住,朋友出游,5.0,还可以，住宿条件也不错，复式的酒店，房东老板很好，房价也很可以,住宿 条件 不错 复式 酒店 房东 老板 房价,-0.6928158576381402,负面
于2023年9月入住,朋友出游,5.0,客服很有耐心，而且办事效率超高,客服 耐心 办事效率 超高,0.6859516824614844,正面
于2023年9月入住,家庭亲子,5.0,很舒心，第二次入住,舒心 第二次 入住,0.16150718954889065,正面
于2023年9月入住,朋友出游,4.0,位置个人觉得还是可以，周围500米就有二家茶颜悦色，3公里范围内有拨子街，太平街，五一广场，文和友，楼下二楼是俏二烧烤，半夜也可以撸串，设施的话，个人觉得床太硬，夜景感觉没啥，冰箱阿姨没有清理里面，洗衣机个人建议看是否需要按一定时间洗衣机清洗内部，投影的话，我打开超出屏幕了，基本用不到，隔音效果不错,位置 二家 茶颜悦色 公里 拨子 太平街 五一广场 文和友 楼下 二楼 烧烤 半夜 撸串 设施 夜景 感觉 冰箱 阿姨 清理 洗衣机 建议 时间 洗衣机 清洗 内部 投影 打开 超出 屏幕 不到 隔音 效果 不错,-0.9903159963712715,负面
于2023年9月入住,朋友出游,5.0,房间和图片里的一样，一家人都非常喜欢，酒店位置也很容易找到，楼下也有便利店，去五一广场坐车也很方便，职员也很有礼貌，因为来不及在退房时间前回到去，也可以让我们延迟一点退房，服务态度非常值得赞赏！,房间 图片 一家人 喜欢 酒店 位置 找到 楼下 便利店 五一广场 坐车 职员 礼貌 退房 时间 回到 延迟 一点 退房 服务态度 值得 赞赏,-0.5526678477891742,负面
于2023年9月入住,朋友出游,5.0,房间跟预订图片是一样的，两个人住很方便。地理位置很好，离地铁站也不远，走路10分钟，离市中心也很近，骑个小车车就能到黄兴广场，非常方便。,房间 预订 图片 两个 地理位置 地铁站 不远 走路 分钟 市中心 小车 黄兴广场,0.9930240494481235,正面
于2023年9月入住,其他,5.0,卫生：干净 服务：客服能够及时回复信息 设施：交通便利 环境：视野开阔,卫生 干净 服务 客服 回复 信息 设施 交通 便利 环境 视野 开阔,0.9115375960076664,正面
于2023年9月入住,家庭亲子,5.0,环境：高级设施：完善服务：建议提前下高铁前致电客服。,环境 高级 设施 完善 服务 建议 提前 高铁 致电 客服,-0.9969951236262111,负面
于2023年9月入住,朋友出游,5.0,房间挺好的，服务也不错，线上办理入住和退房真的是社恐福音了 心动,房间 服务 不错 办理 入住 退房 真的 社恐 福音 心动,-0.5418559315957681,负面
于2023年9月入住,朋友出游,3.0,距离地铁站步行还是有十来分钟，房间设施也对得起这个价格,距离 地铁站 步行 十来 分钟 房间 设施 对得起 价格,0.9179603661931701,正面
于2023年9月入住,家庭亲子,5.0,房间很新，唯一不足的是希望二楼矮有尖头的贴上防撞条！,房间 唯一 希望 二楼 尖头 贴上 防撞,0.6395308172950256,正面
于2023年9月入住,朋友出游,5.0,位置很好找，交通很方便，房间环境好，住得很舒服,位置 好找 交通 房间 环境 舒服,0.7633284264206281,正面
于2023年9月入住,朋友出游,5.0,满意的，店主人也很好。长沙之旅很愉快～,满意 店主人 长沙 愉快,-0.22364315509989185,负面
于2023年9月入住,独自旅行,5.0,特别好！有家家里的感觉！睡得很安稳,特别 有家 家里 感觉 安稳,0.47681207867946784,正面
于2023年9月入住,情侣出游,5.0,服务：很好 卫生：很好 设施：很好,服务 卫生 设施,-0.5354520077906264,负面
于2023年9月入住,家庭亲子,5.0,离地铁站有点距离，无接触入住,地铁站 距离 接触 入住,0.7138670852142817,正面
于2023年9月入住,情侣出游,5.0,好好好很好的啦卫生也好满意的,好好 卫生 满意,0.01742136030150543,正面
于2023年9月入住,朋友出游,5.0,环境：很好，装饰很清新,环境 装饰 清新,0.792696150195626,正面
于2023年9月入住,家庭亲子,4.7,住的还行 装修喜欢,还行 装修 喜欢,0.6749347638987162,正面
于2023年9月入住,独自旅行,5.0,挺好也住这舒服干净,舒服 干净,0.61904315859674,正面
于2023年9月入住,独自旅行,5.0,环境好，卫生好,环境 卫生,-0.22062711325997197,负面
于2023年9月入住,朋友出游,5.0,房间干净舒适,房间 干净 舒适,0.6108818305531565,正面
于2023年9月入住,家庭亲子,5.0,已住，还不错,不错,0.7224264705882353,正面
于2023年9月入住,朋友出游,5.0,服务很不错,服务 不错,0.7075214581338416,正面
于2023年9月入住,独自旅行,5.0,民宿离黄兴广场很近，走路十分钟就到，楼下有超好吃的粉店，还有几家酒吧，房间很干净，设施齐全，还有小爱同学可以调戏 前台小姐姐服务态度超好，回复很快，有问必答，临走时提了一点小建议，还给发红包！很满意的一次住宿,民宿 黄兴广场 走路 十分钟 楼下 好吃 粉店 几家 酒吧 房间 干净 设施 齐全 小爱 同学 调戏 前台 小姐姐 服务态度 超好 回复 很快 有问必答 临走时 一点 建议 还给 发红包 满意 住宿,0.9950530526931833,正面
于2023年9月入住,独自旅行,5.0,民宿在一个古街里面，真的是很有市井气息的一条古街，环境确实还蛮不错的，个人蛮喜欢的，前台小妹妹也很热情，有问题问她都回复的很快，晚上的五一广场真的很热闹，不愧是不夜城，推荐来这个民宿。,民宿 古街 真的 市井 气息 一条 古街 环境 确实 不错 喜欢 前台 小妹妹 热情 回复 很快 晚上 五一广场 真的 热闹 不愧 不夜城 推荐 民宿,0.9999998733514777,正面
于2023年9月入住,独自旅行,5.0,房间很舒服，附近很多小酒馆，尤其隔壁的那家氛围很好，民宿就在巷子进去20米，很好找。,房间 舒服 小酒馆 隔壁 那家 氛围 民宿 巷子 好找,-0.6484471803613547,负面
于2023年9月入住,朋友出游,3.7,优点：民宿的地理位置不错，在一条比较文艺的小街上。出行方便，吃东西方便。服务也很不错，我们到的时候，有男性工作人员帮忙把行李箱拿到三楼房间，走的时候，没有男士当班，值班的小姑娘也帮我们把行李箱从三楼拿到楼下，很不好意思。入住期间，要求多给的矿泉水都会给。房间的床品干净。所以民宿从地理位置和服务来说，是优秀的。缺点：我们住的三楼大床房台盆那里，一用水，台盆下面的水管就漏水。房间的卫生打扫比较马虎，因为入住时，我是用湿纸巾把台盆边边角角擦了两遍。我想打扫卫生的阿姨每次可能只是用抹布把台面擦一下，从不用水冲洗的。因为告诉保洁阿姨台盆漏水，她问我哪里漏水。我放水给她看，她才知道漏水。整个房间及卫生间的设施都比较简陋（除了小爱智能系统外）。我们来之前订了两晚，到的当天看了地理位置和床品后，续订了一晚，所以连住了三天。可见，如果是注重旅游，每天早出晚归，回来只是睡个觉而已，那上面提到的缺点，都是可以忽略的。但是如果是非常注重住宿条件本身的，而且在房间休闲的时间比较多，可能需要慎重考虑。,优点 民宿 地理位置 不错 一条 文艺 街上 出行 东西 服务 不错 男性 工作人员 帮忙 行李箱 拿到 房间 男士 当班 值班 小姑娘 行李箱 拿到 楼下 不好意思 入住 期间 矿泉水 房间 床品 干净 民宿 地理位置 服务 优秀 缺点 三楼大床 房台 用水 台盆 水管 漏水 房间 卫生 打扫 马虎 入住 湿纸巾 台盆 边边角角 两遍 打扫卫生 阿姨 每次 抹布 台面 用水 冲洗 告诉 保洁 阿姨 台盆 漏水 漏水 放水 漏水 房间 卫生间 设施 简陋 小爱 智能 系统 当天 地理位置 床品 续订 一晚 连住 三天 注重 旅游 早出晚归 回来 提到 缺点 忽略 注重 住宿 条件 房间 休闲 时间 慎重考虑,-0.9999999998890301,负面
于2023年9月入住,家庭亲子,5.0,非常喜欢民宿所在的都正街，非常漂亮而且有很多有趣的小店和酒吧，还有两家不用排队的茶颜悦色，而且挺靠近五一广场的。柜台的小姐姐非常友善和周到，一来就给我们推荐很多附近的美食。我们对房间也蛮满意，都挺新挺整洁，而且房间有个大电视机和智能家居语音助理，只是建议可能可以粉刷一下墙壁，可能看起来会更干净些。整体来说都挺满意的。,喜欢 民宿 正街 漂亮 有趣 小店 酒吧 两家 不用 排队 茶颜悦色 靠近 五一广场 柜台 小姐姐 友善 周到 推荐 美食 房间 满意 整洁 房间 有个 电视机 智能家居 语音 助理 建议 粉刷 墙壁 干净 整体 满意,0.999994467355048,正面
于2023年9月入住,朋友出游,5.0,很久没有出来玩了，赶着学生都开学了出来玩了几天，怎么说呢，这家民宿位置很不错，环境也好，服务真的很棒，有求必应，真的非常好，楼下很多小吃，一到晚上真的非常热闹，下次还来玩,很久没 赶着 学生 开学 几天 这家 民宿 位置 不错 环境 服务 真的 很棒 有求必应 真的 楼下 小吃 晚上 真的 热闹 下次,0.9948153325650637,正面
于2023年9月入住,独自旅行,5.0,民宿交通非常方便，在都正街闹中取静，楼下还有周记粉店、茶颜悦色很多好吃的。房间干净，设施齐全，床躺着特别舒服，浴室水特别好，值得推荐。尤其前台服务特别周到，主动推荐周边好吃的，特别适合旅游的人。,民宿 交通 正街 闹中取静 楼下 周记 粉店 茶颜悦色 好吃 房间 干净 设施 齐全 特别 舒服 浴室 特别 值得 推荐 前台 服务 特别 周到 主动 推荐 周边 好吃 特别 适合 旅游,0.9999990194159298,正面
于2023年9月入住,家庭亲子,5.0,房间和图片一致，装修风格很喜欢，入住放心，周边交通出行方便。隔音好，空调凉爽，睡得很安稳。老板服务也很周到，即问即答的那种，下次来长沙还会订。,房间 图片 装修 风格 喜欢 入住 放心 周边 交通 出行 隔音 空调 凉爽 安稳 老板 服务 周到 即答 那种 下次 长沙,0.9771889778455476,正面
于2023年9月入住,情侣出游,5.0,房间很舒服，干净，位处都正街，但环境安静，基本无吵闹。住客们也都很好，还有一位朋友过生日给我们送了块蛋糕,房间 舒服 干净 位处 正街 环境 安静 吵闹 住客 一位 朋友 过生日 蛋糕,0.8255196366634319,正面
于2023年9月入住,家庭亲子,5.0,有种住家的感觉，卫生和服务也很好，出门吃饭游玩也特别方便，老婆特别满意，下次一定还会再来！！,有种 住家 感觉 卫生 服务 出门 吃饭 游玩 特别 老婆 特别 满意 下次,0.7500499572422581,正面
于2023年9月入住,家庭亲子,5.0,服务贴心，老板还是嵊州老乡，给推荐了长沙地道美食，周围交通便捷，有机会再来,服务 贴心 老板 嵊州 老乡 推荐 长沙 地道 美食 交通 便捷 机会,0.9999411582378392,正面
于2023年9月入住,朋友出游,5.0,位置特别好，下面全是小吃，房间很干净，非常推荐，下次有机会还来，推荐推荐,位置 特别 小吃 房间 干净 推荐 下次 机会 推荐 推荐,0.9732739415408438,正面
于2023年9月入住,情侣出游,5.0,服务热情周到，位置很好，周围小吃很多，房间也很安静,服务 热情周到 位置 小吃 房间 安静,0.9916510953773248,正面
于2023年9月入住,独自旅行,5.0,太好了太好了 好喜欢这个阳台，前台小姐姐人超好 位置也方便的很就走路可以去国金和解放西，尊嘟很好 棒,太好了 太好了 喜欢 阳台 前台 小姐姐 超好 位置 走路 国金 解放,0.9117021555811755,正面
于2023年9月入住,家庭亲子,5.0,房间赶紧整洁 老板人也非常热情,房间 赶紧 整洁 老板 热情,0.4559690087440027,正面
于2023年9月入住,独自旅行,5.0,房子不错，楼下很多美食,房子 不错 楼下 美食,0.9906523949252835,正面
于2023年9月入住,朋友出游,5.0,干净整洁，不错选择,干净 整洁 不错 选择,0.9820070531800686,正面
