Pre-Theme,Theme,Sim
Jan Topic 0,Feb Topic 0,0.90
Jan Topic 0,Feb Topic 1,0.80
Jan Topic 0,Feb Topic 2,0.71
Jan Topic 0,Feb Topic 3,0.71
Jan Topic 0,Feb Topic 4,0.85
Jan Topic 0,Feb Topic 5,0.74
Jan Topic 0,Feb Topic 6,0.76
Jan Topic 0,Feb Topic 7,0.69
Jan Topic 0,Feb Topic 8,0.79
Jan Topic 0,Feb Topic 9,0.74
Jan Topic 0,Feb Topic 10,0.68
Jan Topic 0,Feb Topic 11,0.89
Jan Topic 0,Feb Topic 12,0.75
Jan Topic 1,Feb Topic 0,0.82
Jan Topic 1,Feb Topic 1,0.90
Jan Topic 1,Feb Topic 2,0.67
Jan Topic 1,Feb Topic 3,0.58
Jan Topic 1,Feb Topic 4,0.77
Jan Topic 1,Feb Topic 5,0.72
Jan Topic 1,Feb Topic 6,0.74
Jan Topic 1,Feb Topic 7,0.69
Jan Topic 1,Feb Topic 8,0.74
Jan Topic 1,Feb Topic 9,0.69
Jan Topic 1,Feb Topic 10,0.71
Jan Topic 1,Feb Topic 11,0.84
Jan Topic 1,Feb Topic 12,0.73
Jan Topic 2,Feb Topic 0,0.76
Jan Topic 2,Feb Topic 1,0.59
Jan Topic 2,Feb Topic 2,0.91
Jan Topic 2,Feb Topic 3,0.63
Jan Topic 2,Feb Topic 4,0.69
Jan Topic 2,Feb Topic 5,0.67
Jan Topic 2,Feb Topic 6,0.57
Jan Topic 2,Feb Topic 7,0.53
Jan Topic 2,Feb Topic 8,0.67
Jan Topic 2,Feb Topic 9,0.64
Jan Topic 2,Feb Topic 10,0.63
Jan Topic 2,Feb Topic 11,0.74
Jan Topic 2,Feb Topic 12,0.72
Jan Topic 3,Feb Topic 0,0.70
Jan Topic 3,Feb Topic 1,0.60
Jan Topic 3,Feb Topic 2,0.69
Jan Topic 3,Feb Topic 3,0.77
Jan Topic 3,Feb Topic 4,0.68
Jan Topic 3,Feb Topic 5,0.68
Jan Topic 3,Feb Topic 6,0.58
Jan Topic 3,Feb Topic 7,0.56
Jan Topic 3,Feb Topic 8,0.65
Jan Topic 3,Feb Topic 9,0.70
Jan Topic 3,Feb Topic 10,0.58
Jan Topic 3,Feb Topic 11,0.72
Jan Topic 3,Feb Topic 12,0.69
Jan Topic 4,Feb Topic 0,0.84
Jan Topic 4,Feb Topic 1,0.80
Jan Topic 4,Feb Topic 2,0.68
Jan Topic 4,Feb Topic 3,0.72
Jan Topic 4,Feb Topic 4,0.97
Jan Topic 4,Feb Topic 5,0.78
Jan Topic 4,Feb Topic 6,0.82
Jan Topic 4,Feb Topic 7,0.64
Jan Topic 4,Feb Topic 8,0.77
