主题数,困惑度,一致性
2,-6.671996296588023,0.4222329046546315
3,-6.787428390845902,0.41347679442206103
4,-6.868953812931459,0.3917306416038868
5,-6.936456048842456,0.38713924029964336
6,-7.024589349877672,0.3833695832373453
7,-7.098986703549169,0.36268100156687905
8,-7.131977665538502,0.394820929269581
9,-7.175058621816878,0.35360362416297203
10,-7.256603940717394,0.36128040913580844
11,-7.254728249269043,0.34532416253305664
12,-7.344154772989465,0.36023572493138173
13,-7.3786792214138455,0.3526754111618849
14,-7.469120514456435,0.35477810137338556
15,-7.495634006782002,0.35424128201217014
16,-7.487587424953425,0.3478797216463082
17,-7.54062453676435,0.34332867625144275
18,-7.548880867630604,0.3490302552614411
19,-7.661934690885384,0.3433824438203699
20,-7.625008422837856,0.3582946874809818
