Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重
房间,0.059,干净,0.052,房间,0.038,干净,0.043,房间,0.042,入住,0.024,房间,0.035,房间,0.039,房间,0.057,干净,0.046,房间,0.073,房间,0.052,房间,0.053,不错,0.056
干净,0.029,环境,0.046,民宿,0.037,老板,0.042,干净,0.033,环境,0.024,出行,0.023,民宿,0.035,干净,0.032,民宿,0.032,干净,0.030,不错,0.040,干净,0.036,房间,0.053
位置,0.026,房间,0.035,干净,0.020,房间,0.036,满意,0.025,民宿,0.022,不错,0.023,干净,0.024,推荐,0.029,房间,0.030,位置,0.018,干净,0.037,卫生,0.033,干净,0.029
入住,0.024,卫生,0.029,环境,0.017,不错,0.024,舒服,0.023,酒店,0.022,入住,0.019,不错,0.022,环境,0.022,环境,0.020,酒店,0.018,民宿,0.034,环境,0.029,民宿,0.022
卫生,0.022,设施,0.021,设施,0.016,整洁,0.020,入住,0.020,房间,0.022,适合,0.018,舒服,0.020,不错,0.019,入住,0.019,体验,0.013,环境,0.034,设施,0.016,满意,0.017
舒适,0.021,民宿,0.017,推荐,0.015,环境,0.020,贴心,0.018,老板,0.020,热情,0.018,酒店,0.020,卫生,0.018,不错,0.016,满意,0.012,设施,0.027,推荐,0.015,卫生,0.015
推荐,0.017,喜欢,0.016,卫生,0.014,民宿,0.018,民宿,0.015,性价比,0.013,位置,0.018,管家,0.019,民宿,0.018,体验,0.014,服务态度,0.012,卫生,0.027,管家,0.013,入住,0.015
朋友,0.015,风格,0.014,酒店,0.014,入住,0.015,拍照,0.012,干净,0.013,民宿,0.016,环境,0.017,喜欢,0.015,位置,0.014,入住,0.012,喜欢,0.022,感觉,0.011,舒服,0.015
民宿,0.015,热情,0.013,管家,0.013,酒店,0.013,推荐,0.011,不错,0.013,环境,0.016,热情,0.012,适合,0.014,卫生,0.014,环境,0.012,整洁,0.014,不错,0.011,环境,0.015
老板,0.013,舒服,0.013,不错,0.013,卫生,0.013,环境,0.011,提前,0.012,酒店,0.014,体验,0.012,体验,0.014,管家,0.014,推荐,0.010,热情,0.014,喜欢,0.011,体验,0.013
适合,0.013,舒适,0.013,前台,0.012,推荐,0.012,感觉,0.009,管家,0.012,干净,0.014,推荐,0.012,整体,0.011,推荐,0.012,卫生,0.010,舒服,0.012,位置,0.010,感觉,0.012
环境,0.012,入住,0.013,热情,0.011,舒服,0.011,卫生,0.009,贴心,0.011,好吃,0.012,卫生,0.012,出行,0.009,整洁,0.011,民宿,0.010,老板,0.012,入住,0.010,交通,0.012
