主题数,困惑度,一致性
2,-6.41188437591371,0.41430313916343287
3,-6.5156097087471485,0.3933963044389625
4,-6.603274483893364,0.3918876189867897
5,-6.6523004375819506,0.3890481141106318
6,-6.713580782202655,0.37236274085737314
7,-6.772849603860212,0.38303984266578656
8,-6.8111921740659165,0.3819794052444731
9,-6.841274494464946,0.3774025031279409
10,-6.903158318413908,0.38423402261143014
11,-6.960389117523059,0.38678106932867534
12,-6.986781304355956,0.3839413254236881
13,-6.998130856342433,0.3823093413206862
14,-7.077276321938255,0.38743322488644255
15,-7.057437542409924,0.38545615929445776
