评论内容,fenci
酒店设施非常完善 ，卫生干净 ，周围包括里面环境也很好 ，隔音效果也非常好 ，重点是最最好的是服务，基本上都是有答必应（能帮助到我们的），求助了工作人员 非常有耐心的帮忙 很感谢！,酒店设施 完善 卫生 干净 包括 环境 隔音 效果 重点 有答 求助 工作人员 耐心 帮忙 感谢
卫生：打扫很到位，看着很舒服，就像小家一样，很温馨。 服务：密码发送很及时，有问必答。 位置：楼下夜宵摊能开到凌晨两点钟，很晚饿了都能下楼找东西吃，很便捷。 装修：装修的细节能看出房东花了很多心思，很细节了。 设施：智能马桶，戴森吹风机，4投影,卫生 打扫 到位 看着 舒服 小家 密码发送 位置 摊能 开到 下楼 便捷 装修 装修 细节 房东 心思 细节 设施 智能 马桶 吹风机 投影
很好的一家店，环境很好哦，非常干净。店内复古风格我很喜欢，非常不错的一次出行体验。离五一广场很近，附近有很多可以逛的店铺，下次来还会选择这里哦！,很好 环境 干净 风格 喜欢 不错 出行 体验 店铺 选择
跟对象来长沙旅游，很高兴入住那么舒适的民宿，服务特别的亲切周到，真真切切是我想象中民宿的体验感了，所有东西都安排妥当了，设施也很齐全，入住过程也是非常的顺利，尊的很不差！,对象 入住 舒适 民宿 亲切 周到 想象 民宿 体验 安排 妥当 设施 入住 过程 顺利
地理位置很优越，周边吃饭很方便，离景点也很近，去五一、、解放西走路就到了，楼下就是咖啡店，环境特别漂亮。房间很干净，住得也很舒心，各种 设施一应俱全，布置得特别温譽漂亮，对女孩子来说简直是梦中情房！下次来长沙还要住家民宿！,地理位置 优越 吃饭 景点 解放 走路 咖啡店 环境 漂亮 房间 干净 舒心 设施 布置 温譽 漂亮 女孩子 情房 住家 民宿
性价比极高！非常干净舒适，这周过来长沙很冷，暖气非常的足不用担心冷。房间设施配备齐全，吹风筒还是戴森的，这点太赞了！,性价比 干净 舒适 暖气 不用 担心 房间 设施 配备 吹风
设施：复古的英式风格，一楼是咖啡厅，二楼和三楼是住宿房间，房间是密码的，电动马桶，戴森吹风机，洗漱用品齐全卫生：房间很干净，床品也舒服，就是床板有些硬,设施 风格 一楼 咖啡厅 二楼 住宿 房间 房间 密码 电动 马桶 吹风机 洗漱 用品 卫生 房间 干净 床品 舒服 床板
很开心最近淡季来长沙旅游，不仅仅住到这么高性价比的房间，也有很好的体验，各个方面的设施很好。不知道是不是最近客人比较少，民宿管家的服务质量也特别高，回复消息也很快，入住当天天气也很好，太惬意了！,开心 淡季 房间 很好 体验 设施 客人 民宿 管家 服务质量 回复 消息 入住 天气 惬意
很庆幸自己选择了这家民宿，性价比很高，不仅设施设备好，主要是服务态度非常好，包括打扫卫生的阿姨都会跟我们打招呼，环境也很好，很满意下次放假再来！,庆幸 选择 民宿 性价比 设施 服务态度 包括 打招呼 环境 满意 放假
一家很有温度的民宿，房间特别是干净，连厕所都非常哇塞，很喜欢这种干湿分离的房型。房间设施也是非常齐全。服务很很周到，给我们搬行李，房间在三楼就一个房间，很安静，早上醒来真的很温暖！下次一定还来！,温度 民宿 房间 干净 厕所 喜欢 干湿 分离 房型 房间 设施 周到 行李 房间 房间 醒来 温暖
这家民宿挺干净舒适的，也考虑的很周到细节，民宿装修也很有格调！房间的装修风格让人心旷神怡！最舒服的就是床，能躺一天！个人感觉还是性价比蛮高的！,民宿 干净 舒适 周到 细节 民宿 装修 格调 房间 装修 风格 个人感觉 性价比 蛮高
楼下咖啡店楼上民宿别太爱，下午喝个下午茶阳光透过玻璃打进来超出片，二楼还有一个花窗，好多明星网红都打卡过！房间也特别温馨舒适！下次还来！,咖啡店 民宿 下午茶 透过 玻璃 超出 二楼 花窗 打卡 房间 舒适
干净整洁 风格也是我喜欢的类型 躺床上就不想起来了🤪位置也很好找 晚上还可以在附近逛逛 附近啥都有 也有很多好卡的地方 超出片！😍,干净 整洁 风格 喜欢 类型 床上 不想 位置 好找 逛逛 地方 超出
位置优越，交通便利，位置很好，出行方便。前台服务热情，效率高，周到。房间采光好，明亮，舒适，卫生很干净，周到。非常好，强力推荐！,位置 优越 交通 便利 位置 出行 前台 热情 效率高 周到 房间 采光 明亮 舒适 卫生 干净 周到 强力 推荐
装修很喜欢，设施也很好用，周边都很方便，管家服务不错，唯一的问题，就是雨果太小了，两个人施展不开，适合一个人或者两个人特种兵旅游，如果预算高换个大房间更好了。,装修 喜欢 设施 好用 管家 不错 雨果 太小 适合 特种兵 预算 房间
非常满意这次的住宿环境 很爱这种欧式风格 位置也好找 附近都是好玩的好吃的 店内还有下午茶可以进行拍照打卡,满意 住宿 环境 欧式 风格 位置 好玩 好吃 下午茶 拍照 打卡
这次旅行最大的收获，就是我在外玩来到本店就像回到了家一样的，服务热情. 干净卫生，还有24个小时的管家服务，,收获 在外 来到 本店 回到 热情 干净 卫生 小时 管家
房间很整洁，环境也很漂亮，拍照特别特别出片，推荐！,房间 整洁 环境 很漂亮 拍照 出片 推荐
好看！喜欢！特别好！,好看 喜欢
太漂亮了，非常有品位的一家民宿，法式的松弛感，床品的品质也非常好，还会再来。,品位 民宿 法式 松弛 床品 品质
很推荐 很漂亮 服务也很好,推荐 很漂亮
很美！来长沙打卡的宝子们都来这里拍照,打卡 宝子 拍照
房间很干净 舒心！！,房间 干净 舒心
唔错，下次会再选择哩度,选择
房间环境很好，客服态度也非常好，一楼有一个大沙发，还有投影仪 可以看电影，二楼有我最爱的4，玩了一晚上双人成行，真的太适合周末度假了！！民宿旁边吃吃喝喝的店超级多，还临地铁口，出门就可以到处玩，地段也很完美,房间 环境 客服 态度 一楼 投影仪 电影 二楼 最爱 双人 成行 适合 度假 民宿 还临 地铁口 出门 地段 完美
第二次入住啦……电梯及入户都很干净……楼下就是广场，交通便利…离地铁口也就几百米，晚上很多小吃。选择多多….房间布置温馨…很有家的感觉….后面两天住的麻将房，很适合朋友一起玩乐，喝个小酒….很不错的入住体验…下次来还住这里…..,入住 电梯 入户 干净 广场 交通 便利 地铁口 小吃 选择 房间 布置 感觉 麻将 适合 朋友 玩乐 不错 入住 体验
很不错，非常的好，设施齐全舒适，卫生干净，环境很好，服务也不错，值得推荐！绝对不会踩雷的！,不错 设施 舒适 卫生 干净 环境 不错 值得 推荐
写字楼下周围吃的很丰富，交通很方便，离马场地铁口10分钟的距离。两张床，房间够大。一家老小住很合适。,写字楼 交通 马场 地铁口 距离 两张床 房间 合适
满意 房间干净 被子也舒服 个人觉得住的比酒店舒服 护发素也是那种比较好的 房间拍照也挺出片的 推荐推荐,满意 房间 干净 被子 舒服 酒店 舒服 护发素 房间 拍照 推荐 推荐
非常喜欢梦 每次出门都是预定梦 坏境好价格优惠,喜欢 出门 预定 价格
环境特别好 住在里面特别温馨卫生也特别安静,环境 卫生
第二次，还是只隔了一个星期，又来体验了一下这家店的其他房间，依然很满意，我还是觉得很好，他们家每天有不同的特价房间，大家可以根据需求预定自己喜欢的样子，情侣啊，长辈啊，亲子的都很赞的。楼下夜宵，长沙特色小吃也都蛮全的。还是很赞。出行方便。赞赞赞图片这次没拍，跟店家宣传的一模一样，没差我这里还是想提了一小小的建议，冰箱里可以放点需要购买的水品和饮料吗？有时候太晚真不想自己带水啦😂😂，还不想下楼，年轻人有点累啊😆,体验 房间 满意 特价 房间 需求 预定 喜欢 样子 情侣 长辈 亲子 特色小吃 出行 赞赞 图片 没拍 店家 没差 建议 冰箱 购买 水品 饮料 不想 带水 不想 下楼 年轻人 有点累
满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意,满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意
