主题数,困惑度,一致性
2,-6.3957209210960135,0.4752708560705629
3,-6.437680228885185,0.4795105864096964
4,-6.433868413923895,0.5028718371985047
5,-6.495983477047727,0.4504127830554189
6,-6.53607246573945,0.48521008228926615
7,-6.56469958280879,0.5029820222774656
8,-6.65102394745576,0.4838148645645782
9,-6.721869109593377,0.4708503557153414
10,-6.828760838640223,0.48744628687288555
11,-6.945615875590904,0.4759279885147347
12,-7.0918607572142065,0.490417792153578
13,-7.242073922420771,0.49109645167481886
14,-7.355240865322536,0.4917355254436505
