Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重
考生,0.016,谢谢,0.026,女孩,0.099,短信,0.034,专业,0.040,喜欢,0.017,进一步,0.009,学校,0.039,北京,0.024,工作,0.035
中国,0.014,招聘,0.014,男孩,0.054,培训,0.018,研究生,0.023,男生,0.011,一种,0.009,同学,0.030,发展,0.020,手指,0.028
百度,0.014,烦死,0.009,气愤,0.020,书记,0.017,校庆,0.023,朋友,0.010,联系电话,0.009,谢谢,0.020,活动,0.019,电话,0.018
地址,0.014,希望,0.009,智商,0.015,狐狸,0.016,农学院,0.018,真的,0.007,精神,0.008,请问,0.018,工作,0.018,手机,0.018
方向,0.013,帖子,0.008,女人,0.010,机率,0.016,学校,0.018,女生,0.007,提出,0.008,老师,0.016,学院,0.013,五个,0.017
日本,0.012,科学,0.008,企业,0.010,十个,0.014,调剂,0.016,回应,0.007,世界,0.008,学生,0.016,大学生,0.013,联系方式,0.013
食物,0.011,业务,0.007,男人,0.010,全国,0.013,学院,0.015,母亲,0.007,工作,0.007,爸爸,0.014,希望,0.011,分析,0.013
再见,0.011,博客,0.006,农民,0.010,代理,0.013,北京,0.015,爱情,0.007,高手,0.007,农学院,0.012,会议,0.011,讲座,0.012
总分,0.010,资源,0.006,国家,0.010,外语,0.011,项目,0.014,东西,0.007,提高,0.006,时间,0.011,我校,0.011,比赛,0.009
一楼,0.009,用户,0.006,俱乐部,0.009,控制,0.011,学姐,0.014,动漫,0.007,梦想,0.006,北京,0.011,朋友,0.009,影响,0.007
翻译,0.009,合作,0.006,招生,0.008,原创,0.011,学长,0.014,告诉,0.006,人类,0.006,有没有,0.009,门票,0.009,感兴趣,0.006
学生证,0.009,生命,0.006,经济,0.006,小弟,0.010,资料,0.014,指出,0.005,奶奶,0.006,考试,0.009,院长,0.009,工程,0.006
警察,0.008,大哥,0.005,分数线,0.006,有人,0.010,工作,0.013,生活,0.005,时间,0.005,北农,0.008,北农,0.009,知识,0.006
自行车,0.007,生活,0.005,故事,0.006,费用,0.009,谢谢,0.013,一点,0.005,活动,0.005,英语,0.008,交流,0.009,上帝,0.006
打电话,0.006,大姐,0.005,国际,0.005,登录,0.009,考研,0.013,感觉,0.005,品牌,0.005,价格,0.008,提供,0.008,赚钱,0.006
证明,0.006,主题,0.005,男友,0.005,经验,0.009,新生,0.011,一种,0.005,回头,0.005,告诉,0.008,校园,0.008,机构,0.005
一辆,0.006,人生,0.005,有钱,0.005,沟通,0.007,有没有,0.010,时间,0.004,昌平,0.005,兼职,0.007,服务,0.008,办学,0.005
上午,0.006,无聊,0.005,贸易,0.005,营养,0.007,校友,0.010,等待,0.004,少年,0.005,毕业,0.007,推荐,0.007,助理,0.005
风景园林,0.006,国家,0.005,事业,0.004,名额,0.007,北农,0.009,慢慢,0.004,希望,0.005,开发,0.007,建设,0.007,免费,0.005
国家,0.006,一生,0.005,三星,0.004,拜托,0.006,咨询,0.008,上班,0.004,做出,0.005,学习,0.007,中国,0.007,一代,0.005
