word,counts
谢谢,663
烦死,227
一楼,204
有人,181
希望,163
带球,151
帖子,149
韭菜,135
学校,123
真的,109
北农,107
名字,103
前世,94
快乐,88
经验,87
无聊,84
幸福,79
朋友,77
生活,74
时间,73
也许,66
喜欢,66
端口,66
人生,65
记得,64
留下,64
今生,64
我会,62
求助,62
发现,60
同学,60
生命,60
北京,55
服务器,55
世界,54
新生,51
永远,50
不想,49
离开,49
忘记,48
回来,47
好好,46
回忆,45
魔术,44
登录,44
挥发,44
以太网,44
一生,43
短信,43
感觉,42
放弃,41
有意者,41
明天,41
祝福,40
东西,40
化肥,40
两个,39
老师,39
贴子,39
一种,38
接口板,38
分享,37
手机,37
喂狗,37
妹子,37
连接,37
老板,37
几天,36
公主,36
送给,35
下午,35
睡觉,34
大哥,33
只能,33
想起,33
因果,33
电脑,32
农学院,32
兄弟,32
学生,31
精品,31
顾客,31
关系,31
有没有,31
学长,30
毕业,30
寻找,30
微笑,30
努力,29
机会,29
老乡,29
专业,29
面对,29
空间,29
中午,29
拥有,29
寂寞,28
百度,28
晚上,28
王子,28
