word,counts
喜欢,1635
朋友,1146
真的,969
学校,877
感觉,743
东西,717
爱情,697
时间,680
发现,676
宿舍,674
希望,654
生活,638
告诉,530
一种,525
同学,522
也许,466
有人,465
女生,455
事情,452
永远,428
幸福,403
男生,403
孩子,402
工作,397
快乐,387
世界,381
大学,374
两个,371
老师,367
一点,354
不想,351
北农,351
女孩,332
男人,325
看着,322
地方,318
晚上,316
记得,310
学生,310
妈妈,296
手机,293
特别,286
有没有,284
电话,283
学习,280
答案,278
身边,278
离开,278
只能,274
几个,273
不到,268
母亲,268
生命,265
感情,264
选择,262
北京,262
女人,261
终于,254
不好,253
不错,249
谢谢,249
我会,242
回来,240
中国,239
好好,237
日子,234
父母,234
机会,229
食堂,227
不用,225
回家,225
忘记,222
分手,220
有个,217
毕业,217
开心,215
痛苦,214
可爱,213
放弃,211
找到,211
努力,210
名字,208
吃饭,205
一句,205
想要,204
一位,203
回答,203
爸爸,203
一年,201
家里,201
男孩,200
明白,198
眼睛,198
发生,197
人生,196
一只,195
情况,195
第一次,192
那种,191
每次,190
