词语,词频
自己,1108
没有,594
工作,467
焦虑,407
孩子,317
生活,234
别人,229
事情,208
感觉,198
紧张,185
问题,178
如果,167
朋友,159
一直,154
不能,145
压力,140
父母,124
担心,122
学习,119
情绪,115
不想,115
老师,111
妈妈,110
每天,108
害怕,108
能力,104
结婚,104
总是,102
结果,102
忧虑,102
职业,99
希望,98
学生,98
选择,98
努力,96
人生,92
公司,92
状态,85
不敢,85
学校,84
家里,83
社交,81
家庭,81
心理,75
大学,74
社会,72
痛苦,72
比较,71
同学,70
恐惧,70
女性,64
面试,63
教育,62
发展,62
经历,62
身体,60
成绩,59
专业,59
心里,59
未来,59
评价,58
改变,58
毕业,57
面对,57
疫情,57
精神,57
经常,56
老公,56
方式,54
地方,54
环境,53
领导,53
过去,52
世界,50
内心,50
现实,48
感受,48
关系,47
想法,46
更好,46
一年,46
开心,46
考试,46
表现,46
回家,45
失眠,45
中国,45
理解,44
接受,44
自然,44
不断,44
直接,44
男人,44
上班,44
严重,44
焦躁,44
方法,43
睡觉,43
工资,43
offer,42
晚上,42
快乐,42
在家,42
内耗,42
就业指导,42
抑郁,41
不行,41
怎么办,41
遇到,41
作业,41
家长,40
意义,40
成功,40
自我,40
准备,40
永远,39
同事,39
医院,39
企业,39
从小,38
机会,38
爸妈,38
关注,38
年纪,37
一切,37
不同,37
本来,37
30,36
必须,36
负面,36
家人,36
目标,36
讨厌,36
手机,36
他人,36
容貌,36
失败,35
恋爱,35
烦躁,35
学会,35
要求,34
思考,34
放松,34
目前,34
天天,34
女生,34
