Source,Target,Type,Weight
自己,成绩,Undirected,29
自己,孩子,Undirected,56
自己,感觉,Undirected,76
自己,希望,Undirected,48
自己,焦虑,Undirected,74
自己,一直,Undirected,68
自己,身边,Undirected,33
自己,成功,Undirected,25
自己,同学,Undirected,31
自己,事情,Undirected,69
自己,社会,Undirected,25
自己,难过,Undirected,15
自己,高中,Undirected,13
自己,毕业,Undirected,30
自己,别人,Undirected,76
自己,大学,Undirected,33
自己,觉得,Undirected,87
自己,失败,Undirected,23
自己,家里,Undirected,41
自己,专业,Undirected,24
自己,无法,Undirected,40
自己,需要,Undirected,47
自己,学生,Undirected,20
自己,家庭,Undirected,33
自己,学校,Undirected,34
自己,压力,Undirected,48
自己,喜欢,Undirected,47
自己,最近,Undirected,35
自己,学习,Undirected,45
自己,问题,Undirected,67
自己,选择,Undirected,43
自己,改变,Undirected,34
自己,以后,Undirected,29
自己,环境,Undirected,29
自己,现在,Undirected,96
自己,一年,Undirected,25
自己,每天,Undirected,52
自己,抑郁,Undirected,20
自己,工作,Undirected,106
自己,人生,Undirected,36
自己,有时候,Undirected,24
自己,生活,Undirected,82
自己,状态,Undirected,43
自己,不敢,Undirected,33
自己,说话,Undirected,31
自己,紧张,Undirected,26
自己,想要,Undirected,37
自己,感到,Undirected,33
自己,考试,Undirected,17
自己,妈妈,Undirected,26
自己,晚上,Undirected,18
自己,睡觉,Undirected,18
自己,身体,Undirected,29
自己,朋友,Undirected,67
自己,不行,Undirected,25
自己,烦恼,Undirected,14
自己,困难,Undirected,18
自己,负面,Undirected,14
自己,放松,Undirected,12
自己,担心,Undirected,39
自己,压抑,Undirected,16
自己,陷入,Undirected,14
自己,情绪,Undirected,40
自己,结果,Undirected,45
自己,经常,Undirected,38
自己,担忧,Undirected,16
自己,总是,Undirected,44
自己,不能,Undirected,63
自己,缓解,Undirected,17
自己,准备,Undirected,21
自己,吃饭,Undirected,21
自己,领导,Undirected,23
自己,公司,Undirected,28
自己,回家,Undirected,20
自己,怎么办,Undirected,24
自己,能力,Undirected,44
自己,持续,Undirected,13
自己,去年,Undirected,12
自己,完成,Undirected,15
自己,难以,Undirected,13
自己,面对,Undirected,34
自己,目前,Undirected,14
自己,未来,Undirected,34
自己,城市,Undirected,19
自己,决定,Undirected,22
自己,失眠,Undirected,17
自己,不想,Undirected,50
自己,家人,Undirected,17
自己,如何,Undirected,35
自己,比较,Undirected,42
自己,办法,Undirected,34
自己,地方,Undirected,28
自己,同事,Undirected,20
自己,医院,Undirected,14
自己,医生,Undirected,11
自己,有点,Undirected,33
自己,工资,Undirected,20
自己,内心,Undirected,26
自己,房子,Undirected,13
自己,长期,Undirected,16
自己,睡不着,Undirected,11
自己,烦躁,Undirected,19
自己,天天,Undirected,12
自己,下班,Undirected,16
自己,经历,Undirected,36
自己,疫情,Undirected,18
自己,安排,Undirected,15
自己,面试,Undirected,19
自己,上班,Undirected,24
自己,在家,Undirected,23
自己,父母,Undirected,39
自己,老师,Undirected,32
自己,迷茫,Undirected,13
自己,爸爸,Undirected,12
自己,稳定,Undirected,16
自己,生病,Undirected,13
自己,严重,Undirected,25
自己,解决,Undirected,32
自己,关系,Undirected,27
自己,害怕,Undirected,41
自己,失去,Undirected,23
自己,心情,Undirected,21
自己,影响,Undirected,34
自己,合适,Undirected,12
自己,怀疑,Undirected,16
自己,想着,Undirected,12
自己,表现,Undirected,19
自己,今年,Undirected,18
自己,照顾,Undirected,15
自己,睡眠,Undirected,11
自己,经济,Undirected,12
自己,长时间,Undirected,11
自己,面临,Undirected,12
自己,不安,Undirected,12
成绩,孩子,Undirected,15
成绩,感觉,Undirected,16
成绩,希望,Undirected,14
成绩,焦虑,Undirected,15
成绩,一直,Undirected,17
成绩,同学,Undirected,13
成绩,事情,Undirected,16
成绩,高中,Undirected,10
成绩,毕业,Undirected,10
成绩,别人,Undirected,20
成绩,大学,Undirected,14
成绩,觉得,Undirected,22
成绩,没有,Undirected,27
成绩,家里,Undirected,12
成绩,专业,Undirected,10
成绩,无法,Undirected,12
成绩,需要,Undirected,17
成绩,学生,Undirected,11
成绩,学校,Undirected,15
成绩,压力,Undirected,15
成绩,喜欢,Undirected,18
成绩,学习,Undirected,16
成绩,问题,Undirected,21
成绩,选择,Undirected,15
成绩,以后,Undirected,11
成绩,现在,Undirected,21
成绩,工作,Undirected,25
成绩,人生,Undirected,14
成绩,生活,Undirected,16
成绩,状态,Undirected,13
成绩,不敢,Undirected,10
成绩,说话,Undirected,11
成绩,考试,Undirected,11
成绩,妈妈,Undirected,11
成绩,朋友,Undirected,12
成绩,情绪,Undirected,10
成绩,结果,Undirected,11
成绩,经常,Undirected,13
成绩,不能,Undirected,12
成绩,能力,Undirected,11
成绩,未来,Undirected,12
成绩,不想,Undirected,10
成绩,比较,Undirected,12
成绩,有点,Undirected,11
成绩,经历,Undirected,10
成绩,父母,Undirected,12
成绩,老师,Undirected,13
孩子,感觉,Undirected,29
孩子,希望,Undirected,26
孩子,焦虑,Undirected,28
孩子,一直,Undirected,27
孩子,身边,Undirected,16
孩子,同学,Undirected,12
孩子,事情,Undirected,31
孩子,社会,Undirected,10
孩子,难过,Undirected,10
孩子,毕业,Undirected,11
孩子,别人,Undirected,27
孩子,大学,Undirected,15
孩子,觉得,Undirected,29
孩子,没有,Undirected,48
孩子,家里,Undirected,21
孩子,无法,Undirected,16
孩子,需要,Undirected,23
孩子,学生,Undirected,10
孩子,家庭,Undirected,19
孩子,学校,Undirected,16
孩子,压力,Undirected,20
孩子,喜欢,Undirected,25
孩子,最近,Undirected,16
孩子,学习,Undirected,20
孩子,问题,Undirected,31
孩子,选择,Undirected,23
孩子,改变,Undirected,11
孩子,以后,Undirected,18
孩子,环境,Undirected,12
孩子,现在,Undirected,43
孩子,一年,Undirected,14
孩子,每天,Undirected,18
孩子,工作,Undirected,38
孩子,人生,Undirected,17
孩子,有时候,Undirected,11
孩子,生活,Undirected,35
孩子,状态,Undirected,19
孩子,不敢,Undirected,17
孩子,说话,Undirected,10
孩子,想要,Undirected,12
孩子,感到,Undirected,13
孩子,妈妈,Undirected,18
孩子,睡觉,Undirected,11
孩子,身体,Undirected,17
孩子,朋友,Undirected,18
孩子,不行,Undirected,11
孩子,担心,Undirected,15
孩子,压抑,Undirected,10
孩子,情绪,Undirected,13
孩子,结果,Undirected,20
孩子,经常,Undirected,20
孩子,总是,Undirected,15
孩子,不能,Undirected,25
孩子,回家,Undirected,13
孩子,怎么办,Undirected,12
孩子,能力,Undirected,18
孩子,面对,Undirected,13
孩子,未来,Undirected,15
孩子,决定,Undirected,10
孩子,不想,Undirected,22
孩子,如何,Undirected,15
孩子,比较,Undirected,22
孩子,办法,Undirected,16
孩子,地方,Undirected,11
孩子,有点,Undirected,14
孩子,内心,Undirected,10
孩子,经历,Undirected,18
