,word,values
0,street,0.102
1,shopping,0.087
2,food,0.07400000000000001
3,shop,0.044000000000000004
4,canyon,0.043
5,night,0.04
6,beauty,0.039
7,park,0.034
8,time,0.031
9,price,0.031
10,brand,0.03
11,eat,0.028999999999999998
12,day,0.027999999999999997
13,cream,0.027000000000000003
14,care,0.027000000000000003
15,hike,0.026000000000000002
16,drive,0.025
17,rock,0.023
18,trail,0.023
19,clothing,0.023
20,trip,0.022000000000000002
21,view,0.022000000000000002
22,visit,0.022000000000000002
23,road,0.021
24,tour,0.021
25,center,0.021
26,water,0.02
27,river,0.02
28,visitor,0.02
29,fashion,0.02
30,love,0.019
31,experience,0.019
32,tax,0.018000000000000002
33,seoul,0.017
34,sunrise,0.016
35,valley,0.016
36,mission,0.016
37,market,0.016
38,worth,0.016
39,sunset,0.015
40,subway,0.015
41,list,0.015
42,lot,0.015
43,walk,0.015
44,rio,0.013999999999999999
45,store,0.013999999999999999
46,ice,0.013000000000000001
47,district,0.013000000000000001
48,skin,0.013000000000000001
49,hotel,0.013000000000000001
50,afternoon,0.012
51,heart,0.012
52,nature,0.012
53,sand,0.012
54,discount,0.012
55,paradise,0.012
56,guide,0.012
57,variety,0.012
58,bryce,0.011000000000000001
59,morning,0.011000000000000001
60,sale,0.011000000000000001
61,family,0.011000000000000001
62,spot,0.011000000000000001
63,grande,0.011000000000000001
64,buy,0.011000000000000001
65,desert,0.01
66,creek,0.01
67,site,0.01
68,department,0.01
69,university,0.01
70,bargain,0.01
71,boat,0.01
72,evening,0.01
73,merchandise,0.01
74,climb,0.01
75,fun,0.009000000000000001
76,budget,0.009000000000000001
77,bit,0.009000000000000001
78,church,0.009000000000000001
79,bridge,0.009000000000000001
80,money,0.009000000000000001
81,korea,0.009000000000000001
82,exchange,0.009000000000000001
83,crowds,0.009000000000000001
84,type,0.009000000000000001
85,summit,0.009000000000000001
86,effort,0.009000000000000001
87,crowd,0.009000000000000001
88,drop,0.009000000000000001
89,life,0.009000000000000001
90,recommend,0.009000000000000001
91,history,0.009000000000000001
92,myeongdong,0.009000000000000001
93,mile,0.009000000000000001
94,tea,0.008
95,beach,0.008
96,watch,0.008
97,basin,0.008
98,friend,0.008
99,cross,0.008
100,tower,0.008
101,car,0.008
102,explore,0.008
103,staff,0.008
104,hour,0.008
105,path,0.008
106,service,0.008
107,access,0.008
108,bank,0.008
109,camera,0.008
110,scenery,0.008
111,bus,0.006999999999999999
112,ride,0.006999999999999999
113,bird,0.006999999999999999
114,quality,0.006999999999999999
115,sample,0.006999999999999999
116,tourist,0.006999999999999999
117,spring,0.006999999999999999
118,theater,0.006999999999999999
119,daughter,0.006999999999999999
120,stuff,0.006999999999999999
121,campground,0.006999999999999999
122,wildlife,0.006999999999999999
123,bbq,0.006999999999999999
124,woman,0.006999999999999999
125,plenty,0.006999999999999999
126,reason,0.006999999999999999
127,enjoy,0.006999999999999999
128,south,0.006999999999999999
129,city,0.006
130,choice,0.006
131,cliff,0.006
132,ranger,0.006
133,loop,0.006
134,hang,0.006
135,mask,0.006
136,picture,0.006
137,stroll,0.006
138,top,0.006
139,beautiful,0.006
140,trailhead,0.006
141,till,0.006
142,peace,0.006
143,gain,0.006
144,excellent,0.006
145,move,0.006
146,skincare,0.006
147,tucson,0.006
148,gift,0.006
149,arizona,0.006
150,wow,0.006
151,glacier,0.006
152,couple,0.006
153,cave,0.006
154,start,0.006
155,cactus,0.006
156,town,0.006
157,cat,0.006
158,coffee,0.006
159,camp,0.006
160,super,0.006
161,product,0.006
162,station,0.006
163,bend,0.006
164,item,0.006
165,house,0.005
166,throne,0.005
167,entrance,0.005
168,photo,0.005
169,credit,0.005
170,distance,0.005
171,week,0.005
172,card,0.005
173,potato,0.005
174,opportunity,0.005
175,plan,0.005
176,garden,0.005
177,amazing,0.005
178,parking,0.005
179,forest,0.005
180,sort,0.005
181,country,0.005
182,level,0.005
183,monument,0.005
184,stock,0.005
185,range,0.005
186,lake,0.005
187,sun,0.005
188,cute,0.005
189,april,0.005
190,wear,0.005
191,traffic,0.005
192,array,0.005
193,kartchner,0.005
194,idea,0.005
195,pace,0.005
196,location,0.005
197,language,0.005
198,check,0.005
199,cafes,0.005
200,buying,0.005
201,border,0.005
202,admission,0.005
203,shuttle,0.005
204,fruit,0.005
205,half,0.005
206,person,0.005
207,cost,0.005
208,dessert,0.005
209,share,0.005
210,sit,0.005
211,plaza,0.004
212,clean,0.004
213,destination,0.004
214,photography,0.004
215,avoid,0.004
216,goblin,0.004
217,stick,0.004
218,museum,0.004
219,elevation,0.004
220,endless,0.004
221,stay,0.004
222,restaurant,0.004
223,pass,0.004
224,refund,0.004
225,lotte,0.004
226,phone,0.004
227,bring,0.004
228,hiking,0.004
229,size,0.004
230,stream,0.004
231,chain,0.004
232,weather,0.004
233,meal,0.004
234,amount,0.004
235,pm,0.004
236,makeup,0.004
237,taste,0.004
238,sky,0.004
239,mountain,0.004
240,treat,0.004
241,husband,0.004
242,feel,0.004
243,justice,0.004
244,rain,0.004
245,reach,0.004
246,snack,0.004
247,class,0.004
248,adventure,0.004
249,bucket,0.004
250,attraction,0.004
251,wife,0.004
252,texas,0.004
253,energy,0.004
254,selection,0.004
255,crater,0.003
256,duty,0.003
257,corner,0.003
258,exit,0.003
259,purchase,0.003
260,joshua,0.003
261,egg,0.003
262,drove,0.003
263,weekend,0.003
264,mind,0.003
265,vendor,0.003
266,stomach,0.003
267,centre,0.003
