主题数,困惑度,一致性
2,289.98859494135814,0.15544814249539984
3,311.23113937180824,0.2285858656601182
4,329.0091488604742,0.24709446241576338
5,344.66425849803056,0.25369385897705543
6,362.1203561012602,0.2656358848238736
7,386.2733693111681,0.2707968782185039
8,437.11818797275544,0.26827716488933057
9,514.6828636124118,0.28505146641469037
10,657.0846281736909,0.28855403235355
11,889.6765470439432,0.320730945514075
12,1196.734431116157,0.289199105126363
13,1596.3458885412565,0.3356937684056537
14,1911.657346711724,0.3102821562252388
