,word,counts
0,故宫,18506
1,北京,3336
2,预约,3096
3,真的,3002
4,讲解,2967
5,提前,2751
6,历史,2364
7,地方,2307
8,午门,2276
9,珍宝馆,1910
10,门票,1898
11,展览,1875
12,感觉,1768
13,时间,1694
14,宫殿,1685
15,参观,1652
16,紫禁城,1651
17,拍照,1585
18,故宫博物院,1570
19,钟表,1545
20,建筑,1537
21,中国,1503
22,天安门,1371
23,孩子,1367
24,特别,1355
25,导游,1262
26,建议,1237
27,感受,1149
28,值得,1137
29,打卡,1099
30,天气,1082
31,疫情,1077
32,红墙,1044
33,身份证,1004
34,喜欢,999
35,文化,956
36,敦煌,949
37,御花园,932
38,第一次,908
39,不错,901
40,交通,853
41,小时,846
42,故事,846
43,下午,834
44,安检,821
45,东华门,790
46,每次,790
47,推荐,780
48,中轴线,773
49,只能,772
50,皇帝,768
51,下次,744
52,排队,739
53,游览,736
54,古代,720
55,网上,719
56,游客,716
57,神武门,708
58,太和殿,690
59,地铁,678
60,景点,677
61,门口,677
62,大殿,676
63,好多,676
64,好看,674
65,皇家,667
66,体验,662
67,开放,658
68,震撼,647
69,特展,641
70,朋友,633
71,秀才,608
72,路线,587
73,东西,571
74,文物,567
75,记得,560
76,照片,552
77,很大,551
78,内容,550
79,下雪,547
80,世界,546
81,公众,545
82,博物馆,542
83,清宫,535
84,机会,533
85,北京故宫,532
86,角楼,526
87,买票,514
88,两个,487
89,期间,476
90,遗憾,464
91,终于,461
92,知识,451
93,冬天,448
94,中心,447
95,西六宫,443
96,壮观,439
97,宏伟,438
98,文创,433
99,免费,431
100,超级,429
101,去过,427
102,餐厅,426
103,游玩,425
104,当天,422
105,赶上,418
106,发现,416
107,选择,411
108,来到,401
109,现场,398
110,不用,392
111,冰窖,390
112,一路,388
113,跟着,385
114,古人,385
115,购票,384
116,希望,383
117,坤宁宫,381
118,展品,379
119,可惜,374
120,小朋友,370
121,一点,369
122,介绍,362
123,淡季,360
124,确实,359
125,几个,357
126,皇宫,353
127,智慧,352
128,旅游,351
129,三个,348
130,适合,347
131,实在,345
132,盖章,344
133,周末,340
134,走马观花,339
135,古装,333
136,逛逛,332
137,上午,328
138,文华,327
139,明清,322
140,慢慢,322
141,好好,321
142,人少,321
143,购买,317
144,穿越,317
145,明清两代,312
146,亮点,307
147,一圈,305
148,感叹,305
149,位于,302
150,保和殿,302
151,国家,302
152,生活,301
153,进宫,299
154,老师,299
155,欣赏,298
156,闭馆,293
157,攻略,293
158,陶瓷,290
159,雪景,290
160,健康,290
161,溜达,287
162,咖啡,287
163,早上,286
164,解说,284
165,开心,283
166,汉服,281
167,慈宁宫,280
168,武英殿,277
169,原因,276
170,洞窟,273
171,延禧宫,272
172,出片,272
173,天安门广场,271
174,太大,269
175,风景,267
176,服务,267
177,展厅,267
178,价格,266
179,景山公园,263
180,有意思,263
181,工作人员,261
182,一种,258
183,完整,258
184,休息,258
185,景色,258
186,珍宝,256
187,大气,256
188,几次,255
189,广场,254
190,城墙,252
191,错过,249
192,外面,249
193,古建筑,249
194,正好,248
195,打车,247
196,好像,246
197,黄瓦,246
198,秋天,245
199,手机,244
