,word,counts
0,不错,901
1,很大,551
2,遗憾,464
3,壮观,439
4,宏伟,438
5,确实,359
6,健康,290
7,完整,258
8,正好,248
9,详细,233
10,漂亮,230
11,精美,213
12,雄伟,203
13,精致,202
14,太美,199
15,仔细,192
16,有趣,184
17,庄严,181
18,威严,180
19,舒服,178
20,细致,174
21,耐心,148
22,便宜,148
23,幸运,147
24,完美,144
25,最美,136
26,美好,134
27,辉煌,130
28,很棒,127
29,幽默,122
30,很好,117
31,激活,112
32,不愧,110
33,有幸,110
34,壮丽,105
35,厚重,105
36,充满,102
37,恢弘,100
38,恢宏,98
39,顺便,97
40,清晰,93
41,简单,92
42,悠久,91
43,惊艳,90
44,惊喜,88
45,很美,82
46,舒适,81
47,独特,80
48,麻烦,78
49,合适,78
50,神秘,77
51,有限,77
52,良心,73
53,厉害,72
54,骄傲,70
55,神奇,70
56,珍贵,69
57,便利,68
58,惬意,68
59,一大,68
60,暖和,68
61,凉快,67
62,自由,66
63,繁华,61
64,细细,61
65,干净,60
66,激动,59
67,庄重,59
68,著名,58
69,幸福,58
70,成功,57
71,不贵,57
72,热闹,57
73,辛苦,56
74,顺利,56
75,精湛,55
76,愉快,54
77,充足,52
78,正式,49
79,奢华,49
80,很小,47
81,肃穆,47
82,精巧,47
83,意外,46
84,浪漫,45
85,挺大,44
86,快乐,44
87,寂寞,43
88,紧张,43
89,高大,42
90,绝美,41
91,封建,40
92,珍惜,40
93,最爱,39
94,深厚,39
95,最多,39
96,挺好,37
97,友好,37
98,优秀,37
99,灿烂,37
100,努力,37
101,凉爽,37
102,浓厚,36
103,好好看,35
104,景致,35
105,有名,35
106,充裕,34
107,轻松,33
108,豪华,33
109,清净,33
110,无聊,33
111,晴朗,33
112,宏大,33
113,复刻,33
114,好奇,32
115,幸好,31
116,年轻,31
117,温柔,31
118,乐趣,31
119,精细,31
120,深似,30
121,很远,29
122,费劲,29
123,强大,29
124,火爆,29
125,庞大,28
126,连续,28
127,壮阔,28
128,热爱,28
129,渺小,27
130,炎热,27
131,清明,26
132,亲切,26
133,优美,26
134,妥妥,25
135,便捷,24
136,重华,24
137,着急,23
138,完好,23
139,巧妙,23
140,真大,22
141,固定,22
142,奢侈,22
143,绚丽,22
144,枯燥,21
145,很累,21
146,重建,21
147,尊贵,21
148,唯美,21
149,典雅,21
150,闷热,21
151,不腻,20
152,和谐,20
153,平常,20
154,恍惚,19
155,困难,19
