,word,counts
0,不错,859
1,很大,514
2,遗憾,435
3,壮观,434
4,宏伟,426
5,确实,341
6,完整,257
7,健康,241
8,正好,235
9,漂亮,228
10,详细,218
11,精美,201
12,精致,198
13,雄伟,197
14,太美,192
15,庄严,178
16,仔细,177
17,有趣,177
18,威严,176
19,舒服,168
20,细致,165
21,幸运,144
22,完美,143
23,最美,136
24,耐心,136
25,美好,131
26,辉煌,130
27,便宜,128
28,很棒,123
29,很好,115
30,不愧,110
31,幽默,108
32,有幸,108
33,壮丽,103
34,充满,101
35,厚重,100
36,恢弘,97
37,恢宏,94
38,清晰,92
39,顺便,92
40,悠久,91
41,惊艳,89
42,惊喜,88
43,简单,86
44,很美,82
45,激活,81
46,独特,79
47,舒适,77
48,神秘,77
49,合适,73
50,骄傲,70
51,有限,70
52,神奇,69
53,便利,68
54,惬意,68
55,珍贵,68
56,厉害,65
57,良心,65
58,自由,64
59,暖和,64
60,细细,61
61,繁华,60
62,凉快,60
63,激动,59
64,一大,59
65,著名,58
66,庄重,57
67,幸福,57
68,麻烦,56
69,顺利,55
70,热闹,55
71,干净,55
72,精湛,54
73,成功,52
74,辛苦,50
75,奢华,49
76,愉快,49
77,不贵,49
78,正式,48
79,精巧,47
80,充足,46
81,肃穆,45
82,浪漫,45
83,很小,44
84,快乐,44
85,意外,43
86,挺大,42
87,寂寞,42
88,绝美,41
89,高大,40
90,封建,40
91,珍惜,40
92,深厚,39
93,紧张,38
94,最爱,37
95,优秀,37
96,灿烂,37
97,努力,37
98,最多,37
99,浓厚,36
100,友好,36
101,凉爽,36
102,挺好,35
103,景致,35
104,有名,34
105,好好看,33
106,轻松,32
107,复刻,32
108,好奇,31
109,幸好,31
110,温柔,31
111,充裕,31
112,晴朗,31
113,宏大,31
114,精细,31
115,豪华,30
116,深似,30
117,年轻,30
118,清净,29
119,乐趣,29
120,强大,29
121,庞大,28
122,热爱,28
123,费劲,28
124,无聊,28
125,渺小,27
126,连续,27
127,很远,27
128,亲切,26
129,优美,26
130,炎热,26
131,壮阔,25
132,火爆,25
133,便捷,24
134,清明,24
135,重华,24
136,完好,23
137,巧妙,23
138,妥妥,22
139,奢侈,22
140,绚丽,22
141,着急,21
142,枯燥,21
143,重建,21
144,尊贵,21
145,唯美,21
146,典雅,21
147,真大,20
148,不腻,20
149,和谐,20
150,固定,20
151,平常,19
152,很累,19
153,恍惚,18
154,温暖,18
155,平静,18
156,细腻,18
157,很高,18
158,不由,17
159,惭愧,17
160,清静,17
161,虚妄,16
162,稀少,16
163,困难,16
164,奇观,16
165,惊讶,16
