word,counts
空间,3748
后排,3400
宽敞,3350
舒服,3292
不错,3055
座椅,2959
设计,2880
驾驶,2324
真的,2233
颜值,2225
很大,2203
喜欢,2147
内饰,2079
舒服,2015
外观,1923
动力,1909
够用,1904
储物,1875
车内,1867
新能源,1750
油耗,1628
速度,1557
舒适,1453
够用,1339
配置,1316
车型,1227
价格,1144
实惠,1139
充电,1136
停车,1130
完全,1123
车身,1113
性价比,987
位置,980
选择,975
隔音,965
出行,930
日常,904
效果,885
体验,850
功能,831
实惠,830
担心,768
家用,754
轴距,739
发动机,735
朋友,717
味道,710
很好,693
影响,687
这款,686
行驶,674
车里,673
轻松,669
充足,661
公里,661
孩子,660
担心,642
操控,638
混动,636
需求,622
性价比,622
声音,618
燃油,608
底盘,607
挺大,595
台车,594
前后排,587
市区,576
空间设计,576
实用,575
上下班,565
尺寸,564
那种,561
紧凑型,550
大气,540
好看,526
确实,522
家里,521
异味,518
合适,515
很好,512
行李箱,512
能力,512
速度,505
肯定,497
颜色,496
轮胎,494
适合,494
省油,489
算是,480
容积,479
过程,477
手机,475
时尚,473
方向盘,473
优秀,460
优惠,460
不到,459
加速,456
不好,453
一家,451
物品,449
地板,447
调节,446
压抑,437
内部空间,436
内部,435
二郎腿,434
缺点,432
后备,431
性能,430
接受,421
原因,420
出去玩,420
成本,416
模式,415
没什么,414
符合,414
不算,413
完美,411
行李,406
个子,406
压力,402
活动,400
级别,399
销售,399
电池,392
平常,390
刹车,390
车辆,389
希望,388
出门,386
中控,386
挺不错,385
每次,385
优势,380
车上,375
比较满意,373
汽车,373
减震,372
只能,372
还好,371
储物格,370
长途,370
造型,366
空调,357
安静,353
全景,353
通风,350
自驾游,348
更好,344
家庭,343
感到,342
提速,341
老婆,340
这方面,340
一辆,337
一台,336
要说,334
代步,332
起步,331
坐满,329
成年人,328
电车,326
几个,324
技术,324
带来,320
颠簸,318
无论是,317
头顶,316
风格,315
宽松,314
系统,310
纯平,307
家里人,305
整车,304
出色,303
品牌,303
备胎,303
电动,302
试驾,300
舒适度,299
看着,299
一种,298
平整,298
提升,297
外观设计,292
放下,287
油车,287
反正,285
唯一,283
扶手箱,282
高度,277
视野,271
车门,270
是因为,270
百公里,268
打开,267
小孩,267
