主题数,困惑度,一致性
2,-7.520294973956101,0.2747649581779411
3,-7.586218606671208,0.27771606422352985
4,-7.645394953454495,0.26729086378771866
5,-7.687959247588962,0.27730394780005
6,-7.718688230784303,0.26184109077272255
7,-7.779860775628207,0.2666736777098876
8,-7.8612626241159695,0.28098981987388233
9,-7.94363239835751,0.2648000723757153
10,-8.042452347452324,0.2783966072286178
11,-8.101159004631379,0.2642273553109682
12,-8.18214602125111,0.2829516243051211
13,-8.216055765952001,0.27532108356914003
14,-8.295276563648306,0.277281039726827
