主题数,困惑度,一致性
2,-6.786237428428668,0.3002945388143031
3,-6.748740778920705,0.3108782142783588
4,-6.7444690582147055,0.3435703373788406
5,-6.780959958261792,0.30979611200576285
6,-6.740598707270394,0.3445775658039716
7,-6.764166332750197,0.3506126861759952
8,-6.835178062574024,0.3513168402499442
9,-6.8991845209929865,0.35547308392708615
10,-6.981978795417011,0.33563293635957425
11,-7.09096616905919,0.3587414154365191
12,-7.1333210304446695,0.35635620926574063
13,-7.226770215643999,0.34755647966171516
14,-7.245495329337511,0.3400067299365302
15,-7.294559004773671,0.35195272543342276
