word,counts
htps,8
industry,8
flex,5
team,5
global,4
suply,4
chain,4
join,4
automotive,4
lyn,4
woman,4
mexico,3
senior,3
president,3
day,3
leader,3
sesion,3
detail,3
report,3
recognized,2
company,2
busines,2
latin,2
america,2
vice,2
operation,2
ongoing,2
al,2
health,2
panel,2
ecosystem,2
colaboration,2
impact,2
pt,2
registration,2
anual,2
inovation,2
sumit,2
future,2
learn,2
drive,2
sustainability,2
torel,2
cpsco,2
leadership,2
empowering,2
september,2
activity,2
humanitarian,2
organization,2
grenhouse,2
gas,2
emisions,2
reduction,2
ben,1
responsible,1
grupo,1
expansi,1
distinguished,1
medium,1
platform,1
rodrigo,1
daloglio,1
american,1
shared,1
result,1
dedication,1
discipline,1
purposeful,1
execution,1
evaluated,1
environmental,1
social,1
governance,1
practice,1
eforts,1
living,1
read,1
news,1
facing,1
unprecedented,1
chalenges,1
trade,1
war,1
pandemic,1
evolving,1
rapidly,1
adapt,1
disruption,1
embrace,1
oportunities,1
randy,1
clark,1
solution,1
manisha,1
shahbugaj,1
ceo,1
activ,1
surgical,1
tamy,1
