word,counts
fre,21
fire,21
sea,12
map,11
program,11
garena,10
game,10
global,10
management,9
htps,8
content,6
player,6
al,6
asociate,6
industry,6
acros,5
user,5
craftland,5
experience,5
webinar,5
september,5
quarter,4
engagement,4
comunity,4
suport,4
impact,4
carer,4
wil,4
pm,4
loking,4
aply,4
love,4
milion,4
video,4
wek,3
popular,3
continue,3
downloaded,3
mobile,3
strategy,3
fan,3
milions,3
usergenerated,3
partner,3
ful,3
join,3
flagship,3
taiwan,3
exciting,3
rotation,3
aplications,3
asociates,3
time,3
creative,3
music,3
beautiful,3
anounced,2
financial,2
globaly,2
gaming,2
franchise,2
ongoing,2
event,2
partnership,2
bts,2
artist,2
item,2
editor,2
feature,2
strong,2
gamers,2
continued,2
read,2
report,2
initiative,2
project,2
overseas,2
oportunities,2
drive,2
competive,2
salary,2
benefit,2
swipe,2
left,2
embark,2
journey,2
carers,2
track,2
worldwide,2
future,2
leader,2
online,2
tech,2
sgt,2
hear,2
core,2
busines,2
ma,2
question,2
sign,2
