word,counts
ibm,14
htps,12
ai,5
da,5
fan,3
tenis,3
software,3
future,3
busines,3
developing,2
learn,2
generative,2
keynote,2
vice,2
president,2
product,2
wil,2
discus,2
technologist,2
build,2
conference,2
cop,2
uae,2
atendes,2
svp,2
digital,2
de,2
confira,2
topic,2
data,2
platform,2
management,2
episode,2
listen,2
fantasy,2
fotbal,2
powerful,1
tols,1
experience,1
court,1
gridiron,1
unlocking,1
level,1
productivity,1
workplace,1
dinesh,1
nirmal,1
senior,1
transforming,1
enterprise,1
enabling,1
watch,1
live,1
pdt,1
underscoring,1
longstanding,1
comitment,1
sustainable,1
technologydriven,1
anounces,1
role,1
asociate,1
pathway,1
partner,1
sponsor,1
climate,1
change,1
party,1
inovations,1
watsonx,1
organization,1
drive,1
sustainability,1
eficiency,1
dubai,1
suport,1
presidency,1
agenda,1
continue,1
colaborating,1
solution,1
move,1
al,1
lowcarbon,1
jonathan,1
adashek,1
marketing,1
comunications,1
master,1
sound,1
iniciativa,1
busca,1
promover,1
transforma,1
empresas,1
rica,1
latina,1
conta,1
formato,1
videocasts,1
