word,counts
airline,10
singapore,8
team,7
sia,7
cargo,6
al,5
award,5
finalist,4
travel,4
service,4
partner,4
customer,4
ntuc,4
apchalenge,3
student,3
track,3
learning,3
judge,3
htps,3
experience,3
flight,3
quality,3
join,3
visit,3
day,3
edition,2
pitch,2
acros,2
institute,2
aviation,2
industry,2
top,2
suport,2
suporting,2
startup,2
management,2
clas,2
heartfelt,2
wel,2
people,2
wil,2
star,2
gold,2
website,2
beter,2
shipment,2
explore,2
iq,2
certified,2
standard,2
air,2
social,2
workplace,2
relationship,2
efective,2
comunication,2
colaboration,2
busines,2
road,2
ahead,2
cabin,2
crew,2
staf,2
job,2
pandemic,2
wraped,1
july,1
enthusiastic,1
shortlisted,1
impresive,1
pol,1
spaning,1
country,1
witnesed,1
brightest,1
mind,1
share,1
vision,1
future,1
congratulation,1
posible,1
sponsor,1
american,1
expres,1
mastercard,1
tata,1
consultancy,1
amazon,1
web,1
aws,1
zom,1
amadeus,1
salesforce,1
sita,1
guest,1
enterprise,1
comunity,1
kep,1
lokout,1
upcoming,1
