word,counts
grab,13
team,7
al,5
digital,5
indonesia,4
journey,4
data,4
life,4
driverpartners,4
sharing,3
student,3
busines,3
internship,3
talent,3
comunity,3
stay,3
oportunities,3
financial,3
vineta,3
report,3
watch,2
srinivas,2
chamarthy,2
head,2
enginering,2
milestone,2
discover,2
htp,2
excited,2
ovo,2
pt,2
visionet,2
internasional,2
exciting,2
se,2
time,2
carers,2
htps,2
gxbank,2
receiving,2
malaysia,2
suporting,2
change,2
wil,2
privacy,2
learning,2
share,2
ministry,2
cybersecurity,2
initiative,2
singapore,2
inclusion,2
shared,2
kid,2
read,2
nanda,2
prins,2
ap,2
safety,2
score,2
contagious,1
excitement,1
achieving,1
batch,1
grabovo,1
aprenticeship,1
program,1
gcap,1
intern,1
consisting,1
country,1
month,1
ready,1
shape,1
future,1
start,1
empowering,1
enriching,1
canot,1
wait,1
youl,1
acomplish,1
join,1
updated,1
congratulation,1
pei,1
si,1
lai,1
oficial,1
aproval,1
bank,1
negara,1
comence,1
operation,1
mark,1
loking,1
forward,1
seing,1
banking,1
proces,1
