前项,后项,支持度 %,置信度 %,提升
"{'本科', '平均薪资:2万-3万区间'}",{'全职'},0.31504343850022865,1.0,1.010161662817552
{'平均薪资:2万-3万区间'},{'全职'},0.34385002286236854,1.0,1.010161662817552
{'2000人以上'},{'全职'},0.30727023319615915,1.0,1.010161662817552
{'3-5年'},{'全职'},0.41335162322816643,0.9977924944812362,1.0079317253720386
"{'本科', '3-5年'}",{'全职'},0.36716963877457703,0.9975155279503106,1.007651944400614
"{'本科', '平均薪资:1万-2万区间'}",{'全职'},0.39871970736168266,0.9954337899543378,1.0055490524850517
{'本科'},{'全职'},0.8728852309099223,0.9932362122788763,1.0033291437662368
{'平均薪资:1万-2万区间'},{'全职'},0.46227709190672156,0.9921491658488716,1.0022310511369432
{'平均薪资:2万-3万区间'},"{'全职', '本科'}",0.31504343850022865,0.9162234042553192,1.0496493374051248
"{'全职', '平均薪资:2万-3万区间'}",{'本科'},0.31504343850022865,0.9162234042553192,1.042549732105298
{'平均薪资:2万-3万区间'},{'本科'},0.31504343850022865,0.9162234042553192,1.042549732105298
{'3-5年'},{'本科'},0.36808413351623226,0.8885209713024282,1.0110277649523467
"{'全职', '3-5年'}",{'本科'},0.36716963877457703,0.8882743362831859,1.0107471245844575
{'3-5年'},"{'全职', '本科'}",0.36716963877457703,0.8863134657836644,1.0153837347663037
{'全职'},{'本科'},0.8728852309099223,0.88175519630485,1.0033291437662366
{'全职'},{'平均薪资:1万-2万区间'},0.46227709190672156,0.46697459584295614,1.0022310511369432
"{'全职', '本科'}",{'3-5年'},0.36716963877457703,0.4206390780513357,1.0153837347663037
{'本科'},{'3-5年'},0.36808413351623226,0.41883454734651404,1.011027764952347
{'本科'},"{'全职', '3-5年'}",0.36716963877457703,0.4177939646201873,1.0107471245844575
{'全职'},{'3-5年'},0.41335162322816643,0.41755196304849884,1.0079317253720386
{'全职'},"{'本科', '平均薪资:1万-2万区间'}",0.39871970736168266,0.4027713625866051,1.0055490524850517
{'全职'},"{'本科', '3-5年'}",0.36716963877457703,0.37090069284064664,1.007651944400614
"{'全职', '本科'}",{'平均薪资:2万-3万区间'},0.31504343850022865,0.3609219486642221,1.0496493374051248
{'本科'},{'平均薪资:2万-3万区间'},0.31504343850022865,0.35848074921956297,1.042549732105298
{'本科'},"{'全职', '平均薪资:2万-3万区间'}",0.31504343850022865,0.35848074921956297,1.042549732105298
{'全职'},{'平均薪资:2万-3万区间'},0.34385002286236854,0.3473441108545035,1.010161662817552
{'全职'},"{'本科', '平均薪资:2万-3万区间'}",0.31504343850022865,0.3182448036951502,1.010161662817552
{'全职'},{'2000人以上'},0.30727023319615915,0.3103926096997691,1.010161662817552
