车辆名称,品牌,价格,上牌时间,上市时间,表显里程,厂商,生产方式,厂商指导价(万元),能源形式,变速箱,车身形式,整车质保,电动机总功率(kW),过户次数
奥迪Q5 e-tron 2022款 40 e-tron 星耀型 锦衣套装,奥迪,21.78万,2022年,2022.02,O.98万公里,上汽奥迪,合资,31.25,纯电动,电动车单速变速箱,5门7座SUV,三年或10万公里,150,0次
奥迪e-tron 2021款 50 quattro 臻选型,奥迪,28.78万,2023年,2021.04,O.49万公里,一汽奥迪,合资,58.58,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,230,0次
奥迪Q2L e-tron 2022款 Q2L e-tron 纯电智享型,奥迪,12.98万,2022年,2021.12,1.39万公里,一汽奥迪,合资,24.38,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,1次
奥迪Q5 2016款 40 TFSI 技术型,奥迪,1O.9O万,2015年,2015.1,18.9万公里,一汽奥迪,合资,42.76,汽油,8挡手自一体,5门5座SUV,三年或10万公里,165,2次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智酷型,奥迪,1O.9O万,2021年,2019.11,2.82万公里,一汽奥迪,合资,22.68,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,3次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.13万,2021年,2019.11,3.76万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,9.9O万,2020年,2019.11,3.75万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,1次
奥迪A6L 2021款 40 TFSI 豪华致雅型,奥迪,3O.74万,2021年,2020.09,O.95万公里,一汽奥迪,合资,41.98,汽油,7挡湿式双离合,4门5座三厢车,三年或10万公里,140,1次
奥迪Q2L e-tron 2022款 Q2L e-tron 纯电智享型,奥迪,13.O3万,2022年,2021.12,2.39万公里,一汽奥迪,合资,24.38,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,0次
奥迪e-tron(进口) 2019款 55 quattro 时尚型(进口),奥迪,22.78万,2021年,2019.11,4.24万公里,奥迪(进口),进口,69.28,纯电动,2挡自动,5门5座SUV,三年或10万公里,300,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,11.93万,2020年,2019.11,3.75万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.13万,2021年,2019.11,7.32万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,0次
奥迪Q4 e-tron 2023款 40 e-tron 创境曜夜版,奥迪,21.O3万,2023年,2023.03,O.33万公里,一汽奥迪,进口,31.37,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,150,0次
奥迪Q7 2018款 40 TFSI S line运动型(进口),奥迪,33.98万,2018年,2017.09,5.43万公里,奥迪(进口),进口,73.28,汽油,8挡手自一体,5门5座SUV,三年或10万公里,185,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,12.O3万,2020年,2019.11,5.99万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智酷型,奥迪,9.95万,2021年,2019.11,5.29万公里,一汽奥迪,合资,22.68,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,1次
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,奥迪,11.2O万,2016年,2015.12,6.83万公里,一汽奥迪,合资,31.28,汽油,CVT无级变速(模拟8挡),4门5座三厢车,三年或10万公里,132,0次
奥迪Q3 2019款 35 TFSI 进取动感型,奥迪,16.1O万,2019年,2019.04,2.67万公里,一汽奥迪,合资,27.18,汽油,7挡双离合,5门5座SUV,三年或10万公里,110,1次
奥迪A7L 2022款 55 TFSI quattro S-line 志远型流晶套装,奥迪,43.88万,2021年,2022.01,2.O7万公里,上汽奥迪,合资,59.97,汽油+48V轻混系统,7挡湿式双离合,4门5座三厢车,三年或10万公里,250,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.22万,2021年,2019.11,4.71万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,3次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.25万,2020年,2019.11,4.O6万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,2次
