word,counts
真的,133
喜欢,124
感觉,76
朋友,53
事情,49
老师,43
逻辑,39
想法,37
视频,33
人格,32
真实,28
确实,26
发现,26
辩论,23
能力,22
分析,21
讨厌,20
特别,20
好像,19
工作,19
一点,19
性格,19
建议,19
理解,19
东西,19
计划,19
功能,18
细节,18
情商,18
情况,17
那种,16
分享,16
状态,15
相处,15
选择,15
找到,14
不想,14
内心,14
两个,13
生活,13
想要,13
我会,13
接受,13
混乱,13
方法,13
每次,13
思考,12
自我,12
探索,12
学习,12
关系,12
情感,12
有时候,12
身边,12
适合,11
传统,11
符合,11
测试,11
有没有,11
感情,11
话题,11
环境,11
对话,11
只能,10
小时候,10
方式,10
无聊,10
不好,10
平时,10
聊天,10
倾向,10
一种,10
时间,10
同学,10
安慰,10
希望,9
完美,9
压力,9
类型,9
评论,9
脑子,9
雪力,9
初中,9
同理,9
人生,8
内耗,8
表达,8
开心,8
一会,8
典型,8
注重,8
可能性,8
事物,8
女生,8
表现,8
耐心,8
冷血,8
永远,8
正确,8
束缚,8
