word,counts
真的,149
喜欢,113
朋友,79
感觉,73
人格,51
工作,46
事情,43
确实,43
理解,42
情绪,40
相处,35
印象,34
生活,32
学习,32
讨厌,31
情感,30
刻板,30
视频,29
老师,28
希望,28
计划,28
有时候,25
特别,24
身边,24
社会,23
性格,23
类型,23
一点,22
好像,22
功能,22
人生,20
那种,20
能力,20
控制,19
压力,18
强势,18
目标,18
价值,17
我会,17
安排,17
世界,17
情况,16
发现,16
自我,16
追求,16
想法,16
时间,15
父母,15
努力,15
表现,15
状态,15
方式,14
两个,14
开心,14
领导,14
不到,14
现实,14
原因,13
告诉,13
理想,13
东西,13
符合,13
内心,13
感情,13
女性,12
真实,12
关心,12
不想,12
思考,12
做事,11
所有人,11
一种,11
接受,11
对象,11
形容,11
身上,11
摆烂,11
样子,11
理性,11
共情,11
社交,11
骨哥,11
规划,10
好多,10
解决,10
感受,10
有人,10
欣赏,10
是因为,10
看不到,10
想要,10
关系,10
需求,10
男朋友,10
规则,10
有没有,10
羡慕,10
交流,9
执行力,9
导向,9
