word,counts
喜欢,602
真的,439
感觉,422
朋友,333
情绪,326
事情,223
感受,189
理解,186
人生,186
希望,184
世界,176
看不到,165
形容,158
内心,148
想法,144
有时候,140
家庭,133
状态,129
我会,128
特别,127
別人,123
生活,123
方式,120
敏感,120
情感,118
一点,113
工作,105
相处,102
关系,101
怎麼,99
表达,98
沟通,98
這種,98
想要,98
痛苦,96
自我,96
思考,95
人格,94
不想,94
性格,94
挑戰,93
东西,90
恋爱,89
发现,89
好像,88
苦惱,88
老师,87
讨厌,86
需求,84
视频,83
不好,83
身边,82
找到,81
一种,80
照顾,79
社交,79
内耗,78
主动,76
确实,76
矛盾,76
意义,75
冷漠,75
能力,74
接受,73
类型,72
共情,72
影响,71
不到,71
那种,70
父母,69
挑战,69
测试,68
开心,68
害怕,68
分享,67
精神,66
选择,66
过度,65
说话,64
变得,63
分析,62
苦恼,62
导致,61
直觉,61
负面,60
有人,59
原生,59
交流,59
在意,59
真实,58
价值,58
心理,58
理想,57
独处,57
现实,56
表现,56
渴望,56
之间,54
伤害,54
时间,54
