word,counts
喜欢,224
感觉,212
真的,195
事情,139
朋友,108
理解,106
情绪,104
逻辑,94
情感,87
视频,81
老师,78
测试,76
想法,73
思考,73
怀疑,71
一点,70
拖延,70
人格,67
人生,59
东西,57
看不到,54
有时候,52
社交,49
发现,48
方式,48
我会,48
情况,47
工作,47
确实,46
类型,45
形容,44
时间,43
性格,42
状态,42
交流,40
世界,40
分析,39
学习,38
感受,38
质疑,38
那种,38
特别,37
说话,37
讨厌,37
好像,36
意义,36
自我,35
改变,33
生活,33
能力,32
別人,32
希望,32
符合,30
不想,30
怎麼,30
每次,29
表达,29
挑戰,29
這種,29
有人,29
沟通,28
找到,28
表现,28
正确,27
感情,27
不到,27
一种,27
内心,27
不好,27
思维,26
导致,26
真实,25
大部分,25
关系,25
选择,25
苦惱,25
相处,25
原因,24
评论,24
发展,24
明白,23
想要,23
恋爱,22
探索,22
过程,22
身边,22
只能,21
接受,21
其他人,21
观点,21
地方,21
痛苦,21
苦恼,21
反复,21
指出,21
两个,21
错误,20
功能,20
三分钟,20
热度,20
