word,tfidf
喜欢,13.269949866537946
真的,12.550772274928379
感觉,11.091087762686284
朋友,8.469067349502865
情绪,8.304561678390394
视频,5.869029342529407
相处,5.800249212951622
对象,5.797797863623578
老师,5.795126454039957
恋爱,5.71298204012016
不想,5.083691490939614
情感,4.235925959527165
一点,4.1382825449162475
谈恋爱,4.012054570922949
感情,3.7993981317067953
确实,3.7506259843353966
好像,3.7370029580506285
分析,3.718281354598303
社交,3.7151577381632896
不到,3.5836063735858787
理解,3.571906532716241
两个,3.457964034269217
表达,3.433762867583112
建议,3.431838535363697
特别,3.4003676618498164
讨厌,3.312510952660077
说话,3.2929284994683403
有时候,3.2851765874451555
东西,3.271692732556195
未来,3.239430164855842
感谢,3.193473231526954
希望,3.1389083692174244
学习,3.1374362094406476
本来,3.128009947288016
类型,3.127887354446503
冷漠,3.122360277039492
事情,3.0505225626280943
发现,3.038465666553216
符合,2.973569116258116
终于,2.921997899075196
爱情,2.913283368718888
逻辑,2.800143908138904
关系,2.776321184090528
大部分,2.7266704509267585
兄弟,2.689110874940937
感受,2.661454646514054
爆发,2.6360774471029975
为啥,2.6321636334580725
情绪化,2.6026131490289597
很好,2.537816055300559
安慰,2.528286906790192
时间,2.52284744921664
懒得,2.505335096773141
沟通,2.3944818657776867
天蝎,2.3182159838194547
心情,2.308199349135091
接受,2.305698401992003
分手,2.277730824238044
内心,2.2775374532950137
性格,2.20174412341595
前来,2.193119412839301
情况,2.181992589776657
想法,2.172525449645114
关心,2.1484392475088727
冷静,2.1183971911954065
真实,2.1096782214129743
吵架,2.106512378758141
人格,2.0471955266289994
人生,2.0420608564640164
前任,2.00763182782212
男友,1.992636763472503
家人,1.9891413267577376
生气,1.9563217522596807
身边,1.929766190257897
回应,1.890128268996379
摆烂,1.8593093496382693
开心,1.8574115529373711
专业,1.856872282415618
麻烦,1.8347139409241322
反复,1.8004627798665167
生活,1.7819914511928616
悲观,1.7808091595022013
测出,1.7630531644809935
需求,1.7555897589585452
我会,1.7448854314009508
评论,1.7361183199336936
工作,1.7308002591025553
看完,1.7290841847566123
经历,1.7181428401220438
粘人,1.7149957304808274
伴侣,1.6998432888704746
第一次,1.6944556605424874
能力,1.6914364090496063
几个,1.6719887194479361
观察,1.6674717158279564
耐心,1.6572458237492005
想要,1.6507016762245386
思考,1.6348075736403822
想到,1.614513086879246
计划,1.6137620885379176
那种,1.6101397990312105
交流,1.6040096477432453
看不到,1.6036791296298647
一半,1.6023664116438185
状态,1.5947138890739816
不准,1.5905625378383659
共情,1.5865403768765072
女朋友,1.5845131132666028
观看,1.5759450207077146
目标,1.5733279517686618
自我,1.5698868231622938
内耗,1.5569892469992186
理智,1.5252327011175166
实在,1.4842595825385108
一种,1.482111391200401
模型,1.4773790464645207
合适,1.4724702117965398
观摩,1.463193359494884
一句,1.462188093567957
方式,1.4476150799498593
好多,1.4437216489622238
快乐,1.434437413309984
半年,1.4223001352676128
办法,1.4084810814124658
不好,1.399282224665952
变得,1.3971845499263147
几次,1.3861408731473488
每次,1.3846301834622219
几天,1.3839068291713459
测试,1.379806064634845
变化,1.3525589911930176
挑战,1.3484038023903382
聊天,1.3412228691270123
男朋友,1.3398314247338552
浪费时间,1.3361205743360967
动手,1.3339680156284894
有人,1.327451200343174
包括,1.3080826496418205
分开,1.2970056604258304
受不了,1.2915250940701253
男生,1.2871799058072637
怎麼,1.2696424722397
阿婆,1.248364180939926
擅长,1.2362878952344032
上头,1.2359405926128362
好奇,1.2297173711662972
有个,1.2258691857697481
结婚,1.2239051301416404
追求,1.223051876337248
形容,1.216826953747742
世界,1.2157624138630005
有点像,1.2118150718004088
差别,1.21038151422803
別人,1.2083625708774355
单恋,1.206515788498104
一年,1.203396060077506
分给,1.1945465765774652
怀疑,1.1912836410535925
共同点,1.1872133656963317
不错,1.1853481405260857
分享,1.185023508950378
中肯,1.1735733746188124
累死,1.1722411195952058
改变,1.1691525918589274
请问,1.1608683730679075
亲密关系,1.1593948565147727
回避,1.1592249466236206
依恋,1.1592249466236206
平常,1.1588020980361806
交往,1.1587573708851306
没谈,1.1482842009943328
负面,1.1445398670552156
提出,1.1348877291264599
功能,1.1295049266954158
值得,1.1277585788043587
影响,1.1183269682714962
舒适,1.1178494445030651
一堆,1.11486755742359
控制,1.1098121346637502
模式,1.1072600355821427
适合,1.1031393248905073
理性,1.0989820629372593
不行,1.098543872637347
独处,1.094077884328184
游戏,1.093086111648194
距离感,1.0921324524505234
失控,1.0916296488529214
样子,1.0873964890620866
理论,1.0865287074724668
现实,1.0846933068060391
一段,1.0778938206289979
空间,1.069140881562386
兴趣,1.0673661871055862
反馈,1.050563305380919
回复,1.0499202352720771
自私,1.0482307559605555
波动,1.0453148810964032
角度,1.0444688556547925
良多,1.0438570368496862
面对,1.0419033430768039
是因为,1.0307180407194858
巨蟹座,1.0306133906572568
吃饭,1.0239621056092667
苦恼,1.0213037615095537
完蛋,1.019007731828177
网上,1.0146017141377832
细腻,1.0094847010403898
你好,1.0035857731883815
指挥,1.0
放在心上,1.0
配对,1.0
试找,1.0
来晚,1.0
处女座,1.0
侄女,1.0
是从,1.0
咋样,1.0
血书,1.0
后天,1.0
仿佛,0.9976426934671498
日常,0.991611260362248
听说,0.9905245642030407
浪漫,0.9883122345193949
害怕,0.9879723941960984
信息量,0.9788328489787743
主动,0.9771071433175806
黑化,0.9749674616876677
旁观者,0.9721614999466713
挑戰,0.97214738143603
苦惱,0.97214738143603
這種,0.97214738143603
女生,0.97184733949892
难受,0.9699925979298257
压力,0.9694177050052095
辛苦,0.9655287815582437
伤害,0.9647127996786757
平淡,0.9645247432602266
研究,0.9540094492439546
爸妈,0.9505320112064223
过度,0.9478618561689215
户外运动,0.9478086784673312
背叛,0.9359268364554313
物理,0.9291527907254813
真實,0.9217319212548638
故事,0.921389186754085
地方,0.9154521754586507
任何人,0.9153972349084681
接触,0.9102677948474612
赶紧,0.9101635435824977
准确,0.9101048601330912
三年,0.9094594219435679
不在乎,0.9091494606149695
离谱,0.9078507973957739
剥壳,0.9074581629080596
讲透,0.9074581629080596
在意,0.907051429038591
弹幕,0.9063744417309332
路过,0.8983202479241343
妈咪,0.8944271909999159
解决问题,0.8940816303111101
阳寿,0.8929191207112084
异地,0.8903507725581093
包容,0.8876890597526607
习惯,0.8862115385887082
有没有,0.8844620884549894
一大堆,0.8833031885019439
选择,0.8802273289785401
钻哥,0.8777857188720476
大学,0.872266093570198
观点,0.8716939260042623
送花,0.8696944107102698
注重,0.8684365891855499
找到,0.8673246300878398
水瓶,0.8647802084688576
解决,0.8640261898439536
融洽,0.8617880390078954
家里人,0.8572991203073761
暗恋,0.8566371229949842
没事,0.8539829607182304
没什么,0.8536037113160986
拖延,0.8531988640136786
事物,0.8510551231409706
方向,0.8508236848499322
八卦,0.8469596961949795
心理,0.8467441672180573
内容,0.8436187425257088
规划,0.8433100775836556
听到,0.8399338176272793
真好,0.8398010225187499
流川枫,0.8351061960840555
出书,0.8351061960840555
太好了,0.8351061960840555
后续,0.8313468662776298
方案,0.8312603086892939
接收,0.8308397568949498
个性,0.8284456319739752
精神,0.8243681374154718
老婆,0.8235987496430358
消息,0.8223684829292961
努力,0.8199883849019709
灾难,0.8113708316976375
很甜,0.8061333570021987
不太好,0.7991873943504791
节奏,0.796999637573109
热度,0.7965186001022303
三分钟,0.7965186001022303
蠢货,0.7961116504768793
冷酷,0.7928877222721279
亲戚,0.7912388079996792
另一半,0.791179730743779
做事,0.7905584765606901
天蝎女,0.7868307036610859
可爱,0.7851382948708354
感兴趣,0.7850054077218055
夹杂着,0.7817452439940581
投入,0.7816447475832681
轮到,0.7807884144273586
成长,0.7796410894452966
像是,0.7769432231909497
担心,0.7761519919128129
不见,0.7714509793764839
测变,0.7714509793764839
类似,0.7688209992763626
无论是,0.7680106053908402
退出,0.7674654022675024
前男友,0.7674468886087752
道德感,0.7608330144365676
女哈,0.7604846348342604
拉满,0.7604846348342604
学校,0.7604071230907405
面前,0.758855645821151
意识,0.7561473957783331
浪费,0.7507679826536521
一件,0.7489490070439687
睡死,0.7471981911179203
睡着,0.7471981911179203
导致,0.7456343540102258
消化,0.7433491094374237
试图,0.7394349874530853
唯一,0.7385530017553359
语言,0.7374256861575749
在乎,0.7351661337249362
恶心,0.7345220382353882
目移,0.7337421838259227
只能,0.7322120647446209
告诉,0.7310953881557437
不算,0.7307244827295317
创死,0.7303249328920387
亢奋,0.7303249328920387
四個,0.7303249328920387
画家,0.7303249328920387
分不清,0.7245843638531084
输出,0.723368919813199
女孩子,0.723246956845542
想象,0.7224895345570281
乔布斯,0.7194984891932334
估计,0.7192709024719118
搞不懂,0.7192045259426387
一步,0.7185044184094631
发疯,0.7183059431107238
应付,0.7178731414002121
开玩笑,0.717573793523621
纸片,0.7173198555095396
应对,0.7166189150239295
腔调,0.7158787892788595
爱情观,0.7155724823547115
尝试,0.7136593076817817
一期,0.7132550464456705
等于,0.7126372116675437
公平,0.7121498485426141
后悔,0.7118643953705777
厌恶,0.7116577635945878
同学,0.7102382071353643
带来,0.7096760937415312
攻击性,0.7071067811865476
跳跃,0.7071067811865476
搞错,0.7071067811865476
来回,0.7071067811865476
玛丽莲,0.7071067811865476
河北,0.7071067811865476
给钱,0.7071067811865476
曼森,0.7071067811865476
石家庄,0.7071067811865476
简洁,0.7071067811865476
吓到,0.703905136771642
肯定,0.7036965842574026
老公,0.7019300347862921
还好,0.701654311843134
愧疚,0.7016427446509534
热情,0.7004180666089594
身上,0.6985262495710352
友情,0.6969115950008956
算了,0.6964103190860945
反正,0.6946986837565399
话痨,0.6922013506934683
几年,0.6920943721897598
精神状态,0.691844674405229
好运,0.691844674405229
上课,0.6916294200351154
表现,0.690235439022218
发现自己,0.6901153739934394
平时,0.6899961400188681
反感,0.68740425645246
这件,0.6841534390062529
单身,0.68232830310145
长篇大论,0.6792182593028504
要说,0.6694564462043664
给我发,0.6679745143891977
逃避,0.6676858572982567
反骨,0.6659943615665418
程度,0.6657011460520167
说明书,0.6653463035108655
身体,0.6640686100415816
成功,0.663961686974327
没想到,0.662279675575136
母胎,0.6583941435303025
操作,0.6553247987891797
看着,0.6546164135863111
最终,0.6540540155195833
态度,0.6506655621550224
细节,0.6473884969557007
投币,0.6454408572084238
收藏,0.6454408572084238
屁事,0.6451748370389754
雪力姐,0.6448222296799121
想听,0.640987123527119
不顺,0.640987123527119
阿里,0.6385306035419039
两年,0.6379766578847819
下手,0.6349129263183083
很强,0.63305195283369
同意,0.6327554097879864
摄像头,0.6305424671499106
高考,0.6301101254010006
不住,0.6295823068061187
聊得,0.6280757356642016
看下,0.6259128793002269
妈呀,0.6259128793002269
事儿,0.6252456579699937
客观,0.6251493313268023
一个月,0.6249085675711922
生日快乐,0.6244352892166909
渴望,0.6237810046360074
情侣,0.6225976037591809
回事,0.6222990476032425
无关,0.6209135269469909
接近,0.619832064180708
好累,0.6197029629267163
发言,0.6172990678465725
稳定,0.6167129891072253
体验,0.6162114390239475
意义,0.6127507959926024
雪力,0.6125423044343143
策论,0.6124500891222896
钻子,0.6124500891222895
叠加,0.6124500891222895
妹子,0.6123325944567677
道理,0.606816451095135
丢脸,0.6066172129491392
倾向,0.6041956962500117
闹矛盾,0.6032772287849109
新鲜感,0.6032080621343874
第一个,0.6030424528126188
十几年,0.6019059715698512
暧昧,0.6008852279603251
打电话,0.6004040592729749
目的,0.5987525558470722
拒绝,0.5916817810466333
陷入,0.5916350518381503
更好,0.5903550342927433
钻戒,0.5897826711358851
黄金,0.5897826711358851
厉害,0.5897826711358851
打游戏,0.5897826711358851
原因,0.588093340862945
积压,0.5874923194061843
再也,0.5869208095631189
受益,0.5856614711423523
健康,0.5852849673922541
不停,0.5848886835176068
心灰意冷,0.5847056629433734
有趣,0.5826264833675696
熟人,0.5812420837050671
手工,0.5810583053862589
无处,0.5808391389515949
截图,0.5803810876081091
第一第二,0.5799261026092434
精力,0.5787084552937114
这辈子,0.5784425876687468
活生,0.5773502691896258
变回,0.5773502691896258
逼成,0.5773502691896258
看有,0.5768223972935317
小爱豆,0.5768223972935317
一股脑,0.5756615039303508
相敬如宾,0.5748829045570667
提前,0.5734582304733147
心态,0.5728976144532292
亲情,0.5727779374643671
领导,0.56916461003146
受伤,0.5691107303808799
解读,0.5667769759312948
无所谓,0.5658699468389914
理科,0.565750795580298
打破,0.5649216438121867
典型,0.5607381371464202
双胞胎,0.559742897023984
充电,0.559742897023984
你死我活,0.5589717783283367
十年,0.5572253769874917
承接,0.5541032878388903
同人,0.5532211465254523
最舒服,0.5532211465254523
宕机,0.5531643390777061
返还,0.5523705984763795
加倍,0.5523705984763795
吓跑,0.5516916033965016
非的,0.5516916033965016
确认,0.5515697085000528
切换,0.5515697085000528
验证,0.5515285572610064
规则,0.5512159551225109
证明,0.5506074627830922
真准,0.5485205656473789
夫妻,0.5465241508607714
恋人,0.5465241508607714
主观,0.5451940625690961
偏爱,0.5451940625690961
课堂,0.544780479653606
两位,0.544780479653606
一段时间,0.5436117522631315
直说,0.5431112479224179
心思,0.5431112479224179
磨合,0.5415577379126009
角色,0.5396252642210713
理由,0.5385875222059866
讨论,0.5371728097179276
信手拈来,0.5367181883599846
娇后,0.5367181883599846
片头,0.5366930023243272
这段,0.5364522057348904
事实,0.5344499134587432
表情,0.5343904525499725
自然,0.5322889540666009
收拾,0.5319934193326404
感到,0.530955092343061
蝴蝶,0.5305304611022955
看一遍,0.5303609508374144
感慨,0.5303609508374144
钻头,0.5283489078298034
八个,0.5283489078298034
痛苦,0.5278032387289784
大王,0.5267572772220657
天生,0.5267572772220657
认知,0.5257591202014799
两张,0.5253799223631714
发飙,0.5252237891272651
一段距离,0.5251933571824752
加深,0.5251933571824752
小狗,0.5225911986931338
雷点,0.5224304653144175
讲到,0.5222751226027179
人会,0.5216214231241622
永远,0.5204292022718294
一堵,0.519821121380655
操作性,0.5194961819182641
事后,0.519430141111695
理想,0.5185119480939439
好转,0.5183960119791079
话题,0.5169720785182106
英语,0.5167648441046616
晚上,0.5155474992878337
约束,0.5153980466650572
冒犯,0.5151027658191032
家具,0.5150171463102347
潜入,0.5135885842917056
当年,0.5135885842917056
蓝星,0.5135885842917056
我們,0.5128038852330052
爱意,0.5127085376076834
私人,0.5104567834276308
两样,0.5103818826049102
喜歡,0.5097926245475065
勇敢,0.509630916887297
过后,0.5095580473714253
矛盾,0.5082584406115548
专注,0.5072349116255028
无感,0.5070229836169999
腻歪,0.5069275897553289
分人,0.5047807755407567
信任,0.5040066510877351
射手,0.502413779983743
死活,0.502413779983743
不顾,0.502413779983743
分掉,0.5019570470317497
隔应,0.5019570470317497
看重,0.5019498742268784
困扰,0.5008030040757107
说出,0.5008030040757107
面包,0.5
个体,0.5
牡丹,0.5
上三连,0.5
吹头,0.5
点头,0.5
贴标签,0.5
先是,0.5
平静,0.49961408491337933
支持,0.49904995274667585
三观,0.49885689183341464
找对象,0.49744173190170105
辞职,0.4973632129332193
咋办,0.49590573402259897
别怪,0.49476141132512713
打算,0.49380908249715194
更多,0.49247257084712454
融入,0.491742932018704
社会,0.4901284635001165
教育,0.4896414738173143
家里,0.48940352039031554
两种,0.4885280720307065
好奇心,0.48767373967509675
人点,0.48706422388608916
冒昧,0.48706422388608916
日子,0.4870000350362683
起伏,0.4865611058162602
折磨,0.4840440234894752
大陆,0.4839689460283668
贬低,0.4839689460283668
生日,0.48388426466164375
依赖,0.4836835110341894
偶然,0.48269431386541567
大神,0.48197096385751237
沒有,0.481608719737758
挽回,0.48026304841749046
没法,0.4802485880571117
表达出来,0.4798506193583244
经验,0.477378362512737
超级,0.4768488603931671
语音,0.4766823562680067
很大,0.47577849066203015
時候,0.4707520756771361
异性,0.47015776260382336
自卑,0.4695153318090598
一位,0.46943168437657995
自测,0.46943168437657995
温柔,0.4691596874696962
离开,0.46641214392486974
互补,0.46599067214160456
金钱,0.46451823143924076
有啥,0.46451823143924076
人群,0.4639304259144595
贺卡,0.4637875983634693
例子,0.46342142735179154
二十几年,0.46156889550455404
父母,0.46093983073065137
抑郁,0.46033683000778475
玩笑,0.46033683000778475
耳朵,0.45998156639332427
躺平,0.45877234171812575
负担,0.45845420773026224
蹦迪,0.45835605126430357
霸凌,0.4581953105315086
网络,0.4581953105315086
谢邀,0.45770304307535703
明白,0.45770304307535703
勾不起,0.45770304307535703
机械,0.45673099614965396
两三年,0.45450528924229766
测有,0.45450528924229766
后果,0.4533013579153927
满脑子,0.4529175374251428
哪里找,0.4529175374251428
搞钱,0.4529175374251428
