主题数,困惑度,一致性
2,-7.689693708195888,0.5943257670766462
3,-7.810633615732791,0.6182424839642687
4,-7.9012373163906195,0.6275613543007024
5,-7.979760113571468,0.6051457116385912
6,-8.062921740757508,0.6204919216609376
7,-8.310781879009202,0.633323173608308
8,-8.665573705145786,0.6470353894455578
9,-8.93636659019858,0.6834002512774803
10,-9.23872941117412,0.6457758288930536
11,-9.814524389903124,0.6483075172432048
12,-10.513369805852241,0.6745983976036468
13,-11.041529419851269,0.6646026410587085
14,-11.498781153304964,0.6544756836876203
