主题数,困惑度,一致性
2,-7.892987581830855,0.27972270871780536
3,-8.013263860515254,0.2451377461579519
4,-8.110930138099562,0.27870431977824794
5,-8.23573556336594,0.2916695415082743
6,-8.346978151615035,0.2840549327292088
7,-8.414191260884627,0.3058850078460448
8,-8.472724295661827,0.2970559204421315
9,-8.533136280729614,0.3070052497458408
10,-8.64084055576461,0.29549310729393163
11,-8.713353471426274,0.2811706367977622
12,-8.725845244185015,0.30578357865050093
13,-8.81441244860801,0.293238551904956
14,-8.845347975220278,0.31780951870835106
15,-8.99232162302573,0.2881119125851977
