所属主题,文章数量,特征词,主题强度
Topic0,26,世界、情绪、小猫、接受、害怕、不到、喜欢、释放、说话、朋友、好像、难过、痛苦、不想、事情、学校、我会、吃饭、成绩、离开,0.090909
Topic1,22,痛苦、喜欢、想要、辛苦、好像、孩子、专业、失望、希望、女儿、事情、小孩、大学、感觉、保护、消息、出去玩、开心、学校、难过,0.076923
Topic2,23,医院、不想、好像、女儿、告诉、事情、害怕、只能、希望、喜欢、学校、情绪、电话、接受、吃饭、回信、考得、安慰、办法、痛苦,0.08042
Topic3,16,好像、不想、说话、学习、孩子、情商、事情、情绪、家庭、逃避、母亲、告诉、朋友、大学、痛苦、希望、开心、时间、感觉、活着,0.055944
Topic4,20,不想、讨厌、照顾、理解、男人、害怕、我会、小时候、委屈、世界、孩子、好像、难过、原因、女孩、感觉、关系、糟糕、悼词、家庭,0.06993
Topic5,12,心疼、讨厌、办法、离开、申请、壳里、感觉、优秀、幸福、我会、不到、事情、学会、放弃、逃避、面试、日子、解决办法、讨好、不想,0.041958
Topic6,24,事情、不想、女儿、老师、手机、希望、学校、喜欢、孩子、离开、情绪、回来、痛苦、控制、欺负、游戏、伤心、小孩、我会、焦虑,0.083916
Topic7,23,版权所有、回信、回复、好像、不想、笔友、希望、视频、女儿、想要、感觉、父母、离开、讨厌、喜欢、温柔、接受、内容、告诉、电子,0.08042
Topic8,17,不想、结婚、喜欢、努力、儿子、时间、成长、失败、女儿、照顾、讨厌、骄傲、机会、感觉、希望、贬低、办法、数学题、毕业、好像,0.059441
Topic9,21,害怕、希望、担心、痛苦、我会、焦虑、想要、关心、伤害、人生、不用、只能、好像、办法、孩子、不想、幸福、感到、努力、医院,0.073427
Topic10,18,难过、人生、希望、朋友、书包、记得、名字、讨厌、衣服、热水器、世界、打印、鼓励、幸福、眼泪、不用、不想、同学、感谢、配有,0.062937
Topic11,21,喜欢、离开、回家、告诉、好像、焦虑、想要、孤独、记得、女生、世界、崩溃、开心、收到、原生、家庭、回到、酒店、回去、同学,0.073427
Topic12,19,喜欢、希望、伤害、肯定、开心、孩子、感觉、道理、选择、痛苦、试图、夸奖、男生、我会、幸福、世界、父亲、回复、婴儿、想念,0.066434
Topic13,24,痛苦、孩子、理解、想要、出生、喜欢、世界、朋友、情绪、希望、好像、幸福、不想、女儿、家庭、亲戚、小时候、关心、我会、照顾,0.083916
