Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重
产品,0.030,隔膜,0.026,技术,0.018,公司,0.018,公司,0.018,公司,0.020,发行人,0.020,产品,0.022
公司,0.016,干法,0.012,公司,0.018,发行人,0.014,发行人,0.018,发行人,0.015,公司,0.019,发行人,0.014
技术,0.014,发行人,0.010,发行人,0.015,产品,0.013,技术,0.012,技术,0.010,产品,0.013,公司,0.014
发行人,0.013,产品,0.010,产品,0.011,技术,0.008,产品,0.010,产品,0.009,客户,0.010,技术,0.013
芯片,0.010,湿法,0.008,服务,0.008,情况,0.008,客户,0.007,智能,0.008,技术,0.008,客户,0.008
情况,0.007,工艺,0.008,数据,0.007,相关,0.008,有限公司,0.007,控制,0.007,情况,0.008,设备,0.008
客户,0.006,公司,0.007,相关,0.006,有限公司,0.007,情况,0.006,情况,0.006,有限公司,0.007,电子,0.007
领域,0.006,电池,0.006,研发,0.006,客户,0.006,收入,0.005,相关,0.006,芯片,0.007,情况,0.007
生产,0.005,临床试验,0.006,客户,0.006,控制,0.005,万元,0.005,投资,0.006,业务,0.006,智能,0.006
电子,0.005,技术,0.006,平台,0.006,股份,0.005,相关,0.005,股份,0.005,相关,0.006,市场,0.006
行业,0.005,设备,0.006,情况,0.005,回复,0.005,项目,0.005,股东,0.005,股份,0.006,研发,0.005
系统,0.005,销售,0.006,企业,0.005,企业,0.005,检测,0.005,研发,0.005,销售,0.006,系统,0.005
市场,0.005,情况,0.006,药物,0.005,销售,0.004,设备,0.005,基金,0.005,研发,0.005,有限公司,0.005
收入,0.005,相关,0.006,研究,0.005,智能,0.004,智能,0.005,领域,0.005,收入,0.005,场景,0.004
研发,0.005,市场,0.006,行业,0.005,业务,0.004,市场,0.005,客户,0.005,市场,0.005,制造,0.004
相关,0.004,锂电池,0.005,临床,0.005,问询,0.004,股东,0.004,装备,0.004,回复,0.004,行业,0.004
设备,0.004,治疗,0.005,领域,0.005,项目,0.004,股份,0.004,平台,0.004,万元,0.004,领域,0.004
有限公司,0.004,储能,0.005,业务,0.004,协议,0.004,销售,0.004,企业,0.004,控制,0.004,服务,0.004
智能,0.004,客户,0.004,市场,0.004,投资,0.004,芯片,0.004,销售,0.004,项目,0.004,提供,0.004
销售,0.004,药物,0.004,设备,0.004,股东,0.004,系统,0.004,协议,0.004,金额,0.004,设计,0.004
