主题数,困惑度,一致性
2,-7.882905043617744,0.3473404559623266
3,-7.88249279410927,0.3375159598252213
4,-7.89080026284204,0.3549409974537635
5,-7.895453159779573,0.3590950912864968
6,-7.945973363857801,0.3555556664287771
7,-7.949373736452692,0.34646080096559334
8,-7.966855947820355,0.3640271898186746
9,-7.996828780461991,0.35898234073494517
10,-8.015040789781313,0.3530159981073667
11,-8.05400589056993,0.34449952040529874
12,-8.064021153724305,0.34724321179886036
13,-8.12766796812403,0.34897226885706634
14,-8.116385552518675,0.3457443488223549
