主题数,困惑度,一致性
2,-7.843870797200103,0.34359961035059083
3,-7.82349796593129,0.3586039818387752
4,-7.860108498904262,0.3384106492415434
5,-7.856443554383234,0.3333865010856737
6,-7.946517927936255,0.3225136608265909
7,-7.967656065206755,0.3500258343548262
8,-7.992721730457899,0.3412887625668504
9,-8.021197067111785,0.35137980058574475
10,-8.055466629553763,0.3372019983098447
11,-8.110323876801662,0.3329291567362128
12,-8.29491107072262,0.32957308152709586
13,-8.251498705175095,0.3084823721997768
14,-8.295512427819506,0.33836806947639503
