Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
技术,0.012,股份,0.023,销售,0.012
照明,0.011,照明,0.017,能源,0.011
产品,0.011,合伙人,0.017,关联,0.011
股份,0.008,股东,0.015,产品,0.011
发明专利,0.008,投资,0.015,采购,0.011
客户,0.008,协议,0.015,客户,0.011
制氢,0.008,管理,0.014,电池,0.011
研发,0.007,技术,0.014,氢能,0.010
销售,0.007,基金,0.011,交易,0.009
氢能,0.007,条款,0.010,制氢,0.009
成本,0.006,合伙,0.010,关联方,0.008
专利,0.006,出资,0.008,动力电池,0.007
燃料电池,0.006,股权,0.008,价格,0.007
采购,0.006,刘洪超,0.006,金额,0.007
节能,0.006,深圳,0.006,供应商,0.007
市场,0.006,丁立中,0.006,技术,0.007
发明人,0.006,签署,0.006,产能,0.006
加氢,0.005,刘浩,0.006,成本,0.006
项目,0.005,名称,0.006,燃料电池,0.006
变更,0.005,同创,0.006,新能源,0.006
