主题数,困惑度,一致性
2,-7.5804748832293525,0.3520675153390854
3,-7.582205325936464,0.3597645211592449
4,-7.555142093083428,0.34971052879546566
5,-7.611610583634739,0.318759821988152
6,-7.674999844075974,0.33622203187756544
7,-7.7318109430477096,0.33066072985929135
8,-7.720769093783212,0.32565454687017603
9,-7.918781190018481,0.3443246045293216
10,-7.8993740047465355,0.3221930799312299
11,-7.995037172707414,0.3306244252674459
12,-8.052156779353485,0.34143385068291016
13,-8.084103511790678,0.330908346106177
14,-8.035718061646351,0.3358279837141354
