景点名称,网址,用户名称,星级,评论内容,时间,赞,回应
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                轻柔真心咕隆蜥
                                ",10,坑坑坑简直是一个接一个的坑，建议看了滇池，别再上来了，先坐索道，给你指了一大段线路，然后等你花了70你发现还有一段索道，你不买呢，你只能看如下一个图，除此以外啥也没有。说拍照6寸免费送，6寸也附上图吧，建议大家别来了还是,2020-10-0712:49,1,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                trip玮
                                ",50,,2020-10-0617:37,2,1
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                Teresa_舟
                                ",40,,2020-10-0614:38,11,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                招妹儿
                                ",50,,2020-10-0614:15,5,2
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                大白吖
                                ",40,交通：我是9月✈️到昆明，入住市内酒店，隔天打车过去特色体验：因为是云南最大的淡水湖，还是值得一去的，这个季节还没有候鸟，但是湖面风景还不错，旁边是西山可以买西山和滇池索道票，在湖面上空飘过，再爬山西山，将滇池美景一览无余tips：下来可以体验下游船，时长1小时，吹着风，感受着阳光好不惬意,2020-10-0516:40,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                红花会铁血少年团
                                ",40,,2020-10-0514:27,7,3
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                蜜陶小姐姐
                                ",50,行程不怎么费腿，坐坐大巴坐坐缆车，稍微走几步就登顶了～一路空气非常之好，忍不住摘下口罩狠吸了几口新鲜空气，感觉整个人都得到了refresh～亲近大自然的感觉真的是太棒了～在高处能将昆明的城景净收眼底，还能看到各种颜色状态的滇池，听说治理滇池费了老鼻子功夫了，真的是任重道远啊～#除了手疼，一切都好,2020-10-0507:50,6,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                【已注销用户】
                                ",50,,2020-10-0421:50,,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                over_zy
                                ",50,,2020-10-0421:29,2,
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p93,"
                                折音
                                ",40,,2020-10-0417:04,,
