评论,fenci,情感分类,主题概率,主题类型
"用了6年的,一直认为是笔记本中最好的!",笔记本,neg,"[(0, 0.035715144), (1, 0.035715204), (2, 0.035715245), (3, 0.035715144), (4, 0.035715148), (5, 0.035715263), (6, 0.035715394), (7, 0.035715144), (8, 0.03571528), (9, 0.035715427), (10, 0.035715237), (11, 0.035715148), (12, 0.03571522), (13, 0.535702)]",13
送货时间太长，从订货到我手里足足用了6天。还有不是说免运费吗？为什么还收了我8块钱。,送货 时间 订货 手里 足足 说免 运费 块钱,neg,"[(2, 0.13323417), (6, 0.21340384), (11, 0.56588733)]",11
不知道怎么回事，验货和体验的时候没什么问题，但是装完后光驱吱吱的响，正在查找原因，但愿这个毛病是暂时的，要不那可真是郁闷了,怎么回事 验货 体验 没什么 装完 光驱 吱吱 查找 原因 毛病 暂时 那可真 郁闷,neg,"[(6, 0.8527558), (13, 0.08598779)]",6
内存小，只能自己加了。键盘手感也没有传说中那么神，可能是用的习惯了吧，不过我同事用61的试了试我的键盘，也说不一样了。总体还是比较舒适习惯就好了。如果玩3还是独显的吧，集成毕竟不行。,内存 只能 键盘 手感 是用 习惯 同事 试了试 键盘 总体 舒适 习惯 独显 集成 不行,neg,"[(11, 0.94189364)]",11
箱子外边贴了两个京东的货物编号，貌似发过一次货。包装也比较脏，不像新出厂的。虽然没有证据证明这个本本是旧货，但是总是感觉不爽，希望京东在以后的各个环节注意把关，不要被以次充好。,箱子 外边 两个 京东 货物 编号 貌似 包装 出厂 证据 证明 本本 旧货 感觉 不爽 希望 京东 各个环节 把关 以次充好,neg,"[(1, 0.95574516)]",1
等到发现是主板问题换货时间已经过了   强烈建议大家不要在这里买售后要求蛮高的东西 特别是电脑 买回去 系统你要弄半天  还不送其他东西 看上去价格比外面便宜一点 其实相,发现 主板 换货 时间 强烈建议 售后 蛮高 东西 特别 电脑 买回去 系统 半天 东西 价格比 外面 便宜 一点,neg,"[(10, 0.95110023)]",10
前天下的单，今天到货。一看价格跌了200元，只能认运气不好，呵呵。,天下 到货 价格 只能 运气 不好,neg,"[(0, 0.010212462), (1, 0.010212489), (2, 0.010212682), (3, 0.010212519), (4, 0.010212508), (5, 0.010212475), (6, 0.010212465), (7, 0.010212515), (8, 0.010212514), (9, 0.010212527), (10, 0.26339123), (11, 0.6140587), (12, 0.010212487), (13, 0.010212482)]",11
镜面很差，一不小心有划伤。也不知道联想天天看着，为什么不改。,镜面 一不小心 划伤 联想 天天 看着,neg,"[(0, 0.15680556), (1, 0.010223491), (2, 0.46160322), (3, 0.01022353), (4, 0.010223485), (5, 0.010223517), (6, 0.010223517), (7, 0.010223496), (8, 0.010223511), (9, 0.26913255), (10, 0.010223537), (11, 0.01022355), (12, 0.010223565), (13, 0.010223499)]",2
自带系统太臭了，开机10分钟，关机20分钟，巨慢，郁闷，我现在已经重新装了，刚买不到10天。哎。。。。无语,自带 系统 开机 分钟 关机 分钟 巨慢 郁闷 买不到,neg,"[(7, 0.4298805), (9, 0.48433888)]",9
非常奇怪的问题，随机配了一张光碟，上面居然只是说明书的文档！驱动都不要配吗？让客户都自己去网站上下载？的网站上驱动下载做得并不好，有2个完全不一样的1019，让人不知道如何是好。,奇怪 随机 一张 光碟 说明书 文档 驱动 客户 网站 下载 网站 驱动 下载 做得 不好 如何是好,neg,"[(3, 0.78786737), (4, 0.089782365), (7, 0.07610247)]",3
1、不带正版系统，所以改装时，售后不帮忙重装体统，花了100块钱找电脑城的商家装，而且商家说这是特工机，那个商家技术部花了3个小时才装上了所有驱动~~,正版 系统 改装 售后 帮忙 重装 体统 块钱 电脑城 商家 商家 特工 商家 技术部 小时 装上 驱动,neg,"[(6, 0.06818979), (8, 0.8841637)]",8
的系统，就是修改的系统，界面单一，没有酷炫！目前准备卸载,系统 修改 系统 界面 单一 卸载,neg,"[(0, 0.010221722), (1, 0.010221769), (2, 0.010221753), (3, 0.01022172), (4, 0.010221723), (5, 0.010221825), (6, 0.010221798), (7, 0.010221803), (8, 0.010221753), (9, 0.41330147), (10, 0.010221739), (11, 0.010221727), (12, 0.010221723), (13, 0.46403748)]",13
"键盘太拥挤 按着不太舒服, 也容易按错键. 不过这体积大概也只能这样",键盘 拥挤 按着 舒服 错键 体积 只能,neg,"[(11, 0.8837542)]",11
自带的系统上上网还可以，想玩其他的功能毫无疑问得换.偶在京东订的时候为了装方便，一起买了阿帕奇的光驱。到货后，发现该光驱无法引导系统光盘启动，已验证过该光驱读写功能正常。,自带 系统 上上网 功能 毫无疑问 得换 偶在 京东 阿帕奇 光驱 到货 发现 光驱 引导 系统 光盘启动 验证 光驱 读写 功能,neg,"[(9, 0.91604185), (10, 0.043117102)]",9
相对于2140，屏幕不是镜面屏，亮度会差一点，,屏幕 镜面 亮度,neg,"[(0, 0.017859405), (1, 0.017859476), (2, 0.017859468), (3, 0.7678272), (4, 0.017859416), (5, 0.017859407), (6, 0.017859414), (7, 0.01785944), (8, 0.017859394), (9, 0.017859502), (10, 0.017859438), (11, 0.017859485), (12, 0.017859504), (13, 0.017859446)]",3
"用的是系统,一般用户需要重装,缺少蓝牙模块,电池使用时间稍短,发热量较大",系统 用户 重装 缺少 蓝牙 模块 电池 时间 稍短 发热量 较大,neg,"[(6, 0.4628096), (9, 0.23757707), (12, 0.23409148)]",6
屏幕有点软，合上盖，用手拿着机器，明显有按进去的感觉，这点就不如我朋友买的苹果的屏幕了。另外不知道是不是我还没有煲的关系，音响有点刺耳。,屏幕 上盖 手拿着 机器 感觉 朋友 苹果 屏幕 关系 音响 刺耳,neg,"[(8, 0.41864198), (11, 0.311024), (12, 0.20461261)]",8
那个叫什么什么的系统不怎么会用，想换，听说有点麻烦，不知道有没有高人指导下小弟,系统 想换 听说 麻烦 有没有 指导 小弟,neg,"[(12, 0.88385004)]",12
屏幕的边框是指纹收集器。屏幕亮度每次调低后，再重启，又变成最高了,屏幕 边框 指纹 收集器 屏幕 亮度 每次 调低 重启,neg,"[(1, 0.67147017), (13, 0.24276471)]",1
系统操作还是不太习惯，另外不能把的文件和文件互通，所以也会有一些不方便的,系统 操作 习惯 文件 文件 互通,neg,"[(0, 0.010208641), (1, 0.010208672), (2, 0.8672874), (3, 0.010208632), (4, 0.010208641), (5, 0.010208645), (6, 0.010208678), (7, 0.010208679), (8, 0.01020865), (9, 0.010208674), (10, 0.010208649), (11, 0.010208684), (12, 0.010208676), (13, 0.010208659)]",2
"太重了，好像比其他品牌14寸的机子还重，怎么上面写着2,可是电脑包装上面写毛重3，还有不知是自己太背了还是怎么的，本子到手还没有用，好像有点问题，又要去售后维修，太麻烦了！",太重 好像 品牌 机子 电脑 包装 毛重 不知 本子 到手 好像 售后 维修 麻烦,neg,"[(0, 0.114452854), (10, 0.82837063)]",10
系统不分区。晕。不知道厂家为什么这么搞。既然研发了产品，对于他们内行人来说简单的事就顺手弄好得了。不分区，还要我们弄半天，特别对于我们电脑不懂的女生来说，更是麻烦。,系统 分区 厂家 研发 产品 内行人 简单 顺手 分区 半天 特别 电脑 不懂 女生 更是 麻烦,neg,"[(13, 0.9453357)]",13
发票上写的很明白，赠包，电话客服处理完直接没音信了，京东在线客服竟然来个因为618的优惠而没有包儿了，我觉得很不合理，既然没有就别写赠包，本来价格高400还一大堆赠品，这现在什么也没搞上，还要自己买包,发票 上写 明白 电话 客服 音信 京东 在线 客服 优惠 包儿 不合理 就别 写赠 本来 价格 一大堆 赠品,neg,"[(7, 0.95108277)]",7
缺点还是大家都认同的屏幕太亮的问题，本人通过一些彩色设置将屏幕的亮度和对比度调低了些，勉强能够接爱，但同台式机相比色彩上还是有点差异，因此只能4分，而且屏幕的可视角度不高。,缺点 认同 屏幕 太亮 彩色 设置 屏幕 亮度 对比度 调低 勉强 接爱 但同 台式机 相比 色彩 差异 只能 屏幕 可视 角度,neg,"[(1, 0.11391736), (9, 0.123748265), (11, 0.28461942), (13, 0.44505775)]",13
商品本身就是有点划花，但是可以忍受，但是京东的配送实在是让人气愤。,商品 划花 忍受 京东 配送 实在 气愤,neg,"[(10, 0.8838323)]",10
热量较高~不完游戏就开着也会热，需要散热器为好特别是夏天，显卡是入门级的。不过以后把内存加至4，那样会爽点。,热量 游戏 散热器 特别 夏天 显卡 入门级 内存 加至,neg,"[(10, 0.9070739)]",10
处理器再强点就好了，当然再强点就不是这个价了，显卡的显存很强大，位宽很不强大。只有包，没有鼠标，,处理器 显卡 显存 强大 位宽 强大 鼠标,neg,"[(6, 0.8838538)]",6
