Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重
内容,0.027,京东,0.029,希望,0.034,学习,0.040,京东,0.037,入门,0.035,京东,0.040,实用,0.032,网络,0.047,系统,0.027,本书,0.038,学习,0.120,感觉,0.052,不错,0.139
物流,0.024,系统,0.026,第一版,0.031,详细,0.031,印刷,0.026,学习,0.035,正版,0.019,这本,0.031,研究,0.016,电池,0.015,京东,0.030,好评,0.045,好书,0.032,物流,0.045
包装,0.023,好评,0.020,作者,0.021,学到,0.023,通俗易懂,0.026,编程,0.029,系统,0.016,内容,0.028,工程师,0.016,一种,0.008,入门,0.018,机器,0.022,推荐,0.028,京东,0.021
有用,0.022,驱动,0.015,质量,0.021,必备,0.023,速度,0.020,适合,0.024,安装,0.016,基础,0.021,案例,0.016,想买,0.008,没看,0.017,本书,0.017,专业,0.013,本书,0.016
工具书,0.022,轻松,0.013,价格,0.018,代码,0.023,发货,0.019,基础,0.021,驱动,0.016,系统,0.018,本书,0.015,分享,0.008,快递,0.017,一如既往,0.017,做工,0.011,好好,0.016
实践,0.022,感觉,0.009,京东,0.014,一本,0.017,驱动,0.019,好好学习,0.021,物流,0.013,推荐,0.014,适合,0.011,方式,0.008,一本,0.017,方便快捷,0.017,时间,0.010,自营,0.016
实用,0.022,网卡,0.007,物流,0.011,经典,0.016,购物,0.015,机器,0.019,完好,0.012,知识,0.014,双十,0.011,感谢,0.008,推荐,0.016,理论,0.017,屏幕,0.009,速度,0.015
京东,0.021,屏幕,0.007,图书,0.011,一倍,0.015,信赖,0.014,京东,0.018,计算机,0.012,水平,0.013,还行,0.011,急用,0.008,喜欢,0.013,买来,0.014,购买,0.009,系统,0.012
介绍,0.020,支持,0.007,谢谢,0.011,驱动,0.011,值得,0.014,好书,0.016,希望,0.012,键盘,0.009,工作效率,0.011,流行,0.008,随便,0.012,发现,0.010,还好,0.009,提升,0.008
东西,0.017,购买,0.007,纸张,0.011,本书,0.010,服务,0.014,没看,0.011,速度,0.009,书籍,0.009,自动化,0.011,水平,0.008,统一,0.012,内存,0.010,简单,0.009,感觉,0.007
通俗易懂,0.016,自已,0.007,疫情,0.011,肯定,0.009,便宜,0.013,加油,0.011,学习,0.009,效果,0.009,时间,0.010,实际上,0.008,理解,0.010,仔细,0.008,预想,0.008,还好,0.006
初学者,0.012,资料,0.007,系统,0.008,支持,0.009,麻烦,0.012,期间,0.011,支持,0.008,入门,0.008,提高,0.010,声音,0.008,东西,0.008,努力,0.008,好用,0.008,笔记本,0.006
好好,0.011,物流,0.007,基础,0.008,评价,0.009,可惜,0.008,系统,0.009,提供,0.008,本书,0.008,散热,0.009,驱动,0.007,服务,0.008,描述,0.008,同学,0.008,没什么,0.006
实战,0.011,代码,0.007,增加,0.007,新手,0.008,暂时,0.008,感觉,0.008,快递,0.007,质量,0.007,希望,0.009,小时,0.006,书籍,0.008,技能,0.008,进一步,0.008,屏幕,0.006
挺不错,0.011,信任,0.007,速度,0.007,内容,0.008,送货,0.008,硬盘,0.007,感觉,0.007,接触,0.007,驱动,0.009,只能,0.005,系统,0.007,符合,0.008,追求,0.008,惠普,0.006
学习,0.011,正好,0.007,驱动,0.007,好好,0.008,商品,0.008,收到,0.006,服务,0.007,希望,0.007,机器,0.008,采购,0.005,内存,0.007,时代,0.008,落后,0.008,包装,0.006
本书,0.011,图书,0.007,服务,0.007,知识面,0.008,下单,0.008,建议,0.006,更好,0.007,确实,0.007,系统,0.008,风扇,0.005,机器,0.007,驱动,0.008,教材,0.008,简单,0.006
希望,0.010,有用,0.007,喜欢,0.006,形象,0.008,收到,0.007,偏重,0.006,一种,0.007,印刷,0.007,速度,0.008,缺点,0.005,下单,0.007,质量,0.008,实验,0.008,时间,0.006
客服,0.007,太行,0.007,收到,0.006,保存,0.008,客户,0.007,键盘,0.006,包装,0.007,人员,0.007,维护,0.007,硬盘,0.005,满意,0.007,键盘,0.007,希望,0.008,好书,0.005
时间,0.007,长期,0.007,操作,0.006,素质,0.008,基础,0.007,本书,0.006,实惠,0.006,转型,0.007,知识,0.007,预装,0.005,真的,0.007,快递,0.007,结束,0.006,昨天,0.005
打开,0.007,五星,0.007,发货,0.006,纸质,0.008,解答,0.007,好久,0.006,购买,0.006,全新,0.007,运行,0.006,京东,0.005,商城,0.007,系统,0.007,系统,0.005,易懂,0.005
买来,0.006,色差,0.007,信息,0.006,领域,0.008,一点儿,0.007,新手,0.006,费力,0.006,网工,0.007,印刷,0.006,内存,0.005,基础,0.006,专业,0.006,键盘,0.005,正版书,0.005
很快,0.006,了下,0.007,优惠,0.006,硬盘,0.006,出门,0.007,送货,0.006,首选,0.006,文档,0.007,京东,0.006,时间,0.005,没送,0.006,感觉,0.006,模块,0.005,浅显易懂,0.005
散热,0.006,刺眼,0.007,一如既往,0.005,屏幕,0.006,习惯性,0.007,购买,0.005,太棒了,0.006,枯燥,0.007,工作,0.006,屏幕,0.004,质量,0.006,通俗易懂,0.006,内存,0.004,享受,0.005
机器,0.006,一点点,0.006,有用,0.005,维护,0.005,数码,0.007,数据,0.005,开发,0.006,小白,0.007,光驱,0.006,摄像头,0.004,服务态度,0.006,时间,0.006,能力,0.004,慢慢,0.005
缺陷,0.006,包装,0.006,保证,0.005,不好,0.005,浅显,0.007,购书,0.005,蓝色,0.006,电子,0.007,服务,0.006,光驱,0.004,打算,0.006,屏幕,0.005,摄像头,0.004,难度,0.005
