word,counts
系统,508
驱动,379
京东,218
屏幕,205
内存,196
麻烦,194
键盘,187
感觉,162
安装,161
散热,152
电池,150
硬盘,126
机器,125
不好,119
发现,116
光驱,114
声音,112
鼠标,111
不错,103
小时,94
预装,92
分区,91
时间,86
价格,84
电脑,82
只能,81
显卡,78
指纹,76
开机,75
摄像头,72
光盘,71
笔记本,68
希望,68
郁闷,67
速度,67
东西,66
软件,66
学习,65
下载,64
客服,63
无线,63
风扇,63
网卡,63
好像,62
运行,59
网上,59
习惯,57
触摸板,57
做工,56
一点,54
接口,54
物流,54
本本,52
自带,51
外壳,48
设计,47
打开,47
质量,47
本书,47
包装,46
蓝牙,46
发热量,45
原因,44
联想,44
缺点,44
华硕,44
建议,44
影响,44
确实,43
拿到,41
快递,41
发热,41
显示,40
不到,40
启动,40
电源,39
太小,38
稍微,38
服务,38
设置,37
上网,37
配置,37
送货,36
实在,36
效果,36
温度,36
塑料,35
垃圾,35
还好,35
特别,34
机子,34
支持,34
接受,34
不行,33
两个,32
降价,32
地方,32
真的,32
喜欢,32
搞定,32
