word,counts
不错,1283
外观,393
配置,382
性价比,351
速度,289
系统,267
键盘,262
散热,242
价格,234
做工,226
京东,215
质量,204
感觉,203
屏幕,201
性能,194
漂亮,194
机器,186
内存,169
电池,163
东西,156
喜欢,154
很快,144
驱动,143
小时,140
本本,133
硬盘,121
满意,119
学习,117
完美,111
值得,111
运行,110
笔记本,109
安装,108
适合,106
很漂亮,103
上网,102
内容,98
显卡,96
手感,94
便宜,93
送货,92
购买,91
品牌,87
效果,83
设计,76
声音,76
电脑,75
舒服,74
朋友,73
整体,72
真的,72
发现,71
摄像头,71
时间,71
包装,70
物流,70
小巧,69
收到,68
价位,65
很好,65
清晰,63
实惠,61
好看,61
本书,61
华硕,60
总体,59
超值,59
正版,59
推荐,59
接口,58
游戏,57
实用,55
特别,54
功能,53
无线,53
足够,53
样子,52
三星,51
机子,51
精致,50
够用,49
办公,48
电影,48
活动,48
烤漆,47
时尚,47
续航,46
联想,46
拿到,46
系列,44
价钱,43
软件,42
白色,42
流畅,42
发货,42
还好,42
鼠标,42
自带,41
想象,41
书籍,41
