评论,fenci,情感分类,主题概率,主题类型
"用了6年的,一直认为是笔记本中最好的!",笔记本,neg,"[(0, 0.04166834), (1, 0.041668627), (2, 0.04166852), (3, 0.041670624), (4, 0.04166838), (5, 0.041669376), (6, 0.041668683), (7, 0.54164124), (8, 0.041669264), (9, 0.041668724), (10, 0.04166938), (11, 0.041668832)]",7
送货时间太长，从订货到我手里足足用了6天。还有不是说免运费吗？为什么还收了我8块钱。,送货 时间 订货 手里 足足 说免 运费 块钱,neg,"[(7, 0.89805186)]",7
不知道怎么回事，验货和体验的时候没什么问题，但是装完后光驱吱吱的响，正在查找原因，但愿这个毛病是暂时的，要不那可真是郁闷了,怎么回事 验货 体验 没什么 装完 光驱 吱吱 查找 原因 毛病 暂时 那可真 郁闷,neg,"[(0, 0.09502283), (3, 0.22462125), (6, 0.6266951)]",6
内存小，只能自己加了。键盘手感也没有传说中那么神，可能是用的习惯了吧，不过我同事用61的试了试我的键盘，也说不一样了。总体还是比较舒适习惯就好了。如果玩3还是独显的吧，集成毕竟不行。,内存 只能 键盘 手感 是用 习惯 同事 试了试 键盘 总体 舒适 习惯 独显 集成 不行,neg,"[(4, 0.11865028), (10, 0.829229)]",10
箱子外边贴了两个京东的货物编号，貌似发过一次货。包装也比较脏，不像新出厂的。虽然没有证据证明这个本本是旧货，但是总是感觉不爽，希望京东在以后的各个环节注意把关，不要被以次充好。,箱子 外边 两个 京东 货物 编号 貌似 包装 出厂 证据 证明 本本 旧货 感觉 不爽 希望 京东 各个环节 把关 以次充好,neg,"[(7, 0.9562945)]",7
等到发现是主板问题换货时间已经过了   强烈建议大家不要在这里买售后要求蛮高的东西 特别是电脑 买回去 系统你要弄半天  还不送其他东西 看上去价格比外面便宜一点 其实相,发现 主板 换货 时间 强烈建议 售后 蛮高 东西 特别 电脑 买回去 系统 半天 东西 价格比 外面 便宜 一点,neg,"[(2, 0.8352273), (3, 0.12088368)]",2
前天下的单，今天到货。一看价格跌了200元，只能认运气不好，呵呵。,天下 到货 价格 只能 运气 不好,neg,"[(0, 0.011906676), (1, 0.011906736), (2, 0.0119066695), (3, 0.8690249), (4, 0.0119069535), (5, 0.011906947), (6, 0.011907005), (7, 0.011907279), (8, 0.011906826), (9, 0.011906699), (10, 0.011906722), (11, 0.0119066145)]",3
镜面很差，一不小心有划伤。也不知道联想天天看着，为什么不改。,镜面 一不小心 划伤 联想 天天 看着,neg,"[(0, 0.011923384), (1, 0.17531268), (2, 0.011923108), (3, 0.01192308), (4, 0.011922974), (5, 0.01192306), (6, 0.01192307), (7, 0.011923102), (8, 0.70545584), (9, 0.011923279), (10, 0.011923119), (11, 0.011923283)]",8
自带系统太臭了，开机10分钟，关机20分钟，巨慢，郁闷，我现在已经重新装了，刚买不到10天。哎。。。。无语,自带 系统 开机 分钟 关机 分钟 巨慢 郁闷 买不到,neg,"[(5, 0.4334123), (6, 0.48305917)]",6
非常奇怪的问题，随机配了一张光碟，上面居然只是说明书的文档！驱动都不要配吗？让客户都自己去网站上下载？的网站上驱动下载做得并不好，有2个完全不一样的1019，让人不知道如何是好。,奇怪 随机 一张 光碟 说明书 文档 驱动 客户 网站 下载 网站 驱动 下载 做得 不好 如何是好,neg,"[(6, 0.9460001)]",6
1、不带正版系统，所以改装时，售后不帮忙重装体统，花了100块钱找电脑城的商家装，而且商家说这是特工机，那个商家技术部花了3个小时才装上了所有驱动~~,正版 系统 改装 售后 帮忙 重装 体统 块钱 电脑城 商家 商家 特工 商家 技术部 小时 装上 驱动,neg,"[(3, 0.06870667), (4, 0.884968)]",4
的系统，就是修改的系统，界面单一，没有酷炫！目前准备卸载,系统 修改 系统 界面 单一 卸载,neg,"[(0, 0.011920738), (1, 0.011921031), (2, 0.011922175), (3, 0.011920614), (4, 0.011921628), (5, 0.011921353), (6, 0.011921035), (7, 0.011920829), (8, 0.86886793), (9, 0.011920862), (10, 0.0119205685), (11, 0.011921204)]",8
"键盘太拥挤 按着不太舒服, 也容易按错键. 不过这体积大概也只能这样",键盘 拥挤 按着 舒服 错键 体积 只能,neg,"[(0, 0.010424653), (1, 0.010424524), (2, 0.010424492), (3, 0.010424411), (4, 0.010424662), (5, 0.8853301), (6, 0.010424594), (7, 0.010424653), (8, 0.010424426), (9, 0.01042438), (10, 0.010424608), (11, 0.010424483)]",5
自带的系统上上网还可以，想玩其他的功能毫无疑问得换.偶在京东订的时候为了装方便，一起买了阿帕奇的光驱。到货后，发现该光驱无法引导系统光盘启动，已验证过该光驱读写功能正常。,自带 系统 上上网 功能 毫无疑问 得换 偶在 京东 阿帕奇 光驱 到货 发现 光驱 引导 系统 光盘启动 验证 光驱 读写 功能,neg,"[(3, 0.9563057)]",3
相对于2140，屏幕不是镜面屏，亮度会差一点，,屏幕 镜面 亮度,neg,"[(0, 0.020837137), (1, 0.020837212), (2, 0.020837346), (3, 0.77078974), (4, 0.020837286), (5, 0.020837143), (6, 0.020836933), (7, 0.02083713), (8, 0.020838123), (9, 0.020837242), (10, 0.02083733), (11, 0.020837385)]",3
"用的是系统,一般用户需要重装,缺少蓝牙模块,电池使用时间稍短,发热量较大",系统 用户 重装 缺少 蓝牙 模块 电池 时间 稍短 发热量 较大,neg,"[(1, 0.55143195), (4, 0.37906864)]",1
