Unnamed: 0,发表时间,作者,评级,标题,内容,fenci,sentiment
,2024-07-31 23:09:44,摇摇mm,5,喜欢,丰富包容友好,包容 友好,正面
,2024-07-31 22:53:24,。。， 。，,1,。。,我举报过的带节奏，引战直播间，评论从来没有看到过直正处理的，不管我举报多少次还是一样在发，直播,举报 节奏 引战 直播间 评论 举报,负面
,2024-07-31 22:41:48,b 站黑子,1,没有投诉建议的渠道 霸王平台恶心,天天推送讨厌的内容,推送 讨厌 内容,负面
,2024-07-31 22:01:06,jjjjjjjjjjss,5,超棒,站真的环境超好，总能找到自己感兴趣的内容,环境 超好 总能 找到 感兴趣 内容,正面
,2024-07-31 21:59:12,hhh🫥🤗🤗,4,😵‍💫😵‍💫,广告太多,广告,正面
,2024-07-31 21:51:14,uki酱.,5,我个人认为很好，但是番我觉得有点少了🫢,日剧挺多挺好（看的是主搬运的）但是有的看就已经很知足了！！！！很不错我感觉！,日剧 搬运 知足 不错 感觉,正面
,2024-07-31 21:08:21,吃了不拿拿就荡走,5,求求审核轻点,看漫删减的很难受,看漫 删减 难受,负面
,2024-07-31 21:01:31,垃圾垃圾垃圾垃圾垃圾垃圾垃圾好垃圾垃圾垃圾啊了,1,恶心,（该条评论已经被删除）真恶心,评论 删除 恶心,负面
,2024-07-31 20:03:17,能不能把这个功能普及一下？谢谢！,3,为什么我看不到动态了？,（该条评论已经被删除）如题，很长一段时间没有刷到图文动态了,评论 删除 刷到 图文 动态,负面
,2024-07-31 18:35:02,不在深圳,5,我都住在里面了,好，虽然码率差点意思。返回键能不能不要一下子直接退回主页面。,码率 差点 返回 退回 页面,负面
,2024-07-31 17:08:09,耽子。,5,比其他社交平台都要优秀,最大原因当然是未成年更少 大部分人不会当乐子 风气也更好（指个别未成年但更希望未成年保护做更好吧 看天官赐福时 第一集不要钱乐子就很多 后面就没这么多乐了,原因 乐子 风气 希望 保护 乐子,正面
,2024-07-31 16:58:53,？？。？ 😳😳😳😳,5,还行，不错,（该条评论已经被删除）啥都不错，就是老有广告,评论 删除 不错 广告,负面
