word,counts
视频,684
评论,269
哔哩,233
喜欢,207
功能,197
希望,176
删除,170
广告,158
软件,153
弹幕,126
内容,113
播放,105
学习,92
会员,89
平台,84
推荐,79
手机,79
不错,74
屏蔽,69
版本,54
用户,54
关注,54
好看,50
环境,47
缓存,47
感觉,44
搜索,44
收藏夹,40
体验,37
收藏,36
下载,35
风气,34
打开,34
账号,34
时间,33
标签,33
举报,33
粉丝,32
网站,32
苹果,32
只能,32
加油,32
地方,30
声音,30
建议,29
知识,29
看着,29
好用,29
很好,28
关键词,28
平板,28
太小,28
支持,27
模式,27
快乐,27
开屏,27
找到,26
修复,26
游戏,26
显示,26
画面,25
观看,25
感谢,24
质量,24
倒闭,24
氛围,24
电影,24
登录,23
推广,23
很棒,22
关闭,22
推送,22
强制,22
后台,21
好评,21
鬼畜,21
社区,21
点击,20
选择,20
添加,20
不用,20
动漫,20
不到,20
取消,20
叔叔,19
有趣,19
确实,19
资源,19
返回,18
优质,18
番剧,18
增加,18
界面,18
垃圾,18
算法,18
电视,17
博主,17
想看,17
全屏,17
小鬼,17
