所属主题,文章数量,特征词,主题强度
Topic0,98,手机、学习、评论、删除、希望、平板、动态、小站、专栏、分享、困难、尊重、优质、舞蹈、开放、遮挡、跳到、视频、显示、资源,0.043653
Topic1,109,棒棒、推荐、公司、叔叔、投屏、查看、思想、视频、朋友、感觉、播放、改进、很棒、电影、取消、画面、学习、值得、收藏、字体,0.048552
Topic2,140,希望、视频、功能、大学、课程、取消、方式、模式、手机、感受、广告、网站、打开、氛围、粉丝、哔哩、评论、观看、添加、学生,0.062361
Topic3,91,资源、修复、找到、记录、程序员、标题、删减、历史记录、无敌、静音、类似、搜索、工具、好人、很烦、失望、好歹、苹果、手机、历史,0.040535
Topic4,75,太小、老子、评论、删除、新手、功能、观点、学习、版本、快乐、订阅、登陆、不用、购买、分享、默认、勾选、手贱、吃饭、去掉,0.033408
Topic5,206,广告、视频、评论、喜欢、删除、功能、内容、开屏、关键词、主题、搜索、体验、缓存、软件、推广、用户、建议、粉丝、产品、修改,0.091759
Topic6,124,视频、喜欢、看着、收藏、返回、缓存、关注、接触、游戏、节目、商业、中心、花钱、感觉、评论、电影、删除、不错、世界、柠檬,0.055234
Topic7,213,哔哩、评论、删除、学习、视频、软件、喜欢、不错、希望、资料、打开、手机、网站、风气、氛围、加油、广告、感谢、内容、净土,0.094878
Topic8,133,评论、删除、对立、讨论、好评、历史记录、陪伴、成年人、忘记、收获、男女、年轻人、原因、哔站、学习、动漫、加油、通知、初心、完善,0.059243
Topic9,309,视频、软件、喜欢、不错、内容、评论、收藏夹、博主、学习、删除、创建、希望、想看、平台、质量、优质、算法、实在、讨厌、大病,0.13764
Topic10,86,电影、电脑、视频、只能、手机、关注、充值、播放、实力、看完、无语、整治、上课、功德、好看、游戏、推送、想看、广告、会员,0.038307
Topic11,186,功能、喜欢、版本、动态、弹幕、视频、屏蔽、播放、投屏、举报、电视、手机、连续、标签、账号、人类、用户、舒服、电视剧、建议,0.082851
Topic12,214,视频、评论、删除、播放、希望、用户、学习、屏幕、展示、功能、喜欢、开心、竖屏、流量、文字、弹幕、封号、麦片、推荐、显示,0.095323
Topic13,97,会员、教会、小时、评论、版本、番剧、收藏、地方、支持、还行、收藏夹、平台、原因、乐子、空间、登录、感觉、只能、跪求、资源,0.043207
Topic14,164,弹幕、视频、平台、评论、好看、返回、功能、电视、手机、播放、消失、发表、删除、推荐、内容、和谐、希望、氛围、带来、收藏,0.073051
