主题数,困惑度,一致性
2,-6.649745458586279,0.3508062079845007
3,-6.808612196783888,0.3248388534384079
4,-6.810083450436438,0.31806385606014165
5,-6.92025485832598,0.3312356662832182
6,-6.885862759001803,0.3497348720696545
7,-6.988470253366312,0.33899555214819127
8,-7.001512556877251,0.3403327832562407
9,-7.038358307268623,0.3645217245094021
10,-7.08710692591462,0.3397103738920343
11,-7.18262802589734,0.4022859877122562
12,-7.307381360366054,0.383894540226925
13,-7.365837545496967,0.3724113499842069
14,-7.4990050769768235,0.3890445039375874
15,-7.53715484860685,0.4037485449486698
