主题数,困惑度,一致性
2,-8.525652714423785,0.3842820162017365
3,-8.643998532998578,0.3548670613205289
4,-8.707343170525242,0.3896843170010235
5,-8.806181881466003,0.3980522072088354
6,-8.892408751037259,0.435468144780476
7,-9.024604293082644,0.41328734062024824
8,-9.22928337078622,0.41953910074498457
9,-9.426912927127105,0.44644249514311773
10,-9.732466593634244,0.4086263829941294
11,-9.959339247074135,0.44989442043327443
12,-10.163800513657012,0.4313850930678668
13,-10.341595141923849,0.4407636768365828
14,-10.480353006256184,0.47160729048244315
15,-10.628380912187584,0.47318033502943574
16,-10.734853087435637,0.4817414101687518
17,-10.927498839516637,0.4766132537762696
18,-11.079194984645314,0.4683782097944127
19,-11.239380581701598,0.47291317043729136
20,-11.354642815809648,0.48939230864600736
