时间,fenci,主题概率,主题类型
2023-09-28,报道 观光 长官 记者会 看法 有限 看法 旅行社 展开 询问 指出 程度 取消 预约 关注 动向 高桥 介绍 旅行社 询问 长假 预约 情况 旅行社 回答 预定 出发 超过 水平 举办 相关 推介 项目 吸引 人数 收起,"[(3, 0.97712195)]",3
2023-08-28,排放 废水 少女 发声 接受 媒体 采访 废水 排入 认可 认可 合法 理解 点头 排放 核污染 传统 攻击 木质 筷子 环境 有害 筷子 竹子 制成 燃放鞭炮 污染空气 禁止 燃放鞭炮 反观 捕鲸 尊重 接受 文化 传统 实在 智商 生存 收起,"[(0, 0.029005712), (3, 0.83433175), (4, 0.1239627)]",3
2023-08-28,电视节目 主持人 政客 名嘴 调侃 周边国家 排放 污水 声称 想来 飞机 喝一杯 污水 政客 嘴脸,"[(0, 0.010482544), (1, 0.010584845), (2, 0.010492319), (3, 0.6941268), (4, 0.010540116), (5, 0.26377338)]",3
2023-09-04,个人行为 吸人 眼球 生意 个人行为 眼球 歧视 歧视 人群 污水 普通百姓 普通百姓 污水 商家 尊重 身份 背景 骨气 民族 素质 收起,"[(2, 0.9153519), (3, 0.054087434)]",2
2023-08-28,政论 节目 主持人 提议 想来 飞机 污水 水产 飞机 核电站 海域 资格 超话 中事 视频,"[(0, 0.010481212), (1, 0.0105323605), (2, 0.010556272), (3, 0.94744194), (4, 0.010517118), (5, 0.01047106)]",3
2023-08-31,视频 废水 最全 时间 梳理 奶奶 视频,"[(0, 0.021011276), (1, 0.021005107), (2, 0.021039907), (3, 0.021053601), (4, 0.89494896), (5, 0.020941148)]",4
2023-08-28,政论 节目 主持人 提议 想来 飞机 污水 水产 飞机 核电站 海域 资格 超话 视频,"[(0, 0.011163055), (1, 0.011221946), (2, 0.011252309), (3, 0.94400704), (4, 0.011204168), (5, 0.011151517)]",3
2023-08-27,理智 看待 舆论 废水 条鱼 掐着 脖子 告诉 视频,"[(0, 0.016717559), (1, 0.016716028), (2, 0.016773477), (3, 0.016760688), (4, 0.9163035), (5, 0.016728725)]",4
2023-09-30,报道 来临 飞往 航班 座位 满席 登机 游客 朋友 刺身 报道 机场 飞往 羽田机场 队列 很长 游客 废水 事件 肯定 仇日 失心 破防 好事儿,"[(3, 0.96598285)]",3
2023-09-04,小女孩 餐桌上 晚报 超话 萤火虫 视频,"[(0, 0.024545064), (1, 0.27790856), (2, 0.62474924), (3, 0.02426182), (4, 0.024292013), (5, 0.02424332)]",2
2023-08-27,污水 遵守 约定 电视台 报道 特集 关切 民众 心态 核电站 污水处理 国际原子能机构 扮演 角色 做出 程度 采访 回应 视频,"[(1, 0.18626992), (5, 0.78011125)]",5
