Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
污水,0.016,醒醒,0.121,社区,0.019,废水,0.029,污水,0.009,污水,0.019
排放,0.012,废水,0.012,超话,0.009,污水,0.027,收起,0.008,废水,0.016
国家,0.012,收起,0.007,支持,0.007,抵制,0.019,排放,0.007,排放,0.016
小伙伴,0.010,污水,0.006,污水,0.006,日货,0.013,危害,0.007,核污染,0.014
废水,0.010,超话,0.005,排放,0.006,热度,0.012,辐射,0.006,辐射,0.011
忘记,0.007,感觉,0.004,地球,0.006,排放,0.010,时间,0.005,收起,0.010
全世界,0.007,世界,0.004,核污染,0.005,关注,0.009,健康,0.005,健康,0.008
灾难,0.006,取消,0.003,废水,0.005,核污染,0.009,食品,0.005,视频,0.008
旗下,0.006,不行,0.003,国家,0.004,地球,0.007,食用,0.005,核电站,0.007
感兴趣,0.005,豆腐脑,0.003,地震,0.004,人类,0.006,回收,0.005,手机,0.007
兴趣,0.005,充电,0.003,收起,0.004,保护,0.006,视频,0.005,危害,0.005
全球,0.004,看着,0.003,交流,0.004,世界,0.005,小鬼子,0.005,电磁辐射,0.005
结束,0.004,辐射,0.003,开通,0.004,泄漏,0.005,风险,0.005,报道,0.005
罪行,0.004,地震,0.003,媒体,0.004,希望,0.005,核污染,0.004,计划,0.004
罪恶,0.004,加油,0.002,可爱,0.004,视频,0.005,建议,0.004,日方,0.004
收起,0.004,讨厌,0.002,辐射,0.004,收起,0.005,购买,0.004,时间,0.004
记住,0.004,热度,0.002,祸害,0.004,超话,0.005,减少,0.004,国际,0.004
不吃,0.004,便宜,0.002,核电站,0.003,核电站,0.004,感染,0.004,电力公司,0.003
发声,0.003,视频,0.002,流量,0.003,事情,0.004,推荐,0.004,发生,0.003
国际,0.003,朋友圈,0.002,视频,0.003,阀门,0.004,寄生虫,0.003,新闻,0.003
数量,0.003,感谢,0.002,人类,0.003,健康,0.004,孩子,0.003,排海,0.003
不惑,0.003,事情,0.002,小心,0.003,感觉,0.004,回来,0.003,水产品,0.003
推荐,0.003,不惑,0.002,禁令,0.003,危害,0.004,眼睛,0.003,鬼子,0.003
世界,0.003,原因,0.002,优质,0.003,肯定,0.003,废水,0.003,关系,0.003
表态,0.003,流浪狗,0.002,危险,0.003,辐射,0.003,人体,0.003,经济,0.003
事件,0.003,核电站,0.002,停止,0.003,公司,0.003,关注,0.003,相关,0.003
发现,0.003,排放,0.002,打卡,0.003,全球,0.003,水产,0.003,环境,0.003
恢复,0.003,好看,0.002,精神,0.003,喜欢,0.003,全球,0.003,水排,0.003
产品,0.002,回复,0.002,发现,0.003,原因,0.003,日本鬼子,0.003,社会,0.003
经济,0.002,大闸蟹,0.002,政治,0.003,放射性物质,0.003,手机,0.003,技术,0.003
解决,0.002,紧急,0.002,可恶,0.003,发生,0.003,人类,0.003,全球,0.003
好像,0.002,毁灭,0.002,举报,0.002,效果,0.003,医院,0.003,产品,0.002
力量,0.002,导致,0.002,报告,0.002,电力公司,0.003,水产品,0.003,核辐射,0.002
灭亡,0.002,时间,0.002,倭寇,0.002,环境,0.002,解决,0.003,关注,0.002
底线,0.002,操作,0.002,放射性,0.002,评论,0.002,有没有,0.002,评论,0.002
支持,0.002,晚安,0.002,海水,0.002,国家,0.002,排入,0.002,引发,0.002
确实,0.002,期待,0.002,民众,0.002,运营商,0.002,季节,0.002,导致,0.002
游客,0.002,关注,0.002,浓度,0.002,禁止,0.002,选择,0.002,带来,0.002
做梦,0.002,基站,0.002,标准,0.002,海产品,0.002,国际,0.002,措施,0.002
开通,0.002,网络,0.002,自由,0.002,工作人员,0.002,产品,0.002,人体,0.002
希望,0.002,可爱,0.002,选择,0.002,新闻,0.002,方式,0.002,地震,0.002
努力,0.002,值得,0.002,危害,0.002,支持,0.002,情况,0.002,保护,0.002
喜欢,0.002,鞠躬,0.001,舆论,0.002,报道,0.002,生食,0.002,专用,0.002
怀疑,0.002,希望,0.001,核试验,0.002,事件,0.002,人群,0.002,排放量,0.002
可恨,0.002,报道,0.001,核辐射,0.002,忘记,0.002,朋友,0.002,链接,0.002
人类,0.002,可怜,0.001,编剧,0.002,伤害,0.002,不错,0.002,科技,0.002
现实,0.002,人员,0.001,放射性物质,0.002,排核,0.002,交易,0.002,网页,0.002
航班,0.002,喜欢,0.001,脑子,0.002,手动,0.002,事儿,0.002,超过,0.002
记录,0.002,花钱,0.001,氢弹,0.002,忘关,0.002,保护,0.002,接触,0.002
好吃,0.002,民族,0.001,世界,0.002,导致,0.002,消除,0.002,图片,0.002
鼻子,0.002,降价,0.001,政府,0.002,干嘛,0.002,途径,0.002,提供,0.002
护肤品,0.002,人类,0.001,登记,0.002,发声,0.002,会员,0.002,只能,0.002
文化,0.002,总统,0.001,水产品,0.002,国际,0.002,确实,0.002,标准,0.002
历史,0.002,不用,0.001,可惜,0.002,事故,0.002,超话,0.002,没事,0.002
交流,0.002,国人,0.001,发布,0.002,知识,0.002,干净,0.002,平台,0.002
时代,0.002,不想,0.001,生物,0.002,阻止,0.002,提高,0.002,希望,0.002
珍珠,0.001,听说,0.001,发生,0.002,水产品,0.002,海域,0.002,事件,0.002
人生,0.001,手机,0.001,希望,0.002,动物,0.002,疲劳,0.002,情况,0.002
棒子,0.001,地方,0.001,海域,0.001,核试验,0.002,方法,0.002,材料,0.002
时间,0.001,发现,0.001,渔民,0.001,本子,0.002,达标,0.002,消息,0.002
缺德,0.001,层面,0.001,关注,0.001,老师,0.002,淡水,0.002,国家,0.002
用户,0.001,事故,0.001,报道,0.001,媒体,0.002,天气预报,0.002,正式,0.002
人工智能,0.001,故事,0.001,地方,0.001,核食,0.002,大雾,0.002,不到,0.002
稳定,0.001,包括,0.001,消失,0.001,做起,0.002,剂量,0.002,超话,0.002
地震,0.001,新闻,0.001,热度,0.001,员工,0.002,阻止,0.002,态度,0.002
增加,0.001,推广,0.001,生态,0.001,厉害,0.002,病菌,0.002,球迷,0.002
带来,0.001,工作人员,0.001,无知,0.001,破坏,0.002,想要,0.002,办法,0.002
辐射,0.001,抵制,0.001,善意,0.001,公布,0.002,腌制,0.002,包括,0.002
关系,0.001,分子,0.001,免签,0.001,时间,0.002,正规,0.002,人类,0.002
人道主义,0.001,呼吁,0.001,感觉,0.001,计划,0.002,指路,0.002,癌症,0.002
社会,0.001,好像,0.001,国际,0.001,好像,0.002,螃蟹,0.002,疾病,0.002
超话,0.001,办法,0.001,孕妇,0.001,撤销,0.002,放射性,0.002,市场,0.002
适合,0.001,代购,0.001,淡忘,0.001,社会,0.002,程度,0.001,数据,0.002
姐妹,0.001,材料,0.001,懂得,0.001,电信,0.002,导致,0.001,消费者,0.002
发生,0.001,发生,0.001,撤销,0.001,产品,0.002,发生,0.001,放心,0.002
工具,0.001,文案,0.001,太坏,0.001,话题,0.001,提供,0.001,担忧,0.001
内地,0.001,机场,0.001,工匠,0.001,降低,0.001,降低,0.001,年度,0.001
理解,0.001,液体,0.001,价格,0.001,全人类,0.001,制裁,0.001,流入,0.001
核污染,0.001,技术,0.001,解决,0.001,洗脑,0.001,核电站,0.001,对话,0.001
大妈,0.001,体验,0.001,找到,0.001,关心,0.001,抵制,0.001,建立,0.001
油皮,0.001,不到,0.001,成本,0.001,核泄漏,0.001,计划,0.001,世界,0.001
抵制,0.001,面条,0.001,干嘛,0.001,日子,0.001,国家,0.001,访华,0.001
意义,0.001,不让,0.001,孩子,0.001,沉默,0.001,喜欢,0.001,负责,0.001
选择,0.001,告诉,0.001,电热毯,0.001,不用,0.001,专家,0.001,担心,0.001
平台,0.001,流量,0.001,强度,0.001,美好,0.001,结局,0.001,选择,0.001
走向,0.001,事件,0.001,平台,0.001,泄露,0.001,爆发,0.001,放射性物质,0.001
信号,0.001,改不了,0.001,时间,0.001,全世界,0.001,放弃,0.001,利益,0.001
业务,0.001,医生,0.001,概念,0.001,排海,0.001,澎湃,0.001,海啸,0.001
答案,0.001,孩子,0.001,控制,0.001,想法,0.001,苹果,0.001,鱼类,0.001
健康,0.001,小时,0.001,跟着,0.001,关闭,0.001,材料,0.001,海水,0.001
提供,0.001,溅射,0.001,还好,0.001,数据,0.001,电脑,0.001,停止,0.001
提出,0.001,泄漏,0.001,部门,0.001,陆地,0.001,月份,0.001,发布,0.001
加剧,0.001,区分,0.001,压制,0.001,生态,0.001,做好,0.001,发现,0.001
水乳,0.001,开心,0.001,医生,0.001,体系,0.001,免疫,0.001,功能,0.001
风险,0.001,照片,0.001,遗憾,0.001,无害,0.001,超过,0.001,拒绝,0.001
星辰,0.001,作业,0.001,国产,0.001,离谱,0.001,冷冻,0.001,浓度,0.001
女孩,0.001,日货,0.001,加热,0.001,仇恨,0.001,白酒,0.001,战略,0.001
地区,0.001,脱落,0.001,物质,0.001,有没有,0.001,线虫,0.001,禁令,0.001
表情,0.001,阀门,0.001,数据,0.001,不吃,0.001,公布,0.001,排污,0.001
等待,0.001,选择,0.001,不惑,0.001,民众,0.001,视力,0.001,应对,0.001
