主题数,困惑度,一致性
2,-8.288831355592599,0.37118360210495893
3,-8.337503722013995,0.37469301325940746
4,-8.368360482479533,0.34940005680043895
5,-8.412911358029797,0.3818184874082077
6,-8.481334705194989,0.4182645929615561
7,-8.582353563884897,0.4315397476504396
8,-8.74053263871401,0.40118846933839936
9,-8.906588722753417,0.4068880816401693
10,-9.090378964735043,0.4011203957635342
11,-9.229931655170653,0.4051457284679118
12,-9.395710112577701,0.41670740607208784
13,-9.53326847994867,0.3867870720144132
14,-9.621845350858274,0.4396758998553247
15,-9.74865547812542,0.4352380007647239
16,-9.80108471632659,0.4529224635574344
17,-9.912500278588762,0.46719938351489143
18,-10.045785027729973,0.4509175159620081
19,-10.101540997864499,0.4634588511109813
20,-10.228526579416794,0.45022275817746493
