时间,fenci,主题概率,主题类型
2023-11-17,回应 日方 取消 停止 食品 措施 包括 应对 措施 维护 民众 健康 正当合理 澎湃 新闻 视频 收起,"[(4, 0.3497364), (5, 0.6130629)]",5
2023-10-18,女孩 逮捕 强行 堵住 能源 会议 麻烦 女孩儿 勇敢 表情 坚定 看堵 会议 排放 核污染 飞去 堵住 会议室 遗憾 女孩 发声 支持 顺便 批评 公开 学习 排放 展现 肯定 专业 精神 筷子 重心 森林 破坏 公主 政治 制度 倾向 产物 怀疑 懂得 核污染 专业知识 依赖 提字器 听听 看法 收起,"[(0, 0.86445624), (2, 0.12207312)]",0
2024-01-30,总部 参观 信部 运营商 指标 考察 公布 数据 用户 速率 抖动 接入 时延 紧箍咒 运营商 鞭策 提高 服务质量 轮到 发言 电信 人权 倡导 全球 典范 人权 亮点 基站 辐射 危害 健康 伪科学 学历 辐射 国人 运营商 误解 很大 话费 流量 沟通 聘为 观察员 服务质量 网友 意见 建议 收起,"[(3, 0.9828637)]",3
2023-10-07,便当 水面 事件 导致 导致 出口量 下降 水产 滞销 积压 仓库 扇贝 水产 天花板 呼吁 民众 扇贝,"[(0, 0.52012426), (4, 0.44243395)]",0
2023-10-13,核污染 水排 排放 呼吁 建立 核污染 国际 安排 发布 消息 核电站 取样 海水 验出 放射性物质 浓度 辩称 采集 样本 污水 样本 小央 视频 视频 收起,"[(5, 0.9678136)]",5
2023-11-13,媒说 放射性物质 源自 核事故 废水,"[(0, 0.028044034), (1, 0.027999157), (2, 0.028088959), (3, 0.50733244), (4, 0.027934583), (5, 0.38060078)]",3
2023-10-17,记录 蓝本 纪录 生有幸 自由 潜水 漫长 人生旅途 留下 难忘 到达 万物 温柔 怀念 感动 废水 事件 人类 机会 发生 人类 听见 悲鸣 醒悟 水肺 超话 水肺 潜水 超话 视频 收起,"[(3, 0.97377485)]",3
2023-10-13,核污染 水排 排放 呼吁 建立 核污染 国际 安排 发布 消息 核电站 取样 海水 验出 放射性物质 浓度 辩称 采集 样本 污水 样本 小央 视频 视频 收起,"[(5, 0.9678137)]",5
2023-10-23,相岸 演说 声称 推动 首脑 对话 取消 水产品 禁令,"[(0, 0.016811006), (1, 0.016848477), (2, 0.6456233), (3, 0.016778782), (4, 0.016795788), (5, 0.28714263)]",2
2023-10-05,来到 祈愿 众生 海神 生灵 海鸥 哀鸣 呼吸 起伏 吃力 事情 支舞 失眠 焦虑 痛苦 疯狂 地想 贴近 痛苦 表现 前提 做出 成品 花花 听众 看官 留有 欣赏 空间 挣扎 半成品 喜欢 动作 希望 希望 听到 希望 世界 感知 感知 痛苦 挣扎 人类 求饶 人类 诉说 苦难 来到 世界 关注 地球 健康 地球 发声 老师 神树 视频 收起,"[(3, 0.9857477)]",3
2024-02-03,儿子 小儿 练完 跆拳道 吃饭 小儿 叔叔 新闻 回答 含糊 小儿 感慨 地带 可怜 地方 接话 看着 番茄酱 滑稽 感兴趣 小儿 吸溜 面条 咂巴 咂巴 演讲 题目 战争 一带 演讲 题目 小儿 还好 同学 废水 好像 金融 战争 儿子 全程 面条 爸爸 吃不完 收起,"[(0, 0.060344882), (1, 0.92466635)]",1
2023-11-17,停止 食品 本子 排放 污水 排放 排放 当成 马桶 祸害 全人类 取消 水产品 禁令 小义 良心 收起,"[(4, 0.9531923)]",4
