Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
核污染,0.022,核污染,0.029,废水,0.036,废水,0.029,废水,0.011,核污染,0.020
日方,0.020,食盐,0.018,食盐,0.017,超话,0.017,收起,0.011,污水,0.018
核辐射,0.013,辐射,0.016,污水,0.014,关系,0.012,污水,0.009,日方,0.014
废水,0.011,废水,0.013,超话,0.013,视频,0.010,排放,0.009,全球,0.011
辐射,0.011,人体,0.013,肌肤,0.010,收起,0.008,生物,0.009,收起,0.011
证明,0.008,排放,0.012,收起,0.009,理解,0.008,超话,0.007,水产品,0.011
收起,0.008,收起,0.010,民众,0.008,抨击,0.008,虚伪,0.007,人类,0.009
核电站,0.008,污水,0.010,计划,0.007,抵制,0.008,日料,0.007,海盐,0.009
污水,0.008,危害,0.010,历史,0.007,新闻,0.005,社区,0.007,记者,0.009
排放,0.007,盐业,0.009,地球,0.007,危害,0.005,地球,0.005,视频,0.009
海水,0.007,公司,0.009,海盐,0.007,人类,0.005,日子,0.005,恐慌,0.009
生物,0.007,海水,0.009,排放,0.007,日方,0.005,世界,0.005,食盐,0.009
人类,0.006,女性,0.007,全球,0.006,政治,0.005,治水,0.005,国家,0.009
风险,0.005,排海,0.007,民族,0.006,恶心,0.005,水域,0.005,国际,0.008
危害,0.005,核电站,0.006,人类,0.006,社会,0.005,民众,0.005,社会,0.008
报告,0.005,抢购,0.006,核污染,0.005,立场,0.005,情况,0.005,提问,0.007
发生,0.005,全省,0.006,风险,0.005,女王,0.005,排核,0.005,妈妈,0.007
全球,0.005,自由,0.006,选择,0.004,放射性物质,0.005,核电,0.005,风险,0.007
遭受,0.005,稀释,0.006,提醒,0.004,国际,0.005,辣鸡,0.005,海域,0.006
受害,0.005,远离,0.006,世界,0.004,水产品,0.005,行径,0.005,排放,0.006
大陆,0.005,超话,0.004,充足,0.004,提出,0.005,老百姓,0.005,证明,0.006
方案,0.005,产品,0.004,保障,0.004,生物链,0.005,难过,0.005,水排,0.006
下降,0.005,充足,0.004,提取物,0.004,导致,0.005,只能,0.005,盐业,0.006
时间,0.005,疾病,0.004,明眸,0.004,科学,0.005,寿司,0.005,海水,0.006
数据,0.004,现象,0.004,玫瑰,0.004,元素,0.005,图片,0.005,排海,0.006
代表,0.004,市民,0.004,生态,0.004,激进,0.005,危害,0.005,民众,0.005
标准,0.004,支持,0.004,眼部,0.004,担心,0.005,排到,0.005,原产地,0.005
处置,0.004,市场,0.004,国家,0.004,抢完,0.005,海啸,0.005,相关,0.005
排海,0.004,正式,0.004,辐射,0.003,看不到,0.005,发生,0.005,抢购,0.005
超话,0.003,采购,0.004,排海,0.003,毛病,0.005,小节,0.004,健康,0.005
食盐,0.003,变异,0.004,日方,0.003,核污染,0.003,角度,0.004,食用盐,0.005
地球,0.003,化妆品,0.004,恐慌,0.003,排放,0.003,老师,0.002,日本鬼子,0.005
事情,0.003,日用品,0.004,市场,0.003,全球,0.003,可怜,0.002,核事故,0.004
抢购,0.003,孩子,0.004,科学,0.003,辐射,0.003,专家,0.002,强行,0.004
导致,0.003,起排,0.004,海水,0.003,证明,0.003,恶心,0.002,生态,0.004
现象,0.003,做能,0.004,盐业,0.003,好像,0.003,辐射,0.002,食品,0.004
陆地,0.003,风险,0.004,责任,0.003,核电站,0.003,国家,0.002,引发,0.004
道歉,0.003,日方,0.004,食用盐,0.003,毁灭,0.003,人类,0.002,保障,0.004
富集,0.003,国际,0.004,抢断,0.003,希望,0.003,无力,0.002,充足,0.004
生存,0.003,时间,0.003,火星,0.003,本质,0.003,希望,0.002,担忧,0.004
变异,0.003,世界,0.003,移民,0.003,报道,0.003,日方,0.002,废水,0.004
告诉,0.003,人类,0.003,自私,0.003,支持,0.003,公开,0.002,环境,0.004
困难,0.003,相关,0.003,后果,0.003,感觉,0.003,不用,0.002,超话,0.004
引发,0.003,全世界,0.003,事件,0.003,确实,0.003,计划,0.002,自私,0.004
原因,0.003,食用盐,0.003,视频,0.003,层面,0.003,食盐,0.002,计划,0.004
博物馆,0.003,环境,0.003,明知,0.003,不顾,0.003,排入,0.002,放射性物质,0.004
赔偿,0.003,海产品,0.003,骗人,0.003,领海,0.003,不见,0.002,处置,0.004
预言,0.003,做好,0.003,全人类,0.003,数据,0.003,事件,0.002,利益,0.004
事故,0.003,企业,0.003,起底,0.003,水排,0.003,看过,0.002,发布,0.004
全世界,0.003,引发,0.003,灾难,0.003,原产地,0.003,全世界,0.002,维护,0.004
内容,0.003,保供,0.003,前夫,0.003,法则,0.003,吃饭,0.002,质疑,0.004
条约,0.003,事件,0.003,支持,0.003,不行,0.003,犯下,0.002,停止,0.004
专家,0.003,摄入,0.003,爱玩,0.003,办法,0.003,稀释,0.002,建议,0.004
后果,0.003,稳价,0.003,教授,0.003,朋友圈,0.003,全人类,0.002,核电站,0.004
世界,0.003,保障,0.003,排入,0.003,辩解,0.003,分享,0.002,责任,0.004
水排,0.003,地区,0.003,估计,0.003,流氓,0.003,群山,0.002,历史,0.004
肌肤,0.003,狩猎,0.003,毁灭,0.003,方式,0.003,邪念,0.002,新闻,0.004
有待,0.003,生存,0.003,无耻,0.003,应对,0.003,停止,0.002,科学,0.004
措施,0.003,定点,0.003,日子,0.003,交涉,0.003,实为,0.002,市场,0.004
有效性,0.003,鱼类,0.003,脑子,0.003,身经百战,0.003,公意,0.002,热议,0.003
去除,0.003,身体,0.003,环境,0.003,外交,0.003,托词,0.002,发生,0.003
原则,0.003,配享,0.003,担忧,0.003,拿出,0.003,生存,0.002,消息,0.003
可靠性,0.003,视频,0.003,海域,0.003,仙子,0.003,执意,0.002,市民,0.003
国际,0.003,原料,0.003,抢购,0.003,证据,0.003,枉顾,0.002,解决,0.003
电力公司,0.003,科技,0.003,愤慨,0.003,不剩,0.003,看着,0.002,关注,0.003
选择,0.003,病毒,0.003,水产,0.003,声称,0.003,灾变,0.002,专家,0.003
