主题数,困惑度,一致性
2,-7.019340875213109,0.3813750850995743
3,-7.190780452262388,0.35424109810453125
4,-7.350150211193002,0.365492799689585
5,-7.343439339896873,0.3972932194062904
6,-7.396922866762493,0.4378559498651085
7,-7.375024559327153,0.41916825465186275
8,-7.577637470540647,0.4154050524276982
9,-7.563735260580696,0.4225780129421606
10,-7.589440719607753,0.45411010423349396
11,-7.683378032597057,0.41727378348375416
12,-7.9009185376844435,0.43767203019542245
13,-7.6922715149446,0.41816193246153777
14,-7.70910465759413,0.4485886328217443
15,-7.888319075545425,0.4303345853371212
16,-7.932316820656587,0.46325717287381324
17,-7.852348575108645,0.39482232923969607
18,-8.01842986471517,0.41719776583323426
19,-7.957517249919356,0.4551928457560076
20,-8.108699306537817,0.4137520402216136
