word,counts
冰雪,276
退票,259
世界,254
滑梯,182
项目,163
哈尔滨,146
冰雕,143
排队,133
迪士尼,115
东北,98
游客,76
小时,75
预约,63
开园,52
摩天轮,52
东西,51
南方人,45
羽绒服,36
游乐园,36
冰灯,36
长春,36
门票,35
地方,32
体验,31
喜欢,29
提前,29
雪雕,29
环球,28
收费,28
理由,28
河南,28
景点,26
确实,25
评论,25
井盖,25
欣赏,24
景区,23
时间,22
节奏,22
不到,21
售票,21
说话,21
理解,21
现场,20
素质,20
河南人,20
开放,19
游乐,19
游乐场,19
师傅,19
赠送,19
丢人,19
感觉,18
欺负,18
没玩到,18
本地人,18
恶心,18
艺术,17
影城,17
热度,17
视频,16
游玩,16
没玩上,16
朋友,16
照片,16
朋友圈,16
吃饭,15
小土豆,15
排不上,15
建议,15
退钱,15
回复,15
人数,14
肯定,14
不想,14
希望,14
回去,14
试营业,14
流量,14
开业,13
完工,13
黑龙江,13
园区,13
花钱,13
遗憾,13
玩意,13
只能,13
原因,12
票价,12
不让,12
不行,12
不用,12
工人,12
博主,12
情况,11
正式,11
能力,11
主打,11
没排,11
感受,11
