Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
酒店,0.021,携程,0.035,携程,0.021,酒店,0.024,酒店,0.038,酒店,0.036
携程,0.012,酒店,0.034,酒店,0.016,携程,0.017,行程,0.026,房间,0.010
服务,0.009,服务,0.014,领队,0.013,房间,0.007,导游,0.021,不错,0.010
行程,0.008,导游,0.011,导游,0.010,客服,0.006,携程,0.020,携程,0.008
航班,0.008,房间,0.011,行程,0.009,便宜,0.005,领队,0.019,行程,0.007
时间,0.008,司机,0.011,认真负责,0.005,旅行,0.005,安排,0.018,服务,0.006
导游,0.006,行程,0.009,客服,0.005,服务,0.005,时间,0.011,不好,0.006
司机,0.006,不错,0.008,航班,0.004,行程,0.005,不错,0.009,小时,0.006
真的,0.005,客服,0.008,不错,0.004,航班,0.005,房间,0.007,入住,0.006
房间,0.005,满意,0.007,旅行,0.004,机场,0.005,服务,0.007,香格里拉,0.006
体验,0.005,安排,0.007,马来西亚,0.004,小费,0.004,小时,0.006,真的,0.006
飞机,0.004,出行,0.006,飞机,0.004,越南,0.004,满意,0.006,飞机,0.005
项目,0.004,接机,0.006,时间,0.004,接送,0.004,航班,0.006,前台,0.005
小费,0.004,机场,0.006,自由,0.003,入住,0.004,柬埔寨,0.006,早餐,0.004
新加坡,0.004,飞机,0.005,工作,0.003,推荐,0.004,越南,0.005,客服,0.004
安排,0.004,航班,0.005,旅游,0.003,不错,0.004,飞机,0.005,感觉,0.004
接机,0.003,特别,0.005,小费,0.003,地方,0.003,景点,0.005,第二天,0.004
送机,0.003,入住,0.005,游客,0.003,出行,0.003,特别,0.005,机场,0.004
中国,0.003,前台,0.004,安排,0.003,体验,0.003,选择,0.005,航班,0.004
红树林,0.003,自由,0.004,告诉,0.003,真的,0.003,希望,0.005,香格里拉酒店,0.004
