Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
酒店,0.101,行程,0.056,领队,0.034,行程,0.020,酒店,0.034
房间,0.020,导游,0.054,酒店,0.032,酒店,0.018,行程,0.031
时间,0.017,酒店,0.041,导游,0.026,导游,0.017,导游,0.027
行程,0.016,领队,0.031,行程,0.020,时间,0.017,客服,0.024
大阪,0.015,日本,0.013,日本,0.018,日本,0.014,领队,0.019
导游,0.010,时间,0.011,时间,0.015,景点,0.012,时间,0.015
日本,0.010,房间,0.010,房间,0.015,领队,0.010,联系,0.014
温泉,0.008,景点,0.009,方便,0.011,机场,0.009,日本,0.012
感觉,0.008,方便,0.009,有点,0.010,自由,0.009,航班,0.011
景点,0.008,问题,0.009,问题,0.009,行李,0.009,韩国,0.010
京都,0.007,韩国,0.007,飞机,0.009,东京,0.008,机场,0.010
方便,0.007,机场,0.007,韩国,0.008,产品,0.007,自由,0.009
时候,0.007,飞机,0.007,客服,0.008,房间,0.007,机票,0.008
机场,0.007,有点,0.007,全程,0.007,价格,0.007,温泉,0.008
大家,0.006,机票,0.007,大家,0.006,大家,0.007,问题,0.008
领队,0.006,自由,0.007,大阪,0.006,大阪,0.006,地方,0.007
客服,0.006,地方,0.007,愉快,0.005,飞机,0.006,电话,0.007
航班,0.006,航班,0.006,司机,0.005,司机,0.006,住宿,0.007
东京,0.006,感觉,0.006,感觉,0.005,时候,0.006,行李,0.007
有点,0.005,司机,0.006,机场,0.005,问题,0.005,热情,0.006
富士山,0.005,时候,0.006,行李,0.005,方便,0.005,感觉,0.006
联系,0.005,大阪,0.005,师傅,0.005,体验,0.005,大阪,0.006
一般,0.005,住宿,0.005,购物,0.005,航空,0.004,结果,0.006
前台,0.005,客服,0.005,航班,0.004,地方,0.004,司机,0.005
购物,0.005,购物,0.005,景点,0.004,订单,0.004,景点,0.005
总体,0.005,游客,0.004,自由,0.004,温泉,0.004,方便,0.005
结果,0.004,建议,0.004,产品,0.004,航班,0.004,态度,0.005
自由,0.004,东西,0.004,热情,0.004,热情,0.004,时候,0.004
早餐,0.004,温泉,0.004,顺利,0.004,游客,0.004,专业,0.004
东西,0.004,基本,0.004,住宿,0.004,建议,0.004,购物,0.004
根本,0.004,热情,0.004,建议,0.004,客户,0.004,房间,0.004
司机,0.004,总体,0.004,东京,0.004,结果,0.004,情况,0.004
地方,0.004,行李,0.004,认真负责,0.004,愉快,0.004,飞机,0.004
态度,0.004,免税店,0.004,时候,0.004,上海,0.004,客人,0.003
基本,0.003,东京,0.004,中国,0.003,线路,0.004,公司,0.003
韩国,0.003,价格,0.004,方面,0.003,客服,0.003,订单,0.003
价格,0.003,早餐,0.004,结果,0.003,感觉,0.003,总体,0.003
行李,0.003,大家,0.004,情况,0.003,电话,0.003,回程,0.003
